,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
4752,Aston Villa,Stoke,0.909774,0.423368,1,0,a,2014-08-16 15:00:00
4759,Aston Villa,Newcastle United,0.507525,0.699295,0,0,h,2014-08-23 12:45:00
4776,Aston Villa,Hull,0.639316,0.28888,2,1,h,2014-08-31 13:30:00
4726,Aston Villa,Liverpool,0.701676,0.728097,1,0,a,2014-09-13 17:30:00
4731,Aston Villa,Arsenal,0.649013,1.36224,0,3,h,2014-09-20 15:00:00
4742,Aston Villa,Chelsea,0.228896,3.14218,0,3,a,2014-09-27 15:00:00
4694,Aston Villa,Manchester City,0.690283,2.30634,0,2,h,2014-10-04 17:30:00
4700,Aston Villa,Everton,0.37205,1.67016,0,3,a,2014-10-18 15:00:00
4718,Aston Villa,Queens Park Rangers,1.18709,0.81667,0,2,a,2014-10-27 20:00:00
4657,Aston Villa,Tottenham,0.872267,2.54173,1,2,h,2014-11-02 16:00:00
4662,Aston Villa,West Ham,0.560875,1.47873,0,0,a,2014-11-08 15:00:00
4678,Aston Villa,Southampton,1.13228,0.863156,1,1,h,2014-11-24 20:00:00
4685,Aston Villa,Burnley,1.0873,2.3058,1,1,a,2014-11-29 15:00:00
4593,Aston Villa,Crystal Palace,0.192439,0.801741,1,0,a,2014-12-02 20:00:00
4607,Aston Villa,Leicester,1.97697,1.0083,2,1,h,2014-12-07 16:00:00
4612,Aston Villa,West Bromwich Albion,0.266303,1.4373,0,1,a,2014-12-13 15:00:00
4624,Aston Villa,Manchester United,0.575806,1.06851,1,1,h,2014-12-20 15:00:00
4631,Aston Villa,Swansea,1.41578,0.601468,0,1,a,2014-12-26 15:00:00
4644,Aston Villa,Sunderland,0.650993,0.845626,0,0,h,2014-12-28 15:00:00
4557,Aston Villa,Crystal Palace,1.38709,0.575995,0,0,h,2015-01-01 15:00:00
4567,Aston Villa,Leicester,0.606149,2.36522,0,1,a,2015-01-10 15:00:00
4571,Aston Villa,Liverpool,0.845309,1.54424,0,2,h,2015-01-17 15:00:00
4513,Aston Villa,Arsenal,0.714521,2.35805,0,5,a,2015-02-01 13:30:00
4516,Aston Villa,Chelsea,0.707847,1.11662,1,2,h,2015-02-07 15:00:00
4527,Aston Villa,Hull,0.423817,0.985975,0,2,a,2015-02-10 19:45:00
4535,Aston Villa,Stoke,0.234004,1.11955,1,2,h,2015-02-21 15:00:00
4548,Aston Villa,Newcastle United,0.773437,0.93198,0,1,a,2015-02-28 15:00:00
4482,Aston Villa,West Bromwich Albion,1.9201,0.905628,2,1,h,2015-03-03 19:45:00
4497,Aston Villa,Sunderland,1.50195,0.472898,4,0,a,2015-03-14 15:00:00
4504,Aston Villa,Swansea,0.762371,1.90437,0,1,h,2015-03-21 15:00:00
4443,Aston Villa,Manchester United,0.311787,1.9836,1,3,a,2015-04-04 15:00:00
4450,Aston Villa,Queens Park Rangers,1.86698,1.43061,3,3,h,2015-04-07 19:45:00
4455,Aston Villa,Tottenham,0.860976,0.621738,1,0,a,2015-04-11 15:00:00
4475,Aston Villa,Manchester City,0.901376,1.1892,2,3,a,2015-04-25 17:30:00
4401,Aston Villa,Everton,1.56179,1.4049,3,2,h,2015-05-02 15:00:00
4411,Aston Villa,West Ham,1.26585,0.149381,1,0,h,2015-05-09 15:00:00
4419,Aston Villa,Southampton,1.18593,3.59558,1,6,a,2015-05-16 12:45:00
4430,Aston Villa,Burnley,0.654751,0.66113,0,1,h,2015-05-24 15:00:00
