,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
4755,Crystal Palace,Arsenal,0.158151,1.55411,1,2,a,2014-08-16 17:30:00
4761,Crystal Palace,West Ham,0.617283,1.33957,1,3,h,2014-08-23 15:00:00
4771,Crystal Palace,Newcastle United,1.66056,1.69776,3,3,a,2014-08-30 15:00:00
4721,Crystal Palace,Burnley,0.780534,1.2493,0,0,h,2014-09-13 15:00:00
4738,Crystal Palace,Everton,1.62886,2.56122,3,2,a,2014-09-21 16:00:00
4743,Crystal Palace,Leicester,2.1144,0.453547,2,0,h,2014-09-27 15:00:00
4689,Crystal Palace,Hull,0.616109,1.07209,0,2,a,2014-10-04 15:00:00
4702,Crystal Palace,Chelsea,1.16779,1.01515,1,2,h,2014-10-18 15:00:00
4712,Crystal Palace,West Bromwich Albion,1.77354,1.45724,2,2,a,2014-10-25 15:00:00
4658,Crystal Palace,Sunderland,0.766023,0.727981,1,3,h,2014-11-03 20:00:00
4661,Crystal Palace,Manchester United,0.400837,0.956776,0,1,a,2014-11-08 15:00:00
4676,Crystal Palace,Liverpool,1.47309,0.952958,3,1,h,2014-11-23 13:30:00
4681,Crystal Palace,Swansea,1.50956,1.4626,1,1,a,2014-11-29 15:00:00
4593,Crystal Palace,Aston Villa,0.801741,0.192439,0,1,h,2014-12-02 20:00:00
4602,Crystal Palace,Tottenham,1.17369,0.958788,0,0,a,2014-12-06 15:00:00
4611,Crystal Palace,Stoke,0.498092,0.898532,1,1,h,2014-12-13 15:00:00
4619,Crystal Palace,Manchester City,0.760531,1.41484,0,3,a,2014-12-20 12:45:00
4635,Crystal Palace,Southampton,0.379447,1.30288,1,3,h,2014-12-26 15:00:00
4641,Crystal Palace,Queens Park Rangers,0.328577,0.405679,0,0,a,2014-12-28 15:00:00
4557,Crystal Palace,Aston Villa,0.575995,1.38709,0,0,a,2015-01-01 15:00:00
4568,Crystal Palace,Tottenham,2.85997,0.919178,2,1,h,2015-01-10 17:30:00
4572,Crystal Palace,Burnley,0.528431,1.08428,3,2,a,2015-01-17 15:00:00
4587,Crystal Palace,Everton,1.21034,1.35977,0,1,h,2015-01-31 15:00:00
4518,Crystal Palace,Leicester,1.00613,0.7797,1,0,a,2015-02-07 15:00:00
4533,Crystal Palace,Newcastle United,0.932684,0.444535,1,1,h,2015-02-11 20:00:00
4537,Crystal Palace,Arsenal,2.26395,2.08054,1,2,h,2015-02-21 15:00:00
4545,Crystal Palace,West Ham,0.851359,1.28506,3,1,a,2015-02-28 12:45:00
4484,Crystal Palace,Southampton,0.392674,2.22869,0,1,a,2015-03-03 19:45:00
4493,Crystal Palace,Queens Park Rangers,2.20095,0.266048,3,1,h,2015-03-14 12:45:00
4507,Crystal Palace,Stoke,2.14974,2.07851,2,1,a,2015-03-21 15:00:00
4449,Crystal Palace,Manchester City,1.32783,1.1129,2,1,h,2015-04-06 20:00:00
4452,Crystal Palace,Sunderland,2.34787,0.617079,4,1,a,2015-04-11 15:00:00
4462,Crystal Palace,West Bromwich Albion,2.0561,0.698022,0,2,h,2015-04-18 15:00:00
4474,Crystal Palace,Hull,0.913865,2.37709,0,2,h,2015-04-25 15:00:00
4406,Crystal Palace,Chelsea,0.41646,1.5619,0,1,a,2015-05-03 13:30:00
4415,Crystal Palace,Manchester United,1.04344,2.29775,1,2,h,2015-05-09 17:30:00
4425,Crystal Palace,Liverpool,1.99504,1.11415,3,1,a,2015-05-16 17:30:00
4432,Crystal Palace,Swansea,1.07504,0.118613,1,0,h,2015-05-24 15:00:00
