,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
4751,Hull,Queens Park Rangers,1.11757,1.90067,1,0,a,2014-08-16 15:00:00
4765,Hull,Stoke,0.870175,1.60916,1,1,h,2014-08-24 13:30:00
4776,Hull,Aston Villa,0.28888,0.639316,1,2,a,2014-08-31 13:30:00
4728,Hull,West Ham,0.439084,0.661678,2,2,h,2014-09-15 20:00:00
4733,Hull,Newcastle United,0.854291,1.91632,2,2,a,2014-09-20 15:00:00
4744,Hull,Manchester City,1.12374,1.78953,2,4,h,2014-09-27 15:00:00
4689,Hull,Crystal Palace,1.07209,0.616109,2,0,h,2014-10-04 15:00:00
4705,Hull,Arsenal,0.552062,2.14845,2,2,a,2014-10-18 15:00:00
4713,Hull,Liverpool,0.222999,0.678924,0,0,a,2014-10-25 15:00:00
4655,Hull,Southampton,0.256678,1.90484,0,1,h,2014-11-01 15:00:00
4660,Hull,Burnley,0.526656,1.10315,0,1,a,2014-11-08 15:00:00
4677,Hull,Tottenham,0.94244,2.16438,1,2,h,2014-11-23 16:00:00
4683,Hull,Manchester United,0.230407,1.76885,0,3,a,2014-11-29 15:00:00
4596,Hull,Everton,0.29547,1.27965,1,1,a,2014-12-03 19:45:00
4603,Hull,West Bromwich Albion,0.586305,1.06151,0,0,h,2014-12-06 15:00:00
4610,Hull,Chelsea,0.435091,1.21862,0,2,a,2014-12-13 15:00:00
4625,Hull,Swansea,0.825885,1.45331,0,1,h,2014-12-20 15:00:00
4632,Hull,Sunderland,0.85573,1.35551,3,1,a,2014-12-26 15:00:00
4642,Hull,Leicester,1.72314,0.180127,0,1,h,2014-12-28 15:00:00
4558,Hull,Everton,1.95682,0.957698,2,0,h,2015-01-01 15:00:00
4563,Hull,West Bromwich Albion,0.395844,0.784159,0,1,a,2015-01-10 15:00:00
4578,Hull,West Ham,0.423719,2.68629,0,3,a,2015-01-18 13:30:00
4581,Hull,Newcastle United,0.989377,0.50926,0,3,h,2015-01-31 12:45:00
4519,Hull,Manchester City,1.13348,0.992526,1,1,a,2015-02-07 15:00:00
4527,Hull,Aston Villa,0.985975,0.423817,2,0,h,2015-02-10 19:45:00
4540,Hull,Queens Park Rangers,1.09259,0.190631,2,1,h,2015-02-21 15:00:00
4547,Hull,Stoke,0.344489,0.895577,0,1,a,2015-02-28 15:00:00
4483,Hull,Sunderland,1.3938,1.23136,1,1,h,2015-03-03 19:45:00
4495,Hull,Leicester,1.0475,0.53913,0,0,a,2015-03-14 15:00:00
4511,Hull,Chelsea,1.32415,0.758601,2,3,h,2015-03-22 16:00:00
4444,Hull,Swansea,0.919329,1.49943,1,3,a,2015-04-04 15:00:00
4453,Hull,Southampton,0.737337,2.37369,0,2,a,2015-04-11 15:00:00
4474,Hull,Crystal Palace,2.37709,0.913865,2,0,a,2015-04-25 15:00:00
4478,Hull,Liverpool,0.730978,0.523697,1,0,h,2015-04-28 19:45:00
4408,Hull,Arsenal,0.474706,2.94938,1,3,h,2015-05-04 20:00:00
4410,Hull,Burnley,1.12811,1.21303,0,1,h,2015-05-09 15:00:00
4422,Hull,Tottenham,1.13285,1.70119,0,2,a,2015-05-16 15:00:00
4435,Hull,Manchester United,0.984196,0.399522,0,0,h,2015-05-24 15:00:00
