,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
4757,Newcastle United,Manchester City,0.965583,1.48053,0,2,h,2014-08-17 16:00:00
4759,Newcastle United,Aston Villa,0.699295,0.507525,0,0,a,2014-08-23 12:45:00
4771,Newcastle United,Crystal Palace,1.69776,1.66056,3,3,h,2014-08-30 15:00:00
4722,Newcastle United,Southampton,1.15026,2.11739,0,4,a,2014-09-13 15:00:00
4733,Newcastle United,Hull,1.91632,0.854291,2,2,h,2014-09-20 15:00:00
4748,Newcastle United,Stoke,1.13994,1.56203,0,1,a,2014-09-29 20:00:00
4693,Newcastle United,Swansea,1.18603,1.55242,2,2,a,2014-10-04 15:00:00
4704,Newcastle United,Leicester,2.1929,0.650379,1,0,h,2014-10-18 15:00:00
4715,Newcastle United,Tottenham,0.73967,2.03729,2,1,a,2014-10-26 13:30:00
4649,Newcastle United,Liverpool,1.56863,0.258953,1,0,h,2014-11-01 12:45:00
4667,Newcastle United,West Bromwich Albion,0.694441,0.765208,2,0,a,2014-11-09 13:30:00
4670,Newcastle United,Queens Park Rangers,1.47871,0.402285,1,0,h,2014-11-22 15:00:00
4680,Newcastle United,West Ham,0.246562,1.09981,0,1,a,2014-11-29 15:00:00
4589,Newcastle United,Burnley,1.0006,0.678486,1,1,a,2014-12-02 19:45:00
4599,Newcastle United,Chelsea,1.48574,2.16232,2,1,h,2014-12-06 12:45:00
4615,Newcastle United,Arsenal,0.938764,2.38819,1,4,a,2014-12-13 17:30:00
4626,Newcastle United,Sunderland,0.900259,2.18418,0,1,h,2014-12-21 13:30:00
4636,Newcastle United,Manchester United,1.03151,1.86147,1,3,a,2014-12-26 15:00:00
4647,Newcastle United,Everton,1.71345,1.07321,3,2,h,2014-12-28 16:15:00
4553,Newcastle United,Burnley,1.24639,1.65582,3,3,h,2015-01-01 15:00:00
4565,Newcastle United,Chelsea,0.394837,1.08131,0,2,a,2015-01-10 15:00:00
4577,Newcastle United,Southampton,0.856732,0.432026,1,2,h,2015-01-17 17:30:00
4581,Newcastle United,Hull,0.50926,0.989377,3,0,a,2015-01-31 12:45:00
4523,Newcastle United,Stoke,0.789943,0.220357,1,1,h,2015-02-08 14:05:00
4533,Newcastle United,Crystal Palace,0.444535,0.932684,1,1,a,2015-02-11 20:00:00
4541,Newcastle United,Manchester City,0.166685,3.12533,0,5,a,2015-02-21 17:30:00
4548,Newcastle United,Aston Villa,0.93198,0.773437,1,0,h,2015-02-28 15:00:00
4487,Newcastle United,Manchester United,1.19246,1.68865,0,1,h,2015-03-04 19:45:00
4500,Newcastle United,Everton,0.809194,2.25807,0,3,a,2015-03-15 16:00:00
4508,Newcastle United,Arsenal,1.0068,0.754782,1,2,h,2015-03-21 15:00:00
4448,Newcastle United,Sunderland,0.798234,0.829443,0,1,a,2015-04-05 16:00:00
4460,Newcastle United,Liverpool,0.363343,1.26534,0,2,a,2015-04-13 20:00:00
4467,Newcastle United,Tottenham,0.938886,1.99862,1,3,h,2015-04-19 16:00:00
4470,Newcastle United,Swansea,1.54939,1.58825,2,3,h,2015-04-25 15:00:00
4399,Newcastle United,Leicester,0.485003,4.02694,0,3,a,2015-05-02 12:45:00
4413,Newcastle United,West Bromwich Albion,1.23706,1.21081,1,1,h,2015-05-09 15:00:00
4420,Newcastle United,Queens Park Rangers,2.11207,0.470106,1,2,a,2015-05-16 15:00:00
4438,Newcastle United,West Ham,1.64216,0.416396,2,0,h,2015-05-24 15:00:00
