,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
4751,Queens Park Rangers,Hull,1.90067,1.11757,0,1,h,2014-08-16 15:00:00
4766,Queens Park Rangers,Tottenham,1.07617,2.38894,0,4,a,2014-08-24 13:30:00
4772,Queens Park Rangers,Sunderland,1.27277,0.964343,1,0,h,2014-08-30 15:00:00
4727,Queens Park Rangers,Manchester United,0.563524,2.20911,0,4,a,2014-09-14 16:00:00
4729,Queens Park Rangers,Stoke,1.05642,1.45847,2,2,h,2014-09-20 12:45:00
4741,Queens Park Rangers,Southampton,0.456323,2.34463,1,2,a,2014-09-27 15:00:00
4698,Queens Park Rangers,West Ham,0.697342,1.64038,0,2,a,2014-10-05 16:15:00
4706,Queens Park Rangers,Liverpool,2.60852,1.51813,2,3,h,2014-10-19 13:30:00
4718,Queens Park Rangers,Aston Villa,0.81667,1.18709,2,0,h,2014-10-27 20:00:00
4653,Queens Park Rangers,Chelsea,0.510067,2.23703,1,2,a,2014-11-01 15:00:00
4664,Queens Park Rangers,Manchester City,1.86489,1.70189,2,2,h,2014-11-08 17:30:00
4670,Queens Park Rangers,Newcastle United,0.402285,1.47871,0,1,a,2014-11-22 15:00:00
4684,Queens Park Rangers,Leicester,2.98194,2.10013,3,2,h,2014-11-29 15:00:00
4592,Queens Park Rangers,Swansea,0.789519,1.54207,0,2,a,2014-12-02 19:45:00
4600,Queens Park Rangers,Burnley,1.63744,1.2646,2,0,h,2014-12-06 15:00:00
4618,Queens Park Rangers,Everton,0.972265,0.747708,1,3,a,2014-12-15 20:00:00
4622,Queens Park Rangers,West Bromwich Albion,2.92864,1.30117,3,2,h,2014-12-20 15:00:00
4638,Queens Park Rangers,Arsenal,1.21752,2.13888,1,2,a,2014-12-26 17:30:00
4641,Queens Park Rangers,Crystal Palace,0.405679,0.328577,0,0,h,2014-12-28 15:00:00
4554,Queens Park Rangers,Swansea,3.16214,1.69725,1,1,h,2015-01-01 15:00:00
4564,Queens Park Rangers,Burnley,1.69555,2.19126,1,2,a,2015-01-10 15:00:00
4574,Queens Park Rangers,Manchester United,0.929623,1.55645,0,2,h,2015-01-17 15:00:00
4584,Queens Park Rangers,Stoke,1.11577,0.782569,1,3,a,2015-01-31 15:00:00
4520,Queens Park Rangers,Southampton,1.03037,0.963892,0,1,h,2015-02-07 15:00:00
4526,Queens Park Rangers,Sunderland,1.26883,1.80831,2,0,a,2015-02-10 19:45:00
4540,Queens Park Rangers,Hull,0.190631,1.09259,1,2,a,2015-02-21 15:00:00
4490,Queens Park Rangers,Arsenal,0.318849,2.1651,1,2,h,2015-03-04 19:45:00
4492,Queens Park Rangers,Tottenham,1.49775,2.62405,1,2,h,2015-03-07 15:00:00
4493,Queens Park Rangers,Crystal Palace,0.266048,2.20095,1,3,a,2015-03-14 12:45:00
4512,Queens Park Rangers,Everton,1.39318,0.839996,1,2,h,2015-03-22 16:00:00
4445,Queens Park Rangers,West Bromwich Albion,1.20939,2.13361,4,1,a,2015-04-04 15:00:00
4450,Queens Park Rangers,Aston Villa,1.43061,1.86698,3,3,a,2015-04-07 19:45:00
4458,Queens Park Rangers,Chelsea,0.780982,0.920984,0,1,h,2015-04-12 13:30:00
4469,Queens Park Rangers,West Ham,2.28143,0.824309,0,0,h,2015-04-25 15:00:00
4400,Queens Park Rangers,Liverpool,0.386314,2.28745,1,2,a,2015-05-02 15:00:00
4416,Queens Park Rangers,Manchester City,0.872314,5.35103,0,6,a,2015-05-10 13:30:00
4420,Queens Park Rangers,Newcastle United,0.470106,2.11207,2,1,h,2015-05-16 15:00:00
4436,Queens Park Rangers,Leicester,1.26755,2.17428,1,5,a,2015-05-24 15:00:00
