,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
14569,LeftFoot,OpenPlay,SavedShot,0.032656118273735046,63,0,1,Alejandro Faurlin,4528,h,Queens Park Rangers,Hull,Joey Barton,2014-08-16 15:00:00,4751,2014,"(0.8380000305175781, 0.29)"
14563,LeftFoot,OpenPlay,SavedShot,0.022050287574529648,33,0,1,Loïc Remy,690,h,Queens Park Rangers,Hull,Jordon Mutch,2014-08-16 15:00:00,4751,2014,"(0.750999984741211, 0.5529999923706055)"
14579,LeftFoot,OpenPlay,MissedShots,0.08487462997436523,86,0,1,Loïc Remy,690,h,Queens Park Rangers,Hull,,2014-08-16 15:00:00,4751,2014,"(0.95, 0.40700000762939453)"
14580,Head,FromCorner,MissedShots,0.0716729462146759,90,0,1,Loïc Remy,690,h,Queens Park Rangers,Hull,Joey Barton,2014-08-16 15:00:00,4751,2014,"(0.909000015258789, 0.4640000152587891)"
14581,RightFoot,OpenPlay,SavedShot,0.08174106478691101,92,0,1,Loïc Remy,690,h,Queens Park Rangers,Hull,Bobby Zamora,2014-08-16 15:00:00,4751,2014,"(0.8880000305175781, 0.38599998474121094)"
14558,RightFoot,FromCorner,BlockedShot,0.04230783134698868,16,0,1,Charlie Austin,848,h,Queens Park Rangers,Hull,Richard Dunne,2014-08-16 15:00:00,4751,2014,"(0.845, 0.6880000305175781)"
14564,LeftFoot,OpenPlay,BlockedShot,0.06507989764213562,42,0,1,Charlie Austin,848,h,Queens Park Rangers,Hull,,2014-08-16 15:00:00,4751,2014,"(0.8819999694824219, 0.655)"
14575,RightFoot,Penalty,SavedShot,0.7611688375473022,84,0,1,Charlie Austin,848,h,Queens Park Rangers,Hull,,2014-08-16 15:00:00,4751,2014,"(0.885, 0.5)"
14577,RightFoot,OpenPlay,BlockedShot,0.0170611385256052,85,0,1,Charlie Austin,848,h,Queens Park Rangers,Hull,Junior Hoilett,2014-08-16 15:00:00,4751,2014,"(0.7819999694824219, 0.7580000305175781)"
14578,RightFoot,OpenPlay,BlockedShot,0.028657272458076477,86,0,1,Charlie Austin,848,h,Queens Park Rangers,Hull,Joey Barton,2014-08-16 15:00:00,4751,2014,"(0.8019999694824219, 0.6079999923706054)"
14565,Head,FromCorner,BlockedShot,0.12129491567611694,43,0,1,Steven Caulker,953,h,Queens Park Rangers,Hull,Joey Barton,2014-08-16 15:00:00,4751,2014,"(0.9369999694824219, 0.48)"
14567,Head,FromCorner,MissedShots,0.009073473513126373,54,0,1,Steven Caulker,953,h,Queens Park Rangers,Hull,Joey Barton,2014-08-16 15:00:00,4751,2014,"(0.9930000305175781, 0.33599998474121096)"
14561,Head,OpenPlay,MissedShots,0.38135668635368347,29,0,1,Jordon Mutch,632,h,Queens Park Rangers,Hull,Loïc Remy,2014-08-16 15:00:00,4751,2014,"(0.935, 0.44299999237060544)"
14557,LeftFoot,FromCorner,BlockedShot,0.013217907398939133,16,0,1,Alejandro Faurlin,4528,h,Queens Park Rangers,Hull,Danny Simpson,2014-08-16 15:00:00,4751,2014,"(0.7580000305175781, 0.415)"
14556,RightFoot,OpenPlay,SavedShot,0.022535664960741997,13,0,1,Loïc Remy,690,h,Queens Park Rangers,Hull,Joey Barton,2014-08-16 15:00:00,4751,2014,"(0.750999984741211, 0.4979999923706055)"
14582,RightFoot,OpenPlay,MissedShots,0.013941599987447262,93,0,1,Joey Barton,4430,h,Queens Park Rangers,Hull,Junior Hoilett,2014-08-16 15:00:00,4751,2014,"(0.7040000152587891, 0.4520000076293945)"
14559,LeftFoot,FromCorner,MissedShots,0.06668397784233093,16,0,1,Alejandro Faurlin,4528,h,Queens Park Rangers,Hull,Steven Caulker,2014-08-16 15:00:00,4751,2014,"(0.865, 0.5179999923706055)"
14560,RightFoot,DirectFreekick,MissedShots,0.05268821865320206,27,0,1,Joey Barton,4430,h,Queens Park Rangers,Hull,,2014-08-16 15:00:00,4751,2014,"(0.7980000305175782, 0.25299999237060544)"
14576,LeftFoot,SetPiece,BlockedShot,0.052783504128456116,84,0,1,Junior Hoilett,4395,h,Queens Park Rangers,Hull,,2014-08-16 15:00:00,4751,2014,"(0.9640000152587891, 0.664000015258789)"
14880,LeftFoot,OpenPlay,MissedShots,0.05362827703356743,87,0,4,Bobby Zamora,4396,a,Queens Park Rangers,Tottenham,,2014-08-24 13:30:00,4766,2014,"(0.9269999694824219, 0.345)"
14883,RightFoot,OpenPlay,BlockedShot,0.03595666214823723,91,0,4,Loïc Remy,690,a,Queens Park Rangers,Tottenham,Nedum Onuoha,2014-08-24 13:30:00,4766,2014,"(0.8059999847412109, 0.6279999923706054)"
14881,RightFoot,OpenPlay,MissedShots,0.032275475561618805,88,0,4,Loïc Remy,690,a,Queens Park Rangers,Tottenham,Joey Barton,2014-08-24 13:30:00,4766,2014,"(0.894000015258789, 0.7419999694824219)"
14875,Head,FromCorner,MissedShots,0.05043809488415718,61,0,4,Steven Caulker,953,a,Queens Park Rangers,Tottenham,Joey Barton,2014-08-24 13:30:00,4766,2014,"(0.8959999847412109, 0.544000015258789)"
14879,RightFoot,OpenPlay,SavedShot,0.05653165653347969,77,0,4,Steven Caulker,953,a,Queens Park Rangers,Tottenham,,2014-08-24 13:30:00,4766,2014,"(0.8490000152587891, 0.4979999923706055)"
14884,Head,FromCorner,MissedShots,0.4859839975833893,91,0,4,Steven Caulker,953,a,Queens Park Rangers,Tottenham,Alejandro Faurlin,2014-08-24 13:30:00,4766,2014,"(0.955999984741211, 0.5179999923706055)"
14862,RightFoot,OpenPlay,MissedShots,0.011545157991349697,16,0,4,Matt Phillips,1737,a,Queens Park Rangers,Tottenham,,2014-08-24 13:30:00,4766,2014,"(0.6769999694824219, 0.5359999847412109)"
14863,RightFoot,OpenPlay,MissedShots,0.26284390687942505,19,0,4,Matt Phillips,1737,a,Queens Park Rangers,Tottenham,Joey Barton,2014-08-24 13:30:00,4766,2014,"(0.875, 0.515)"
14872,Head,FromCorner,MissedShots,0.08696529269218445,48,0,4,Steven Caulker,953,a,Queens Park Rangers,Tottenham,Joey Barton,2014-08-24 13:30:00,4766,2014,"(0.9169999694824219, 0.534000015258789)"
15065,RightFoot,OpenPlay,MissedShots,0.12421751767396927,85,1,0,Armand Traore,4431,h,Queens Park Rangers,Sunderland,Bobby Zamora,2014-08-30 15:00:00,4772,2014,"(0.8719999694824219, 0.4540000152587891)"
15053,RightFoot,OpenPlay,MissedShots,0.02445024810731411,49,1,0,Joey Barton,4430,h,Queens Park Rangers,Sunderland,Jordon Mutch,2014-08-30 15:00:00,4772,2014,"(0.7719999694824219, 0.2989999961853027)"
15044,RightFoot,OpenPlay,ShotOnPost,0.012437831610441208,29,1,0,Leroy Fer,711,h,Queens Park Rangers,Sunderland,Joey Barton,2014-08-30 15:00:00,4772,2014,"(0.725, 0.5070000076293946)"
15049,RightFoot,OpenPlay,BlockedShot,0.021509595215320587,41,1,0,Joey Barton,4430,h,Queens Park Rangers,Sunderland,Leroy Fer,2014-08-30 15:00:00,4772,2014,"(0.7719999694824219, 0.4)"
