,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
14495,RightFoot,OpenPlay,SavedShot,0.015797056257724762,45,1,2,Morgan Schneiderlin,551,a,Southampton,Liverpool,,2014-08-17 13:30:00,4756,2014,"(0.7609999847412109, 0.674000015258789)"
14494,RightFoot,OpenPlay,SavedShot,0.019021345302462578,39,1,2,James Ward-Prowse,843,a,Southampton,Liverpool,José Fonte,2014-08-17 13:30:00,4756,2014,"(0.7390000152587891, 0.6079999923706054)"
14500,RightFoot,FromCorner,MissedShots,0.04967418313026428,58,1,2,Steven Davis,883,a,Southampton,Liverpool,,2014-08-17 13:30:00,4756,2014,"(0.94, 0.33)"
14501,RightFoot,OpenPlay,SavedShot,0.33726951479911804,62,1,2,Steven Davis,883,a,Southampton,Liverpool,James Ward-Prowse,2014-08-17 13:30:00,4756,2014,"(0.86, 0.4370000076293945)"
14499,RightFoot,OpenPlay,Goal,0.33073893189430237,55,1,2,Nathaniel Clyne,603,a,Southampton,Liverpool,Dusan Tadic,2014-08-17 13:30:00,4756,2014,"(0.9009999847412109, 0.38)"
14507,RightFoot,OpenPlay,SavedShot,0.05837573483586311,85,1,2,James Ward-Prowse,843,a,Southampton,Liverpool,Graziano Pellè,2014-08-17 13:30:00,4756,2014,"(0.8919999694824219, 0.69)"
14503,RightFoot,OpenPlay,BlockedShot,0.09834232926368713,67,1,2,Graziano Pellè,841,a,Southampton,Liverpool,Nathaniel Clyne,2014-08-17 13:30:00,4756,2014,"(0.8959999847412109, 0.46799999237060547)"
14509,Head,OpenPlay,MissedShots,0.4573957324028015,87,1,2,Shane Long,839,a,Southampton,Liverpool,,2014-08-17 13:30:00,4756,2014,"(0.9469999694824218, 0.500999984741211)"
14492,RightFoot,OpenPlay,MissedShots,0.09594620764255524,26,1,2,Graziano Pellè,841,a,Southampton,Liverpool,Morgan Schneiderlin,2014-08-17 13:30:00,4756,2014,"(0.9619999694824218, 0.5920000076293945)"
14502,RightFoot,OpenPlay,BlockedShot,0.015140397474169731,66,1,2,James Ward-Prowse,843,a,Southampton,Liverpool,José Fonte,2014-08-17 13:30:00,4756,2014,"(0.730999984741211, 0.629000015258789)"
14508,LeftFoot,OpenPlay,SavedShot,0.08753733336925507,87,1,2,Morgan Schneiderlin,551,a,Southampton,Liverpool,Graziano Pellè,2014-08-17 13:30:00,4756,2014,"(0.88, 0.5609999847412109)"
14498,RightFoot,OpenPlay,MissedShots,0.027281058952212334,54,1,2,Victor Wanyama,836,a,Southampton,Liverpool,Steven Davis,2014-08-17 13:30:00,4756,2014,"(0.769000015258789, 0.4329999923706055)"
14810,RightFoot,DirectFreekick,ShotOnPost,0.03464391455054283,69,0,0,James Ward-Prowse,843,h,Southampton,West Bromwich Albion,,2014-08-23 15:00:00,4762,2014,"(0.740999984741211, 0.7469999694824219)"
