,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
14585,RightFoot,OpenPlay,MissedShots,0.010496779344975948,9,0,1,Marko Arnautovic,865,h,Stoke,Aston Villa,Erik Pieters,2014-08-16 15:00:00,4752,2014,"(0.725999984741211, 0.720999984741211)"
14584,RightFoot,OpenPlay,SavedShot,0.018237190321087837,5,0,1,Steven N&#039;Zonzi,2413,h,Stoke,Aston Villa,Marko Arnautovic,2014-08-16 15:00:00,4752,2014,"(0.8069999694824219, 0.7419999694824219)"
14595,Head,FromCorner,BlockedShot,0.01392486784607172,52,0,1,Marc Wilson,945,h,Stoke,Aston Villa,Stephen Ireland,2014-08-16 15:00:00,4752,2014,"(0.875, 0.49700000762939456)"
14600,RightFoot,SetPiece,MissedShots,0.07314770668745041,84,0,1,Ryan Shawcross,886,h,Stoke,Aston Villa,,2014-08-16 15:00:00,4752,2014,"(0.8959999847412109, 0.6)"
14598,LeftFoot,SetPiece,BlockedShot,0.031526267528533936,67,0,1,Bojan,871,h,Stoke,Aston Villa,Marko Arnautovic,2014-08-16 15:00:00,4752,2014,"(0.8009999847412109, 0.6020000076293945)"
14596,RightFoot,FromCorner,BlockedShot,0.028258318081498146,52,0,1,Phil Bardsley,857,h,Stoke,Aston Villa,,2014-08-16 15:00:00,4752,2014,"(0.765, 0.4759999847412109)"
14594,RightFoot,OpenPlay,BlockedShot,0.015278803184628487,52,0,1,Marko Arnautovic,865,h,Stoke,Aston Villa,Stephen Ireland,2014-08-16 15:00:00,4752,2014,"(0.7630000305175781, 0.7659999847412109)"
14599,RightFoot,OpenPlay,MissedShots,0.017117703333497047,73,0,1,Marko Arnautovic,865,h,Stoke,Aston Villa,Glenn Whelan,2014-08-16 15:00:00,4752,2014,"(0.7980000305175782, 0.7369999694824219)"
14602,RightFoot,OpenPlay,BlockedShot,0.08282236754894257,94,0,1,Marko Arnautovic,865,h,Stoke,Aston Villa,Steven N&#039;Zonzi,2014-08-16 15:00:00,4752,2014,"(0.89, 0.5740000152587891)"
14590,LeftFoot,OpenPlay,SavedShot,0.022096389904618263,44,0,1,Phil Bardsley,857,h,Stoke,Aston Villa,Ryan Shawcross,2014-08-16 15:00:00,4752,2014,"(0.7919999694824219, 0.275)"
14593,RightFoot,OpenPlay,BlockedShot,0.06866584718227386,51,0,1,Bojan,871,h,Stoke,Aston Villa,Stephen Ireland,2014-08-16 15:00:00,4752,2014,"(0.8630000305175781, 0.5329999923706055)"
14586,RightFoot,OpenPlay,MissedShots,0.04218941554427147,12,0,1,Bojan,871,h,Stoke,Aston Villa,Erik Pieters,2014-08-16 15:00:00,4752,2014,"(0.8859999847412109, 0.7419999694824219)"
14774,RightFoot,OpenPlay,Goal,0.6549206972122192,82,1,1,Ryan Shawcross,886,a,Stoke,Hull,,2014-08-24 13:30:00,4765,2014,"(0.970999984741211, 0.549000015258789)"
14773,RightFoot,OpenPlay,ShotOnPost,0.049395058304071426,82,1,1,Phil Bardsley,857,a,Stoke,Hull,,2014-08-24 13:30:00,4765,2014,"(0.870999984741211, 0.34599998474121096)"
14768,RightFoot,OpenPlay,MissedShots,0.03782504424452782,67,1,1,Steven N&#039;Zonzi,2413,a,Stoke,Hull,Charlie Adam,2014-08-24 13:30:00,4765,2014,"(0.75, 0.43400001525878906)"
14751,Head,OpenPlay,BlockedShot,0.0656844824552536,23,1,1,Steven N&#039;Zonzi,2413,a,Stoke,Hull,Peter Odemwingie,2014-08-24 13:30:00,4765,2014,"(0.93, 0.5359999847412109)"
14766,RightFoot,OpenPlay,MissedShots,0.009805023670196533,64,1,1,Steve Sidwell,1007,a,Stoke,Hull,,2014-08-24 13:30:00,4765,2014,"(0.740999984741211, 0.31)"
14754,Head,FromCorner,MissedShots,0.022010479122400284,30,1,1,Steve Sidwell,1007,a,Stoke,Hull,Marko Arnautovic,2014-08-24 13:30:00,4765,2014,"(0.895, 0.40599998474121096)"
14753,Head,FromCorner,MissedShots,0.04172494634985924,30,1,1,Marc Wilson,945,a,Stoke,Hull,Marko Arnautovic,2014-08-24 13:30:00,4765,2014,"(0.8980000305175782, 0.5640000152587891)"
14752,LeftFoot,OpenPlay,MissedShots,0.024677732959389687,23,1,1,Erik Pieters,887,a,Stoke,Hull,,2014-08-24 13:30:00,4765,2014,"(0.9069999694824219, 0.7519999694824219)"
14763,RightFoot,SetPiece,SavedShot,0.08719787746667862,51,1,1,Ryan Shawcross,886,a,Stoke,Hull,Marko Arnautovic,2014-08-24 13:30:00,4765,2014,"(0.8830000305175781, 0.38799999237060545)"
14770,RightFoot,OpenPlay,BlockedShot,0.018406668677926064,79,1,1,Bojan,871,a,Stoke,Hull,Ryan Shawcross,2014-08-24 13:30:00,4765,2014,"(0.750999984741211, 0.5629999923706055)"
14771,LeftFoot,SetPiece,BlockedShot,0.03506218641996384,81,1,1,Bojan,871,a,Stoke,Hull,,2014-08-24 13:30:00,4765,2014,"(0.8030000305175782, 0.5609999847412109)"
14769,RightFoot,OpenPlay,MissedShots,0.08271067589521408,78,1,1,Mame Biram Diouf,868,a,Stoke,Hull,Peter Odemwingie,2014-08-24 13:30:00,4765,2014,"(0.8619999694824219, 0.4420000076293945)"
14765,Head,OpenPlay,MissedShots,0.20828378200531006,63,1,1,Mame Biram Diouf,868,a,Stoke,Hull,,2014-08-24 13:30:00,4765,2014,"(0.9119999694824219, 0.5670000076293945)"
14772,RightFoot,OpenPlay,MissedShots,0.0892009362578392,81,1,1,Peter Crouch,872,a,Stoke,Hull,Marc Wilson,2014-08-24 13:30:00,4765,2014,"(0.8930000305175781, 0.5520000076293945)"
14749,RightFoot,DirectFreekick,BlockedShot,0.067186638712883,14,1,1,Marko Arnautovic,865,a,Stoke,Hull,,2014-08-24 13:30:00,4765,2014,"(0.7580000305175781, 0.42900001525878906)"
14756,RightFoot,OpenPlay,BlockedShot,0.024441517889499664,34,1,1,Marko Arnautovic,865,a,Stoke,Hull,Peter Odemwingie,2014-08-24 13:30:00,4765,2014,"(0.76, 0.5459999847412109)"
14762,LeftFoot,OpenPlay,MissedShots,0.04732374846935272,48,1,1,Marko Arnautovic,865,a,Stoke,Hull,,2014-08-24 13:30:00,4765,2014,"(0.905, 0.6880000305175781)"
14767,LeftFoot,OpenPlay,SavedShot,0.015014642849564552,65,1,1,Charlie Adam,873,a,Stoke,Hull,Bojan,2014-08-24 13:30:00,4765,2014,"(0.72, 0.66)"
14755,LeftFoot,FromCorner,MissedShots,0.06366115808486938,30,1,1,Ryan Shawcross,886,a,Stoke,Hull,,2014-08-24 13:30:00,4765,2014,"(0.8490000152587891, 0.5509999847412109)"
14988,RightFoot,OpenPlay,SavedShot,0.056673213839530945,29,1,0,Peter Crouch,872,a,Stoke,Manchester City,Marc Wilson,2014-08-30 15:00:00,4770,2014,"(0.8169999694824219, 0.48700000762939455)"
