,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
4753,Sunderland,West Bromwich Albion,0.991901,1.68343,2,2,a,2014-08-16 15:00:00
4767,Sunderland,Manchester United,0.666489,0.941557,1,1,h,2014-08-24 16:00:00
4772,Sunderland,Queens Park Rangers,0.964343,1.27277,0,1,a,2014-08-30 15:00:00
4724,Sunderland,Tottenham,0.338966,2.03694,2,2,h,2014-09-13 15:00:00
4732,Sunderland,Burnley,0.643512,0.710673,0,0,a,2014-09-20 15:00:00
4745,Sunderland,Swansea,1.39649,0.156398,0,0,h,2014-09-27 15:00:00
4692,Sunderland,Stoke,1.40551,0.478187,3,1,h,2014-10-04 15:00:00
4703,Sunderland,Southampton,0.92175,3.71097,0,8,a,2014-10-18 15:00:00
4711,Sunderland,Arsenal,0.441491,1.47081,0,2,h,2014-10-25 15:00:00
4658,Sunderland,Crystal Palace,0.727981,0.766023,3,1,a,2014-11-03 20:00:00
4665,Sunderland,Everton,0.508326,1.31898,1,1,h,2014-11-09 13:30:00
4672,Sunderland,Leicester,0.889971,0.685893,0,0,a,2014-11-22 15:00:00
4686,Sunderland,Chelsea,1.03133,0.761171,0,0,h,2014-11-29 17:30:00
4597,Sunderland,Manchester City,0.412004,1.0386,1,4,h,2014-12-03 19:45:00
4604,Sunderland,Liverpool,0.268395,0.663875,0,0,a,2014-12-06 15:00:00
4613,Sunderland,West Ham,1.33557,0.870324,1,1,h,2014-12-13 15:00:00
4626,Sunderland,Newcastle United,2.18418,0.900259,1,0,a,2014-12-21 13:30:00
4632,Sunderland,Hull,1.35551,0.85573,1,3,h,2014-12-26 15:00:00
4644,Sunderland,Aston Villa,0.845626,0.650993,0,0,a,2014-12-28 15:00:00
4552,Sunderland,Manchester City,0.979558,3.63333,2,3,a,2015-01-01 15:00:00
4561,Sunderland,Liverpool,0.250077,2.16251,0,1,h,2015-01-10 12:45:00
4576,Sunderland,Tottenham,1.19577,0.931537,1,2,a,2015-01-17 15:00:00
4585,Sunderland,Burnley,1.89994,1.34786,2,0,h,2015-01-31 15:00:00
4517,Sunderland,Swansea,0.143279,1.86428,1,1,a,2015-02-07 15:00:00
4526,Sunderland,Queens Park Rangers,1.80831,1.26883,0,2,h,2015-02-10 19:45:00
4538,Sunderland,West Bromwich Albion,0.699828,0.107318,0,0,h,2015-02-21 15:00:00
4550,Sunderland,Manchester United,0.272806,3.03534,0,2,a,2015-02-28 15:00:00
4483,Sunderland,Hull,1.23136,1.3938,1,1,a,2015-03-03 19:45:00
4497,Sunderland,Aston Villa,0.472898,1.50195,0,4,h,2015-03-14 15:00:00
4509,Sunderland,West Ham,0.536562,0.99619,0,1,a,2015-03-21 17:30:00
4448,Sunderland,Newcastle United,0.829443,0.798234,1,0,h,2015-04-05 16:00:00
4452,Sunderland,Crystal Palace,0.617079,2.34787,1,4,h,2015-04-11 15:00:00
4472,Sunderland,Stoke,2.17523,2.15079,1,1,a,2015-04-25 15:00:00
4402,Sunderland,Southampton,1.97694,0.906357,2,1,h,2015-05-02 15:00:00
4409,Sunderland,Everton,1.19799,1.14341,2,0,a,2015-05-09 12:45:00
4421,Sunderland,Leicester,0.935248,0.682972,0,0,h,2015-05-16 15:00:00
4429,Sunderland,Arsenal,1.50177,1.68909,0,0,a,2015-05-20 19:45:00
4431,Sunderland,Chelsea,1.39272,2.52912,1,3,a,2015-05-24 15:00:00
