,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
200265,RightFoot,OpenPlay,MissedShots,0.4157528877258301,36,0,1,Dan Gosling,462,h,Bournemouth,Aston Villa,,2015-08-08 18:00:00,82,2015,"(0.8930000305175781, 0.4759999847412109)"
200271,RightFoot,OpenPlay,BlockedShot,0.015393841080367565,60,0,1,Callum Wilson,468,h,Bournemouth,Aston Villa,Charlie Daniels,2015-08-08 18:00:00,82,2015,"(0.835, 0.7730000305175782)"
200266,RightFoot,OpenPlay,SavedShot,0.11617260426282883,40,0,1,Callum Wilson,468,h,Bournemouth,Aston Villa,Andrew Surman,2015-08-08 18:00:00,82,2015,"(0.8969999694824219, 0.31799999237060544)"
200264,LeftFoot,OpenPlay,MissedShots,0.02403603121638298,32,0,1,Andrew Surman,460,h,Bournemouth,Aston Villa,Matt Ritchie,2015-08-08 18:00:00,82,2015,"(0.7769999694824219, 0.38599998474121094)"
200275,LeftFoot,SetPiece,MissedShots,0.04037806764245033,75,0,1,Andrew Surman,460,h,Bournemouth,Aston Villa,,2015-08-08 18:00:00,82,2015,"(0.835, 0.6329999923706054)"
200269,RightFoot,SetPiece,SavedShot,0.09880407899618149,46,0,1,Marc Pugh,466,h,Bournemouth,Aston Villa,Simon Francis,2015-08-08 18:00:00,82,2015,"(0.9059999847412109, 0.485)"
200260,Head,OpenPlay,MissedShots,0.04787098243832588,19,0,1,Marc Pugh,466,h,Bournemouth,Aston Villa,Simon Francis,2015-08-08 18:00:00,82,2015,"(0.9009999847412109, 0.5279999923706055)"
200263,RightFoot,OpenPlay,BlockedShot,0.020942917093634605,28,0,1,Joshua King,465,h,Bournemouth,Aston Villa,Andrew Surman,2015-08-08 18:00:00,82,2015,"(0.754000015258789, 0.3170000076293945)"
200261,LeftFoot,OpenPlay,MissedShots,0.022423792630434036,24,0,1,Matt Ritchie,461,h,Bournemouth,Aston Villa,Joshua King,2015-08-08 18:00:00,82,2015,"(0.7580000305175781, 0.39599998474121095)"
200277,RightFoot,OpenPlay,MissedShots,0.020246000960469246,82,0,1,Matt Ritchie,461,h,Bournemouth,Aston Villa,Andrew Surman,2015-08-08 18:00:00,82,2015,"(0.8490000152587891, 0.26299999237060545)"
200268,RightFoot,OpenPlay,MissedShots,0.054084695875644684,44,0,1,Joshua King,465,h,Bournemouth,Aston Villa,Andrew Surman,2015-08-08 18:00:00,82,2015,"(0.8769999694824219, 0.6559999847412109)"
51786,Head,FromCorner,MissedShots,0.03618964925408363,79,0,1,Steve Cook,458,a,Bournemouth,Liverpool,Max Gradel,2015-08-17 23:00:00,100,2015,"(0.9159999847412109, 0.5970000076293945)"
51790,Head,OpenPlay,SavedShot,0.023894228041172028,87,0,1,Lee Tomlin,975,a,Bournemouth,Liverpool,Simon Francis,2015-08-17 23:00:00,100,2015,"(0.9380000305175781, 0.36700000762939455)"
51789,OtherBodyPart,FromCorner,MissedShots,0.04438130930066109,85,0,1,Lee Tomlin,975,a,Bournemouth,Liverpool,Matt Ritchie,2015-08-17 23:00:00,100,2015,"(0.915, 0.5)"
51779,LeftFoot,OpenPlay,BlockedShot,0.03107462450861931,62,0,1,Matt Ritchie,461,a,Bournemouth,Liverpool,Eunan O&#039;Kane,2015-08-17 23:00:00,100,2015,"(0.785, 0.3890000152587891)"
51788,RightFoot,OpenPlay,BlockedShot,0.056477561593055725,84,0,1,Lee Tomlin,975,a,Bournemouth,Liverpool,Adam Smith,2015-08-17 23:00:00,100,2015,"(0.9059999847412109, 0.315)"
51774,LeftFoot,OpenPlay,BlockedShot,0.02344721555709839,49,0,1,Callum Wilson,468,a,Bournemouth,Liverpool,Matt Ritchie,2015-08-17 23:00:00,100,2015,"(0.7980000305175782, 0.34)"
51787,RightFoot,OpenPlay,BlockedShot,0.014533559791743755,83,0,1,Eunan O&#039;Kane,472,a,Bournemouth,Liverpool,Andrew Surman,2015-08-17 23:00:00,100,2015,"(0.720999984741211, 0.500999984741211)"
