,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
51536,RightFoot,OpenPlay,MissedShots,0.05294402688741684,36,2,2,Cesc Fàbregas,686,h,Chelsea,Swansea,Willian,2015-08-08 20:30:00,86,2015,"(0.85, 0.3320000076293945)"
51529,RightFoot,DirectFreekick,Goal,0.040701594203710556,22,2,2,Oscar,692,h,Chelsea,Swansea,,2015-08-08 20:30:00,86,2015,"(0.8380000305175781, 0.845)"
51537,RightFoot,OpenPlay,MissedShots,0.1365031749010086,36,2,2,Oscar,692,h,Chelsea,Swansea,,2015-08-08 20:30:00,86,2015,"(0.9130000305175782, 0.43)"
51552,RightFoot,OpenPlay,MissedShots,0.0660548135638237,86,2,2,Falcao,696,h,Chelsea,Swansea,Eden Hazard,2015-08-08 20:30:00,86,2015,"(0.8169999694824219, 0.5359999847412109)"
51534,RightFoot,OpenPlay,SavedShot,0.050366416573524475,32,2,2,Diego Costa,802,h,Chelsea,Swansea,,2015-08-08 20:30:00,86,2015,"(0.98, 0.24399999618530274)"
51528,LeftFoot,OpenPlay,BlockedShot,0.014681585133075714,17,2,2,Nemanja Matic,697,h,Chelsea,Swansea,Eden Hazard,2015-08-08 20:30:00,86,2015,"(0.7269999694824218, 0.34599998474121096)"
51549,RightFoot,OpenPlay,SavedShot,0.10291401296854019,74,2,2,Eden Hazard,701,h,Chelsea,Swansea,Willian,2015-08-08 20:30:00,86,2015,"(0.9680000305175781, 0.33299999237060546)"
51525,RightFoot,OpenPlay,MissedShots,0.01549532637000084,10,2,2,Branislav Ivanovic,682,h,Chelsea,Swansea,Willian,2015-08-08 20:30:00,86,2015,"(0.7609999847412109, 0.225)"
51546,Head,SetPiece,MissedShots,0.12053650617599487,65,2,2,Branislav Ivanovic,682,h,Chelsea,Swansea,Cesc Fàbregas,2015-08-08 20:30:00,86,2015,"(0.9159999847412109, 0.504000015258789)"
51550,RightFoot,OpenPlay,BlockedShot,0.01677769422531128,75,2,2,Branislav Ivanovic,682,h,Chelsea,Swansea,Willian,2015-08-08 20:30:00,86,2015,"(0.785, 0.295)"
51544,RightFoot,OpenPlay,BlockedShot,0.0342116504907608,58,2,2,Willian,700,h,Chelsea,Swansea,Diego Costa,2015-08-08 20:30:00,86,2015,"(0.8919999694824219, 0.7269999694824218)"
51817,RightFoot,OpenPlay,BlockedShot,0.02414815127849579,82,0,3,Falcao,696,a,Chelsea,Manchester City,Cesc Fàbregas,2015-08-16 19:00:00,99,2015,"(0.779000015258789, 0.375)"
51822,LeftFoot,OpenPlay,SavedShot,0.04425375536084175,92,0,3,Falcao,696,a,Chelsea,Manchester City,,2015-08-16 19:00:00,99,2015,"(0.975999984741211, 0.6430000305175781)"
51799,Head,SetPiece,MissedShots,0.04766811430454254,19,0,3,Nemanja Matic,697,a,Chelsea,Manchester City,Eden Hazard,2015-08-16 19:00:00,99,2015,"(0.97, 0.5870000076293945)"
51819,RightFoot,SetPiece,MissedShots,0.03331686928868294,87,0,3,Gary Cahill,699,a,Chelsea,Manchester City,,2015-08-16 19:00:00,99,2015,"(0.8130000305175781, 0.38799999237060545)"
51802,RightFoot,OpenPlay,BlockedShot,0.027200765907764435,29,0,3,Willian,700,a,Chelsea,Manchester City,César Azpilicueta,2015-08-16 19:00:00,99,2015,"(0.7619999694824219, 0.5420000076293945)"
51820,LeftFoot,OpenPlay,SavedShot,0.03935323283076286,87,0,3,Juan Cuadrado,1089,a,Chelsea,Manchester City,Branislav Ivanovic,2015-08-16 19:00:00,99,2015,"(0.87, 0.30100000381469727)"
51801,RightFoot,OpenPlay,BlockedShot,0.01569712534546852,29,0,3,Branislav Ivanovic,682,a,Chelsea,Manchester City,Eden Hazard,2015-08-16 19:00:00,99,2015,"(0.720999984741211, 0.41200000762939454)"
51813,RightFoot,OpenPlay,SavedShot,0.13484984636306763,69,0,3,Eden Hazard,701,a,Chelsea,Manchester City,Diego Costa,2015-08-16 19:00:00,99,2015,"(0.8680000305175781, 0.5070000076293946)"
51821,RightFoot,OpenPlay,ShotOnPost,0.09772931039333344,92,0,3,Diego Costa,802,a,Chelsea,Manchester City,Cesc Fàbregas,2015-08-16 19:00:00,99,2015,"(0.9309999847412109, 0.5179999923706055)"
51806,RightFoot,OpenPlay,MissedShots,0.022531192749738693,41,0,3,Cesc Fàbregas,686,a,Chelsea,Manchester City,,2015-08-16 19:00:00,99,2015,"(0.7759999847412109, 0.6179999923706054)"
57225,RightFoot,OpenPlay,MissedShots,0.0438305102288723,38,3,2,Willian,700,a,Chelsea,West Bromwich Albion,Eden Hazard,2015-08-23 16:30:00,107,2015,"(0.7959999847412109, 0.385)"
57220,LeftFoot,OpenPlay,Goal,0.09079381823539734,19,3,2,Pedro,687,a,Chelsea,West Bromwich Albion,Eden Hazard,2015-08-23 16:30:00,107,2015,"(0.845999984741211, 0.435)"
57221,RightFoot,OpenPlay,BlockedShot,0.06325341761112213,29,3,2,Pedro,687,a,Chelsea,West Bromwich Albion,Willian,2015-08-23 16:30:00,107,2015,"(0.855999984741211, 0.285)"
57229,RightFoot,SetPiece,BlockedShot,0.029146991670131683,50,3,2,Pedro,687,a,Chelsea,West Bromwich Albion,Eden Hazard,2015-08-23 16:30:00,107,2015,"(0.7880000305175782, 0.5709999847412109)"
57239,RightFoot,OpenPlay,MissedShots,0.13544273376464844,76,3,2,Diego Costa,802,a,Chelsea,West Bromwich Albion,Cesc Fàbregas,2015-08-23 16:30:00,107,2015,"(0.875, 0.4159999847412109)"
57234,LeftFoot,OpenPlay,MissedShots,0.060527946799993515,62,3,2,Diego Costa,802,a,Chelsea,West Bromwich Albion,Pedro,2015-08-23 16:30:00,107,2015,"(0.9030000305175782, 0.645)"
57217,LeftFoot,OpenPlay,MissedShots,0.10650887340307236,4,3,2,Diego Costa,802,a,Chelsea,West Bromwich Albion,Eden Hazard,2015-08-23 16:30:00,107,2015,"(0.905, 0.61)"
57240,RightFoot,OpenPlay,MissedShots,0.1362214833498001,79,3,2,Falcao,696,a,Chelsea,West Bromwich Albion,Pedro,2015-08-23 16:30:00,107,2015,"(0.9030000305175782, 0.4329999923706055)"
57243,LeftFoot,OpenPlay,MissedShots,0.1263081431388855,86,3,2,Eden Hazard,701,a,Chelsea,West Bromwich Albion,Nemanja Matic,2015-08-23 16:30:00,107,2015,"(0.9, 0.6309999847412109)"
57232,LeftFoot,DirectFreekick,SavedShot,0.06294550001621246,57,3,2,Nemanja Matic,697,a,Chelsea,West Bromwich Albion,,2015-08-23 16:30:00,107,2015,"(0.7580000305175781, 0.39799999237060546)"
