,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
51543,RightFoot,OpenPlay,SavedShot,0.024525126442313194,57,2,2,Jefferson Montero,715,a,Swansea,Chelsea,Jonjo Shelvey,2015-08-08 20:30:00,86,2015,"(0.805, 0.66)"
51542,RightFoot,Penalty,Goal,0.7611688375473022,54,2,2,Bafétimbi Gomis,717,a,Swansea,Chelsea,,2015-08-08 20:30:00,86,2015,"(0.885, 0.5)"
51526,LeftFoot,OpenPlay,BlockedShot,0.36591699719429016,14,2,2,Bafétimbi Gomis,717,a,Swansea,Chelsea,Jonjo Shelvey,2015-08-08 20:30:00,86,2015,"(0.885, 0.44099998474121094)"
51524,Head,FromCorner,MissedShots,0.03804353252053261,6,2,2,Bafétimbi Gomis,717,a,Swansea,Chelsea,Jonjo Shelvey,2015-08-08 20:30:00,86,2015,"(0.9169999694824219, 0.595999984741211)"
51541,LeftFoot,FromCorner,BlockedShot,0.03919418901205063,49,2,2,Gylfi Sigurdsson,714,a,Swansea,Chelsea,,2015-08-08 20:30:00,86,2015,"(0.86, 0.629000015258789)"
51538,RightFoot,DirectFreekick,BlockedShot,0.06712798774242401,46,2,2,Gylfi Sigurdsson,714,a,Swansea,Chelsea,,2015-08-08 20:30:00,86,2015,"(0.7880000305175782, 0.6759999847412109)"
51535,RightFoot,OpenPlay,SavedShot,0.017624633386731148,36,2,2,Gylfi Sigurdsson,714,a,Swansea,Chelsea,Jefferson Montero,2015-08-08 20:30:00,86,2015,"(0.775, 0.6930000305175781)"
51548,RightFoot,OpenPlay,SavedShot,0.09464477747678757,72,2,2,Wayne Routledge,719,a,Swansea,Chelsea,Jonjo Shelvey,2015-08-08 20:30:00,86,2015,"(0.904000015258789, 0.63)"
51527,LeftFoot,OpenPlay,SavedShot,0.03597164899110794,14,2,2,Ki Sung-yueng,723,a,Swansea,Chelsea,Bafétimbi Gomis,2015-08-08 20:30:00,86,2015,"(0.8119999694824219, 0.3629999923706055)"
51545,RightFoot,OpenPlay,SavedShot,0.06907884031534195,60,2,2,Jefferson Montero,715,a,Swansea,Chelsea,Gylfi Sigurdsson,2015-08-08 20:30:00,86,2015,"(0.9630000305175781, 0.6659999847412109)"
51539,LeftFoot,FromCorner,BlockedShot,0.05706171691417694,46,2,2,Bafétimbi Gomis,717,a,Swansea,Chelsea,Jonjo Shelvey,2015-08-08 20:30:00,86,2015,"(0.9269999694824219, 0.6020000076293945)"
51551,LeftFoot,OpenPlay,SavedShot,0.025434035807847977,80,2,2,André Ayew,713,a,Swansea,Chelsea,Eder,2015-08-08 20:30:00,86,2015,"(0.8469999694824218, 0.25)"
51531,LeftFoot,OpenPlay,BlockedShot,0.5561847686767578,28,2,2,André Ayew,713,a,Swansea,Chelsea,,2015-08-08 20:30:00,86,2015,"(0.9369999694824219, 0.524000015258789)"
51532,LeftFoot,OpenPlay,Goal,0.510695219039917,28,2,2,André Ayew,713,a,Swansea,Chelsea,,2015-08-08 20:30:00,86,2015,"(0.9290000152587891, 0.5370000076293945)"
51547,LeftFoot,OpenPlay,BlockedShot,0.02542351372539997,66,2,2,Jonjo Shelvey,769,a,Swansea,Chelsea,Jack Cork,2015-08-08 20:30:00,86,2015,"(0.7680000305175781, 0.595999984741211)"
51540,Head,FromCorner,MissedShots,0.1201993003487587,47,2,2,Federico Fernández,708,a,Swansea,Chelsea,Jonjo Shelvey,2015-08-08 20:30:00,86,2015,"(0.9340000152587891, 0.524000015258789)"
51530,Head,OpenPlay,SavedShot,0.31209468841552734,28,2,2,Bafétimbi Gomis,717,a,Swansea,Chelsea,Jefferson Montero,2015-08-08 20:30:00,86,2015,"(0.924000015258789, 0.45099998474121095)"
51533,RightFoot,OpenPlay,OwnGoal,0.0,29,2,2,Federico Fernández,708,a,Swansea,Chelsea,,2015-08-08 20:30:00,86,2015,"(0.05699999809265137, 0.295)"
51882,RightFoot,OpenPlay,BlockedShot,0.033277466893196106,28,2,0,Gylfi Sigurdsson,714,h,Swansea,Newcastle United,André Ayew,2015-08-15 18:00:00,94,2015,"(0.769000015258789, 0.40200000762939453)"
51876,RightFoot,OpenPlay,SavedShot,0.024415694177150726,2,2,0,Jonjo Shelvey,769,h,Swansea,Newcastle United,Kyle Naughton,2015-08-15 18:00:00,94,2015,"(0.8040000152587891, 0.285)"
51892,LeftFoot,OpenPlay,SavedShot,0.07329922914505005,78,2,0,Jonjo Shelvey,769,h,Swansea,Newcastle United,Nathan Dyer,2015-08-15 18:00:00,94,2015,"(0.9130000305175782, 0.25799999237060545)"
