,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
112258,RightFoot,DirectFreekick,MissedShots,0.03815551474690437,66,2,1,Tom Huddlestone,1695,h,Hull,Leicester,,2016-08-13 15:30:00,461,2016,"(0.700999984741211, 0.5279999923706055)"
112263,LeftFoot,DirectFreekick,SavedShot,0.04840022698044777,81,2,1,Robert Snodgrass,1691,h,Hull,Leicester,,2016-08-13 15:30:00,461,2016,"(0.924000015258789, 0.135)"
112255,LeftFoot,DirectFreekick,BlockedShot,0.08592822402715683,59,2,1,Robert Snodgrass,1691,h,Hull,Leicester,,2016-08-13 15:30:00,461,2016,"(0.7719999694824219, 0.49700000762939456)"
112254,LeftFoot,OpenPlay,Goal,0.07905679941177368,56,2,1,Robert Snodgrass,1691,h,Hull,Leicester,,2016-08-13 15:30:00,461,2016,"(0.8619999694824219, 0.48)"
112247,LeftFoot,OpenPlay,MissedShots,0.01557000819593668,41,2,1,Robert Snodgrass,1691,h,Hull,Leicester,Adama Diomande,2016-08-13 15:30:00,461,2016,"(0.7480000305175781, 0.3240000152587891)"
112242,LeftFoot,DirectFreekick,MissedShots,0.031149204820394516,29,2,1,Robert Snodgrass,1691,h,Hull,Leicester,,2016-08-13 15:30:00,461,2016,"(0.7580000305175781, 0.18799999237060547)"
112253,LeftFoot,OpenPlay,SavedShot,0.06231752410531044,55,2,1,Abel Hernández,1698,h,Hull,Leicester,,2016-08-13 15:30:00,461,2016,"(0.9530000305175781, 0.6619999694824219)"
112265,RightFoot,OpenPlay,MissedShots,0.015714814886450768,91,2,1,David Meyler,1693,h,Hull,Leicester,,2016-08-13 15:30:00,461,2016,"(0.7069999694824218, 0.45799999237060546)"
112251,RightFoot,FromCorner,Goal,0.14253754913806915,45,2,1,Adama Diomande,1694,h,Hull,Leicester,Abel Hernández,2016-08-13 15:30:00,461,2016,"(0.9719999694824218, 0.43400001525878906)"
112264,RightFoot,OpenPlay,BlockedShot,0.021670209243893623,84,2,1,Adama Diomande,1694,h,Hull,Leicester,Ahmed Elmohamady,2016-08-13 15:30:00,461,2016,"(0.775, 0.6819999694824219)"
112250,LeftFoot,FromCorner,MissedShots,0.12796488404273987,45,2,1,Abel Hernández,1698,h,Hull,Leicester,,2016-08-13 15:30:00,461,2016,"(0.9730000305175781, 0.44299999237060544)"
112243,LeftFoot,OpenPlay,MissedShots,0.03937932476401329,33,2,1,Abel Hernández,1698,h,Hull,Leicester,,2016-08-13 15:30:00,461,2016,"(0.8390000152587891, 0.3240000152587891)"
112236,Head,FromCorner,MissedShots,0.01687188446521759,5,2,1,Curtis Davies,1686,h,Hull,Leicester,Robert Snodgrass,2016-08-13 15:30:00,461,2016,"(0.9159999847412109, 0.585)"
112249,Head,FromCorner,SavedShot,0.03354136273264885,45,2,1,Curtis Davies,1686,h,Hull,Leicester,Robert Snodgrass,2016-08-13 15:30:00,461,2016,"(0.9230000305175782, 0.605999984741211)"
112749,LeftFoot,OpenPlay,BlockedShot,0.03793714568018913,29,2,0,Abel Hernández,1698,a,Hull,Swansea,Tom Huddlestone,2016-08-20 18:00:00,474,2016,"(0.884000015258789, 0.7290000152587891)"
112766,Head,FromCorner,SavedShot,0.09622975438833237,77,2,0,Curtis Davies,1686,a,Hull,Swansea,Robert Snodgrass,2016-08-20 18:00:00,474,2016,"(0.93, 0.555)"
112751,RightFoot,OpenPlay,MissedShots,0.025783712044358253,35,2,0,Adama Diomande,1694,a,Hull,Swansea,Tom Huddlestone,2016-08-20 18:00:00,474,2016,"(0.8469999694824218, 0.754000015258789)"
112762,RightFoot,OpenPlay,BlockedShot,0.010239371098577976,63,2,0,Tom Huddlestone,1695,a,Hull,Swansea,,2016-08-20 18:00:00,474,2016,"(0.765, 0.265)"
112741,LeftFoot,OpenPlay,BlockedShot,0.01294444128870964,8,2,0,Sam Clucas,1690,a,Hull,Swansea,Robert Snodgrass,2016-08-20 18:00:00,474,2016,"(0.6940000152587891, 0.524000015258789)"
112769,LeftFoot,OpenPlay,SavedShot,0.30176180601119995,81,2,0,Abel Hernández,1698,a,Hull,Swansea,Tom Huddlestone,2016-08-20 18:00:00,474,2016,"(0.850999984741211, 0.5120000076293946)"
112744,RightFoot,OpenPlay,MissedShots,0.13769535720348358,14,2,0,Adama Diomande,1694,a,Hull,Swansea,Robert Snodgrass,2016-08-20 18:00:00,474,2016,"(0.8780000305175781, 0.45)"
112768,LeftFoot,FromCorner,Goal,0.9510815739631653,78,2,0,Shaun Maloney,1692,a,Hull,Swansea,Curtis Davies,2016-08-20 18:00:00,474,2016,"(0.9890000152587891, 0.539000015258789)"
112765,RightFoot,DirectFreekick,BlockedShot,0.07260552048683167,77,2,0,Shaun Maloney,1692,a,Hull,Swansea,,2016-08-20 18:00:00,474,2016,"(0.759000015258789, 0.500999984741211)"
112767,Head,FromCorner,MissedShots,0.11756046861410141,78,2,0,Curtis Davies,1686,a,Hull,Swansea,Robert Snodgrass,2016-08-20 18:00:00,474,2016,"(0.9319999694824219, 0.47200000762939454)"
112774,LeftFoot,OpenPlay,Goal,0.4338517189025879,91,2,0,Abel Hernández,1698,a,Hull,Swansea,Shaun Maloney,2016-08-20 18:00:00,474,2016,"(0.914000015258789, 0.4209999847412109)"
112758,LeftFoot,OpenPlay,BlockedShot,0.10066922008991241,50,2,0,Robert Snodgrass,1691,a,Hull,Swansea,Andrew Robertson,2016-08-20 18:00:00,474,2016,"(0.8640000152587891, 0.54)"
112987,RightFoot,OpenPlay,MissedShots,0.014675658196210861,75,0,1,Tom Huddlestone,1695,h,Hull,Manchester United,,2016-08-27 20:30:00,488,2016,"(0.73, 0.515)"
112969,LeftFoot,DirectFreekick,MissedShots,0.05466924235224724,24,0,1,Robert Snodgrass,1691,h,Hull,Manchester United,,2016-08-27 20:30:00,488,2016,"(0.735, 0.5070000076293946)"
112965,LeftFoot,DirectFreekick,BlockedShot,0.043203484266996384,5,0,1,Robert Snodgrass,1691,h,Hull,Manchester United,,2016-08-27 20:30:00,488,2016,"(0.7609999847412109, 0.27399999618530274)"
112979,LeftFoot,OpenPlay,SavedShot,0.03755189850926399,46,0,1,Abel Hernández,1698,h,Hull,Manchester United,Adama Diomande,2016-08-27 20:30:00,488,2016,"(0.835, 0.6719999694824219)"
