,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
112291,Head,FromCorner,MissedShots,0.08970849961042404,6,1,1,Gastón Ramírez,952,h,Middlesbrough,Stoke,Stewart Downing,2016-08-13 18:00:00,465,2016,"(0.919000015258789, 0.5370000076293945)"
112314,Head,OpenPlay,SavedShot,0.08954305946826935,89,1,1,Stewart Downing,1712,h,Middlesbrough,Stoke,Albert Adomah,2016-08-13 18:00:00,465,2016,"(0.965999984741211, 0.595999984741211)"
112309,Head,FromCorner,MissedShots,0.1084509938955307,71,1,1,Ben Gibson,1707,h,Middlesbrough,Stoke,Stewart Downing,2016-08-13 18:00:00,465,2016,"(0.925, 0.5209999847412109)"
112295,RightFoot,OpenPlay,BlockedShot,0.075546495616436,35,1,1,George Friend,1708,h,Middlesbrough,Stoke,,2016-08-13 18:00:00,465,2016,"(0.8919999694824219, 0.66)"
112296,LeftFoot,OpenPlay,MissedShots,0.028266893699765205,35,1,1,Adam Clayton,1717,h,Middlesbrough,Stoke,,2016-08-13 18:00:00,465,2016,"(0.7480000305175781, 0.56)"
112313,RightFoot,OpenPlay,MissedShots,0.27157390117645264,86,1,1,Albert Adomah,1782,h,Middlesbrough,Stoke,Stewart Downing,2016-08-13 18:00:00,465,2016,"(0.965999984741211, 0.3629999923706055)"
112302,LeftFoot,FromCorner,MissedShots,0.023537348955869675,50,1,1,Albert Adomah,1782,h,Middlesbrough,Stoke,,2016-08-13 18:00:00,465,2016,"(0.7980000305175782, 0.32599998474121095)"
112301,LeftFoot,OpenPlay,BlockedShot,0.04580283537507057,48,1,1,Albert Adomah,1782,h,Middlesbrough,Stoke,,2016-08-13 18:00:00,465,2016,"(0.789000015258789, 0.32599998474121095)"
112300,RightFoot,OpenPlay,BlockedShot,0.026138685643672943,46,1,1,Adam Clayton,1717,h,Middlesbrough,Stoke,Gastón Ramírez,2016-08-13 18:00:00,465,2016,"(0.750999984741211, 0.5609999847412109)"
112308,RightFoot,FromCorner,BlockedShot,0.04317846894264221,71,1,1,Nsue,1757,h,Middlesbrough,Stoke,Gastón Ramírez,2016-08-13 18:00:00,465,2016,"(0.895, 0.31)"
112292,Head,OpenPlay,Goal,0.9232075810432434,10,1,1,Álvaro Negredo,1715,h,Middlesbrough,Stoke,Gastón Ramírez,2016-08-13 18:00:00,465,2016,"(0.98, 0.524000015258789)"
112297,LeftFoot,OpenPlay,ShotOnPost,0.08027133345603943,35,1,1,Gastón Ramírez,952,h,Middlesbrough,Stoke,Álvaro Negredo,2016-08-13 18:00:00,465,2016,"(0.9130000305175782, 0.695)"
112716,LeftFoot,OpenPlay,SavedShot,0.03874284029006958,19,2,1,Gastón Ramírez,952,a,Middlesbrough,Sunderland,Álvaro Negredo,2016-08-21 16:30:00,479,2016,"(0.7819999694824219, 0.6819999694824219)"
112739,LeftFoot,OpenPlay,MissedShots,0.022822247818112373,84,2,1,Adam Clayton,1717,a,Middlesbrough,Sunderland,Stewart Downing,2016-08-21 16:30:00,479,2016,"(0.7390000152587891, 0.5609999847412109)"
112715,RightFoot,OpenPlay,Goal,0.01869317516684532,12,2,1,Cristhian Stuani,1709,a,Middlesbrough,Sunderland,Álvaro Negredo,2016-08-21 16:30:00,479,2016,"(0.7680000305175781, 0.26399999618530273)"
112722,LeftFoot,OpenPlay,Goal,0.5719372630119324,44,2,1,Cristhian Stuani,1709,a,Middlesbrough,Sunderland,Álvaro Negredo,2016-08-21 16:30:00,479,2016,"(0.925, 0.49700000762939456)"
112738,LeftFoot,OpenPlay,BlockedShot,0.043879758566617966,82,2,1,George Friend,1708,a,Middlesbrough,Sunderland,,2016-08-21 16:30:00,479,2016,"(0.8680000305175781, 0.7440000152587891)"
112721,LeftFoot,OpenPlay,BlockedShot,0.09619691222906113,44,2,1,Álvaro Negredo,1715,a,Middlesbrough,Sunderland,George Friend,2016-08-21 16:30:00,479,2016,"(0.899000015258789, 0.6229999923706054)"
112728,RightFoot,OpenPlay,BlockedShot,0.04319366067647934,61,2,1,Albert Adomah,1782,a,Middlesbrough,Sunderland,Adam Forshaw,2016-08-21 16:30:00,479,2016,"(0.81, 0.6659999847412109)"
112717,RightFoot,OpenPlay,MissedShots,0.019441787153482437,20,2,1,Adam Forshaw,1711,a,Middlesbrough,Sunderland,,2016-08-21 16:30:00,479,2016,"(0.764000015258789, 0.7080000305175781)"
113138,RightFoot,OpenPlay,BlockedShot,0.07975990325212479,74,0,0,Nsue,1757,a,Middlesbrough,West Bromwich Albion,Cristhian Stuani,2016-08-28 16:30:00,489,2016,"(0.9130000305175782, 0.3370000076293945)"
