,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
465,Stoke,Middlesbrough,0.485626,1.80523,1,1,a,2016-08-13 18:00:00
472,Stoke,Manchester City,1.31066,2.17198,1,4,h,2016-08-20 15:30:00
487,Stoke,Everton,0.187415,2.31835,0,1,a,2016-08-27 18:00:00
493,Stoke,Tottenham,1.01771,2.77025,0,4,h,2016-09-10 18:00:00
508,Stoke,Crystal Palace,1.20308,1.31366,1,4,a,2016-09-18 17:15:00
513,Stoke,West Bromwich Albion,0.979673,0.270862,1,1,h,2016-09-24 18:00:00
527,Stoke,Manchester United,1.20043,2.80988,1,1,a,2016-10-02 15:00:00
535,Stoke,Sunderland,2.29543,0.587572,2,0,h,2016-10-15 18:00:00
545,Stoke,Hull,1.04273,0.701606,2,0,a,2016-10-22 18:00:00
2686,Stoke,Swansea,2.16407,1.10058,3,1,h,2016-11-01 00:00:00
2690,Stoke,West Ham,0.81046,0.404528,1,1,a,2016-11-05 19:00:00
2699,Stoke,Bournemouth,1.60429,1.24012,0,1,h,2016-11-19 19:00:00
2713,Stoke,Watford,0.704736,0.541915,1,0,a,2016-11-27 16:00:00
3107,Stoke,Burnley,1.12929,0.773995,2,0,h,2016-12-03 19:00:00
3118,Stoke,Arsenal,1.29401,1.58027,1,3,a,2016-12-10 19:00:00
3133,Stoke,Southampton,0.333754,0.723114,0,0,h,2016-12-15 00:00:00
3138,Stoke,Leicester,2.518,1.25572,2,2,h,2016-12-17 19:00:00
3153,Stoke,Liverpool,0.389104,1.66669,1,4,a,2016-12-27 21:15:00
3158,Stoke,Chelsea,0.858417,1.94737,2,4,a,2016-12-31 19:00:00
3338,Stoke,Watford,1.85359,0.510395,2,0,h,2017-01-04 00:00:00
3342,Stoke,Sunderland,1.22897,1.1365,3,1,a,2017-01-14 19:00:00
3354,Stoke,Manchester United,0.353777,1.74295,1,1,h,2017-01-21 18:00:00
3369,Stoke,Everton,1.7362,0.870158,1,1,h,2017-02-01 23:00:00
3375,Stoke,West Bromwich Albion,1.10818,1.84983,0,1,a,2017-02-04 15:00:00
3383,Stoke,Crystal Palace,0.720883,0.202159,1,0,h,2017-02-11 15:00:00
3397,Stoke,Tottenham,0.743596,1.89002,0,4,a,2017-02-26 13:30:00
3403,Stoke,Middlesbrough,2.97584,0.274611,2,0,h,2017-03-04 15:00:00
3418,Stoke,Manchester City,0.337194,1.3049,0,0,a,2017-03-08 20:00:00
3424,Stoke,Chelsea,0.952053,1.95538,1,2,h,2017-03-18 15:00:00
3434,Stoke,Leicester,1.36671,1.97444,0,2,a,2017-04-01 15:00:00
3441,Stoke,Burnley,1.17275,0.348885,0,1,a,2017-04-04 19:45:00
3451,Stoke,Liverpool,2.13972,1.02225,1,2,h,2017-04-08 15:00:00
3463,Stoke,Hull,2.01829,1.17696,3,1,h,2017-04-15 15:00:00
3478,Stoke,Swansea,1.69454,0.475636,0,2,a,2017-04-22 15:00:00
3485,Stoke,West Ham,1.35509,0.65149,0,0,h,2017-04-29 15:00:00
3491,Stoke,Bournemouth,2.3019,1.30668,2,2,a,2017-05-06 15:00:00
3505,Stoke,Arsenal,1.30239,2.63639,1,4,h,2017-05-13 17:30:00
3517,Stoke,Southampton,0.983464,1.3554,1,0,a,2017-05-21 15:00:00
