,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
112268,Head,SetPiece,MissedShots,0.1080598309636116,2,1,2,Duncan Watmore,919,a,Sunderland,Manchester City,Lynden Gooch,2016-08-13 20:30:00,467,2016,"(0.9519999694824218, 0.4129999923706055)"
112267,LeftFoot,DirectFreekick,SavedShot,0.05791319161653519,1,1,2,Patrick van Aanholt,730,a,Sunderland,Manchester City,,2016-08-13 20:30:00,467,2016,"(0.7469999694824219, 0.5840000152587891)"
112285,RightFoot,FromCorner,MissedShots,0.01923673041164875,73,1,2,Wahbi Khazri,734,a,Sunderland,Manchester City,,2016-08-13 20:30:00,467,2016,"(0.8190000152587891, 0.5770000076293945)"
112289,Head,OpenPlay,OwnGoal,0.0,86,1,2,Paddy McNair,559,a,Sunderland,Manchester City,,2016-08-13 20:30:00,467,2016,"(0.024000000953674317, 0.47400001525878904)"
112277,LeftFoot,FromCorner,BlockedShot,0.03736735135316849,40,1,2,Lamine Koné,728,a,Sunderland,Manchester City,,2016-08-13 20:30:00,467,2016,"(0.835999984741211, 0.5879999923706055)"
112284,RightFoot,OpenPlay,Goal,0.3954354524612427,70,1,2,Jermain Defoe,735,a,Sunderland,Manchester City,Jack Rodwell,2016-08-13 20:30:00,467,2016,"(0.8719999694824219, 0.47200000762939454)"
112278,RightFoot,FromCorner,SavedShot,0.45691150426864624,40,1,2,Jermain Defoe,735,a,Sunderland,Manchester City,Lamine Koné,2016-08-13 20:30:00,467,2016,"(0.9219999694824219, 0.49900001525878906)"
112276,RightFoot,OpenPlay,BlockedShot,0.023842213675379753,39,1,2,Jack Rodwell,733,a,Sunderland,Manchester City,Fabio Borini,2016-08-13 20:30:00,467,2016,"(0.7730000305175782, 0.38599998474121094)"
112731,LeftFoot,OpenPlay,BlockedShot,0.13780075311660767,64,1,2,Jermain Defoe,735,h,Sunderland,Middlesbrough,Patrick van Aanholt,2016-08-21 16:30:00,479,2016,"(0.92, 0.5279999923706055)"
112735,LeftFoot,OpenPlay,BlockedShot,0.027148094028234482,72,1,2,Lynden Gooch,1027,h,Sunderland,Middlesbrough,Adnan Januzaj,2016-08-21 16:30:00,479,2016,"(0.8059999847412109, 0.3729999923706055)"
112724,LeftFoot,OpenPlay,BlockedShot,0.19622576236724854,54,1,2,Lynden Gooch,1027,h,Sunderland,Middlesbrough,,2016-08-21 16:30:00,479,2016,"(0.86, 0.5509999847412109)"
112725,LeftFoot,OpenPlay,MissedShots,0.018199730664491653,55,1,2,Steven Pienaar,924,h,Sunderland,Middlesbrough,Patrick van Aanholt,2016-08-21 16:30:00,479,2016,"(0.7519999694824219, 0.5659999847412109)"
112720,Head,FromCorner,MissedShots,0.024361534044146538,37,1,2,Papy Djilobodji,1071,h,Sunderland,Middlesbrough,Lynden Gooch,2016-08-21 16:30:00,479,2016,"(0.9440000152587891, 0.41200000762939454)"
112733,RightFoot,OpenPlay,SavedShot,0.04732880741357803,70,1,2,Duncan Watmore,919,h,Sunderland,Middlesbrough,Jeremain Lens,2016-08-21 16:30:00,479,2016,"(0.7830000305175782, 0.504000015258789)"
