,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
466,Watford,Southampton,0.180046,0.937328,1,1,a,2016-08-13 18:00:00
476,Watford,Chelsea,0.804549,1.75595,1,2,h,2016-08-20 18:00:00
482,Watford,Arsenal,1.07775,2.03271,1,3,h,2016-08-27 18:00:00
497,Watford,West Ham,1.85479,1.32216,4,2,a,2016-09-10 18:00:00
507,Watford,Manchester United,1.74506,1.41359,3,1,h,2016-09-18 15:00:00
520,Watford,Burnley,0.776105,0.569734,0,2,a,2016-09-26 23:00:00
525,Watford,Bournemouth,1.23419,1.35487,2,2,h,2016-10-01 18:00:00
538,Watford,Middlesbrough,0.0893749,0.528576,1,0,a,2016-10-16 16:30:00
543,Watford,Swansea,0.478578,1.33215,0,0,a,2016-10-22 18:00:00
2679,Watford,Hull,1.14991,0.251367,1,0,h,2016-10-29 18:00:00
2693,Watford,Liverpool,0.771133,4.18366,1,6,a,2016-11-06 18:15:00
2701,Watford,Leicester,0.7197,1.19686,2,1,h,2016-11-19 19:00:00
2713,Watford,Stoke,0.541915,0.704736,0,1,h,2016-11-27 16:00:00
3110,Watford,West Bromwich Albion,1.476,1.17737,1,3,a,2016-12-03 19:00:00
3115,Watford,Everton,1.49271,1.09675,3,2,h,2016-12-10 16:30:00
3132,Watford,Manchester City,0.497462,1.62359,0,2,a,2016-12-15 00:00:00
3139,Watford,Sunderland,1.07552,1.13526,0,1,a,2016-12-17 19:00:00
3145,Watford,Crystal Palace,0.959496,1.53834,1,1,h,2016-12-26 16:30:00
3328,Watford,Tottenham,1.26331,3.06509,1,4,h,2017-01-01 13:30:00
3338,Watford,Stoke,0.510395,1.85359,0,2,a,2017-01-04 00:00:00
3341,Watford,Middlesbrough,0.835827,0.325347,0,0,h,2017-01-14 19:00:00
3352,Watford,Bournemouth,1.08731,1.14791,2,2,a,2017-01-21 18:00:00
3360,Watford,Arsenal,0.918309,1.07765,2,1,a,2017-01-31 22:45:00
3374,Watford,Burnley,1.66308,1.4777,2,1,h,2017-02-04 15:00:00
3381,Watford,Manchester United,0.641058,2.627,0,2,a,2017-02-11 15:00:00
3396,Watford,West Ham,1.21279,1.48144,1,1,h,2017-02-25 17:30:00
3407,Watford,Southampton,1.40104,1.33681,3,4,h,2017-03-04 15:00:00
3428,Watford,Crystal Palace,0.190648,0.376326,0,1,a,2017-03-18 15:00:00
3439,Watford,Sunderland,1.95828,0.349699,1,0,h,2017-04-01 15:00:00
3443,Watford,West Bromwich Albion,0.691991,1.48109,2,0,h,2017-04-04 19:45:00
3453,Watford,Tottenham,0.369968,1.18779,0,4,a,2017-04-08 12:30:00
3466,Watford,Swansea,1.22039,0.641001,1,0,h,2017-04-15 15:00:00
3474,Watford,Hull,1.15869,1.42309,0,2,a,2017-04-22 15:00:00
3488,Watford,Liverpool,0.436648,0.55669,0,1,h,2017-05-01 20:00:00
3495,Watford,Leicester,0.512433,1.00566,0,3,a,2017-05-06 15:00:00
3502,Watford,Everton,1.54861,1.12984,0,1,a,2017-05-12 19:45:00
3414,Watford,Chelsea,0.883368,2.65315,3,4,a,2017-05-15 20:00:00
3519,Watford,Manchester City,0.826124,3.26614,0,5,h,2017-05-21 15:00:00
