,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
158134,LeftFoot,OpenPlay,MissedShots,0.029373256489634514,3,3,4,Riyad Mahrez,750,a,Leicester,Arsenal,,2017-08-11 19:45:00,7119,2017,"(0.8530000305175781, 0.46700000762939453)"
158149,RightFoot,OpenPlay,MissedShots,0.041611578315496445,54,3,4,Riyad Mahrez,750,a,Leicester,Arsenal,,2017-08-11 19:45:00,7119,2017,"(0.7980000305175782, 0.4570000076293945)"
158143,RightFoot,OpenPlay,Goal,0.6482983827590942,28,3,4,Jamie Vardy,755,a,Leicester,Arsenal,Marc Albrighton,2017-08-11 19:45:00,7119,2017,"(0.9669999694824218, 0.48900001525878906)"
158150,Head,FromCorner,Goal,0.12849052250385284,55,3,4,Jamie Vardy,755,a,Leicester,Arsenal,Riyad Mahrez,2017-08-11 19:45:00,7119,2017,"(0.9540000152587891, 0.4540000152587891)"
158144,Head,OpenPlay,MissedShots,0.05473722517490387,32,3,4,Shinji Okazaki,754,a,Leicester,Arsenal,Christian Fuchs,2017-08-11 19:45:00,7119,2017,"(0.9059999847412109, 0.49)"
158135,Head,FromCorner,Goal,0.5624350309371948,4,3,4,Shinji Okazaki,754,a,Leicester,Arsenal,Harry Maguire,2017-08-11 19:45:00,7119,2017,"(0.975999984741211, 0.46599998474121096)"
158480,LeftFoot,OpenPlay,BlockedShot,0.1259090155363083,73,2,0,Riyad Mahrez,750,h,Leicester,Brighton,Marc Albrighton,2017-08-19 15:00:00,7133,2017,"(0.8619999694824219, 0.495)"
158476,LeftFoot,OpenPlay,MissedShots,0.6253145337104797,40,2,0,Shinji Okazaki,754,h,Leicester,Brighton,Jamie Vardy,2017-08-19 15:00:00,7133,2017,"(0.9619999694824218, 0.48200000762939454)"
158467,RightFoot,OpenPlay,Goal,0.5314216017723083,0,2,0,Shinji Okazaki,754,h,Leicester,Brighton,,2017-08-19 15:00:00,7133,2017,"(0.9319999694824219, 0.4759999847412109)"
158468,Head,SetPiece,MissedShots,0.1171901747584343,5,2,0,Wes Morgan,748,h,Leicester,Brighton,Marc Albrighton,2017-08-19 15:00:00,7133,2017,"(0.919000015258789, 0.5309999847412109)"
158482,LeftFoot,SetPiece,SavedShot,0.014987415634095669,75,2,0,Riyad Mahrez,750,h,Leicester,Brighton,,2017-08-19 15:00:00,7133,2017,"(0.7680000305175781, 0.3729999923706055)"
158470,LeftFoot,OpenPlay,BlockedShot,0.04349775239825249,15,2,0,Riyad Mahrez,750,h,Leicester,Brighton,,2017-08-19 15:00:00,7133,2017,"(0.7719999694824219, 0.4929999923706055)"
158475,RightFoot,SetPiece,MissedShots,0.04187431186437607,38,2,0,Matthew James,4441,h,Leicester,Brighton,,2017-08-19 15:00:00,7133,2017,"(0.8090000152587891, 0.48)"
158478,RightFoot,DirectFreekick,BlockedShot,0.03989600017666817,66,2,0,Marc Albrighton,753,h,Leicester,Brighton,,2017-08-19 15:00:00,7133,2017,"(0.8069999694824219, 0.8169999694824219)"
158477,Head,FromCorner,Goal,0.07763027399778366,53,2,0,Harry Maguire,1687,h,Leicester,Brighton,Riyad Mahrez,2017-08-19 15:00:00,7133,2017,"(0.9590000152587891, 0.54)"
