,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
158362,RightFoot,OpenPlay,MissedShots,0.10667981207370758,85,3,3,Georginio Wijnaldum,771,a,Liverpool,Watford,Sadio Mané,2017-08-12 12:30:00,7120,2017,"(0.8530000305175781, 0.5320000076293945)"
158347,RightFoot,OpenPlay,Goal,0.29964545369148254,28,3,3,Sadio Mané,838,a,Liverpool,Watford,Emre Can,2017-08-12 12:30:00,7120,2017,"(0.915, 0.6430000305175781)"
158351,Head,OpenPlay,MissedShots,0.03122325986623764,47,3,3,Sadio Mané,838,a,Liverpool,Watford,Roberto Firmino,2017-08-12 12:30:00,7120,2017,"(0.9019999694824219, 0.5279999923706055)"
158358,Head,FromCorner,SavedShot,0.09271261096000671,69,3,3,Dejan Lovren,602,a,Liverpool,Watford,Trent Alexander-Arnold,2017-08-12 12:30:00,7120,2017,"(0.9259999847412109, 0.44799999237060545)"
158367,RightFoot,OpenPlay,BlockedShot,0.047608632594347,97,3,3,Georginio Wijnaldum,771,a,Liverpool,Watford,Joseph Gomez,2017-08-12 12:30:00,7120,2017,"(0.8430000305175781, 0.5220000076293946)"
158353,RightFoot,Penalty,Goal,0.7611688375473022,54,3,3,Roberto Firmino,482,a,Liverpool,Watford,,2017-08-12 12:30:00,7120,2017,"(0.885, 0.5)"
158350,LeftFoot,OpenPlay,MissedShots,0.05597575008869171,37,3,3,Mohamed Salah,1250,a,Liverpool,Watford,,2017-08-12 12:30:00,7120,2017,"(0.9209999847412109, 0.3390000152587891)"
158352,LeftFoot,OpenPlay,MissedShots,0.05116219073534012,48,3,3,Mohamed Salah,1250,a,Liverpool,Watford,Georginio Wijnaldum,2017-08-12 12:30:00,7120,2017,"(0.8540000152587891, 0.3370000076293945)"
158355,LeftFoot,OpenPlay,Goal,0.936431884765625,56,3,3,Mohamed Salah,1250,a,Liverpool,Watford,Roberto Firmino,2017-08-12 12:30:00,7120,2017,"(0.9869999694824219, 0.46)"
158354,RightFoot,OpenPlay,MissedShots,0.054032400250434875,56,3,3,Roberto Firmino,482,a,Liverpool,Watford,Dejan Lovren,2017-08-12 12:30:00,7120,2017,"(0.8819999694824219, 0.6719999694824219)"
158359,LeftFoot,OpenPlay,MissedShots,0.038231704384088516,70,3,3,Mohamed Salah,1250,a,Liverpool,Watford,Alberto Moreno,2017-08-12 12:30:00,7120,2017,"(0.8419999694824218, 0.3139999961853027)"
158357,OtherBodyPart,FromCorner,ShotOnPost,0.07954518496990204,64,3,3,Joel Matip,332,a,Liverpool,Watford,Trent Alexander-Arnold,2017-08-12 12:30:00,7120,2017,"(0.955, 0.57)"
158361,RightFoot,OpenPlay,MissedShots,0.08020294457674026,76,3,3,Mohamed Salah,1250,a,Liverpool,Watford,Sadio Mané,2017-08-12 12:30:00,7120,2017,"(0.914000015258789, 0.31799999237060544)"
