,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
7122,Swansea,Southampton,0.406196,2.21748,0,0,a,2017-08-12 15:00:00
7129,Swansea,Manchester United,0.304164,3.41021,0,4,h,2017-08-19 12:30:00
7141,Swansea,Crystal Palace,0.966783,0.818951,2,0,a,2017-08-26 15:00:00
7157,Swansea,Newcastle United,1.48574,1.03177,0,1,h,2017-09-10 16:00:00
7166,Swansea,Tottenham,0.154074,1.17894,0,0,a,2017-09-16 17:30:00
7171,Swansea,Watford,1.50811,1.25817,1,2,h,2017-09-23 15:00:00
7183,Swansea,West Ham,0.178568,0.692185,0,1,a,2017-09-30 15:00:00
7196,Swansea,Huddersfield,1.65446,0.596086,2,0,h,2017-10-14 15:00:00
7206,Swansea,Leicester,0.559618,1.80814,1,2,h,2017-10-21 15:00:00
7209,Swansea,Arsenal,0.8355,2.37777,1,2,a,2017-10-28 15:00:00
7225,Swansea,Brighton,1.24557,0.874927,0,1,h,2017-11-04 15:00:00
7233,Swansea,Burnley,0.431402,1.5427,0,2,a,2017-11-18 15:00:00
7240,Swansea,Bournemouth,0.879594,0.449075,0,0,h,2017-11-25 15:00:00
7255,Swansea,Chelsea,0.0411427,2.30012,0,1,a,2017-11-29 19:45:00
7263,Swansea,Stoke,0.320601,1.24743,1,2,a,2017-12-02 15:00:00
7271,Swansea,West Bromwich Albion,1.01101,0.25228,1,0,h,2017-12-09 15:00:00
7281,Swansea,Manchester City,0.589496,3.56828,0,4,h,2017-12-13 19:45:00
7293,Swansea,Everton,0.766224,2.01756,1,3,a,2017-12-18 20:00:00
7299,Swansea,Crystal Palace,0.546613,1.25546,1,1,h,2017-12-23 15:00:00
7313,Swansea,Liverpool,0.2719,3.06422,0,5,a,2017-12-26 17:30:00
7327,Swansea,Watford,1.31479,1.17794,2,1,a,2017-12-30 15:00:00
7338,Swansea,Tottenham,0.397789,1.61843,0,2,h,2018-01-02 19:45:00
7345,Swansea,Newcastle United,0.895774,1.8273,1,1,a,2018-01-13 15:00:00
7357,Swansea,Liverpool,0.498742,2.19675,1,0,h,2018-01-22 20:00:00
7361,Swansea,Arsenal,2.37911,1.15616,3,1,h,2018-01-30 19:45:00
7374,Swansea,Leicester,0.569943,1.48466,1,1,a,2018-02-03 15:00:00
7386,Swansea,Burnley,0.843332,0.430729,1,0,h,2018-02-10 15:00:00
7391,Swansea,Brighton,0.443169,3.2913,1,4,a,2018-02-24 15:00:00
7406,Swansea,West Ham,2.30838,0.497211,4,1,h,2018-03-03 15:00:00
7413,Swansea,Huddersfield,0.0,1.39381,0,0,a,2018-03-10 15:00:00
7435,Swansea,Manchester United,0.138813,2.14368,0,2,a,2018-03-31 15:00:00
7448,Swansea,West Bromwich Albion,0.655729,1.22912,1,1,a,2018-04-07 14:00:00
7456,Swansea,Everton,1.19751,1.61456,1,1,h,2018-04-14 14:00:00
7465,Swansea,Manchester City,0.297493,3.41675,0,5,a,2018-04-22 15:30:00
7476,Swansea,Chelsea,0.502964,1.45426,0,1,h,2018-04-28 16:30:00
7488,Swansea,Bournemouth,1.0138,1.69618,0,1,a,2018-05-05 15:00:00
7426,Swansea,Southampton,0.389621,1.48865,0,1,h,2018-05-08 19:45:00
7491,Swansea,Stoke,1.70936,1.75436,1,2,h,2018-05-13 15:00:00
