,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
9202,Cardiff,Bournemouth,1.50693,2.60022,0,2,a,2018-08-11 17:00:00
9207,Cardiff,Newcastle United,1.15521,1.55405,0,0,h,2018-08-18 14:30:00
9219,Cardiff,Huddersfield,1.06351,0.203453,0,0,a,2018-08-25 17:00:00
9235,Cardiff,Arsenal,0.77426,1.41005,2,3,h,2018-09-02 12:30:00
9241,Cardiff,Chelsea,0.8276,2.67145,1,4,a,2018-09-15 14:00:00
9252,Cardiff,Manchester City,0.0980726,3.08415,0,5,h,2018-09-22 14:00:00
9265,Cardiff,Burnley,1.56707,0.111527,1,2,h,2018-09-30 15:00:00
9269,Cardiff,Tottenham,1.13843,2.6517,0,1,a,2018-10-06 14:00:00
9282,Cardiff,Fulham,1.7562,0.947712,4,2,h,2018-10-20 14:00:00
9288,Cardiff,Liverpool,0.643117,2.30176,1,4,a,2018-10-27 14:00:00
9302,Cardiff,Leicester,0.922262,2.18288,0,1,h,2018-11-03 15:00:00
9307,Cardiff,Brighton,1.94297,0.767044,2,1,h,2018-11-10 12:30:00
9321,Cardiff,Everton,0.879108,2.48066,0,1,a,2018-11-24 15:00:00
9335,Cardiff,Wolverhampton Wanderers,1.09264,0.987623,2,1,h,2018-11-30 20:00:00
9340,Cardiff,West Ham,1.93448,1.57488,1,3,a,2018-12-04 19:45:00
9353,Cardiff,Southampton,1.55832,0.501128,1,0,h,2018-12-08 15:00:00
9358,Cardiff,Watford,0.485768,1.64998,2,3,a,2018-12-15 15:00:00
9374,Cardiff,Manchester United,1.27173,2.72523,1,5,h,2018-12-22 17:30:00
9384,Cardiff,Crystal Palace,1.05926,2.43202,0,0,a,2018-12-26 15:00:00
9392,Cardiff,Leicester,0.493212,1.51648,1,0,a,2018-12-29 15:00:00
9404,Cardiff,Tottenham,1.0789,1.38282,0,3,h,2019-01-01 17:30:00
9414,Cardiff,Huddersfield,0.124558,0.39468,0,0,h,2019-01-12 15:00:00
9420,Cardiff,Newcastle United,0.255727,2.518,0,3,a,2019-01-19 15:00:00
9431,Cardiff,Arsenal,0.597893,2.69339,1,2,a,2019-01-29 19:45:00
9444,Cardiff,Bournemouth,2.53093,0.35199,2,0,h,2019-02-02 17:30:00
9453,Cardiff,Southampton,0.980673,1.70666,2,1,a,2019-02-09 15:00:00
9463,Cardiff,Watford,1.90045,2.75798,1,5,h,2019-02-22 19:45:00
9469,Cardiff,Everton,0.219359,1.14212,0,3,h,2019-02-26 19:45:00
9477,Cardiff,Wolverhampton Wanderers,0.702261,3.2075,0,2,a,2019-03-02 15:00:00
9495,Cardiff,West Ham,3.49275,0.295869,2,0,h,2019-03-09 15:00:00
9514,Cardiff,Chelsea,0.446122,2.07834,1,2,h,2019-03-31 13:05:00
9522,Cardiff,Manchester City,0.135788,3.53913,0,2,a,2019-04-03 19:45:00
9535,Cardiff,Burnley,0.872224,2.84358,0,2,a,2019-04-13 15:00:00
9505,Cardiff,Brighton,0.819472,0.588539,2,0,a,2019-04-16 19:45:00
9544,Cardiff,Liverpool,1.1187,2.42404,0,2,h,2019-04-21 16:00:00
9553,Cardiff,Fulham,1.11322,0.519072,0,1,a,2019-04-27 15:00:00
9564,Cardiff,Crystal Palace,1.4996,1.80991,2,3,h,2019-05-04 16:30:00
9570,Cardiff,Manchester United,1.71095,1.89555,2,0,a,2019-05-12 14:00:00
