,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
232735,RightFoot,DirectFreekick,MissedShots,0.07772554457187653,67,0,2,Bobby Reid,6827,a,Cardiff,Bournemouth,,2018-08-11 17:00:00,9202,2018,"(0.7859999847412109, 0.635)"
232734,LeftFoot,OpenPlay,BlockedShot,0.02054578810930252,66,0,2,Joe Ralls,6825,a,Cardiff,Bournemouth,,2018-08-11 17:00:00,9202,2018,"(0.7380000305175781, 0.5129999923706055)"
232736,LeftFoot,OpenPlay,BlockedShot,0.050527434796094894,71,0,2,Josh Murphy,6828,a,Cardiff,Bournemouth,Bobby Reid,2018-08-11 17:00:00,9202,2018,"(0.9380000305175781, 0.6940000152587891)"
232732,RightFoot,FromCorner,SavedShot,0.9561126232147217,64,0,2,Sean Morrison,6823,a,Cardiff,Bournemouth,Josh Murphy,2018-08-11 17:00:00,9202,2018,"(0.9840000152587891, 0.48700000762939455)"
232727,Head,OpenPlay,MissedShots,0.033564772456884384,44,0,2,Nathaniel Mendez-Laing,6824,a,Cardiff,Bournemouth,Junior Hoilett,2018-08-11 17:00:00,9202,2018,"(0.9419999694824219, 0.5879999923706055)"
232731,RightFoot,FromCorner,MissedShots,0.1305970698595047,64,0,2,Josh Murphy,6828,a,Cardiff,Bournemouth,Sean Morrison,2018-08-11 17:00:00,9202,2018,"(0.925, 0.5179999923706055)"
232726,RightFoot,OpenPlay,MissedShots,0.0842491090297699,39,0,2,Nathaniel Mendez-Laing,6824,a,Cardiff,Bournemouth,Joe Ralls,2018-08-11 17:00:00,9202,2018,"(0.9880000305175781, 0.5779999923706055)"
232721,RightFoot,OpenPlay,MissedShots,0.04860430210828781,11,0,2,Bobby Reid,6827,a,Cardiff,Bournemouth,Callum Paterson,2018-08-11 17:00:00,9202,2018,"(0.875999984741211, 0.31)"
232733,RightFoot,OpenPlay,BlockedShot,0.11765540391206741,66,0,2,Bobby Reid,6827,a,Cardiff,Bournemouth,Josh Murphy,2018-08-11 17:00:00,9202,2018,"(0.8469999694824218, 0.48400001525878905)"
232728,LeftFoot,OpenPlay,BlockedShot,0.11462777853012085,59,0,2,Callum Paterson,6826,a,Cardiff,Bournemouth,Bobby Reid,2018-08-11 17:00:00,9202,2018,"(0.9019999694824219, 0.48700000762939455)"
232990,Head,OpenPlay,MissedShots,0.0494602769613266,86,0,0,Kenneth Zohore,6928,h,Cardiff,Newcastle United,Callum Paterson,2018-08-18 14:30:00,9207,2018,"(0.8959999847412109, 0.46599998474121096)"
232974,RightFoot,DirectFreekick,MissedShots,0.03173627331852913,29,0,0,Josh Murphy,6828,h,Cardiff,Newcastle United,,2018-08-18 14:30:00,9207,2018,"(0.7480000305175781, 0.789000015258789)"
232983,RightFoot,OpenPlay,BlockedShot,0.01704748161137104,59,0,0,Víctor Camarasa,2390,h,Cardiff,Newcastle United,Harry Arter,2018-08-18 14:30:00,9207,2018,"(0.735999984741211, 0.5479999923706055)"
232976,Head,OpenPlay,MissedShots,0.05503891035914421,37,0,0,Kenneth Zohore,6928,h,Cardiff,Newcastle United,Joe Bennett,2018-08-18 14:30:00,9207,2018,"(0.915, 0.5109999847412109)"
232982,LeftFoot,OpenPlay,BlockedShot,0.02758840098977089,56,0,0,Joe Ralls,6825,h,Cardiff,Newcastle United,Kenneth Zohore,2018-08-18 14:30:00,9207,2018,"(0.8119999694824219, 0.674000015258789)"
232984,LeftFoot,OpenPlay,MissedShots,0.010909040458500385,75,0,0,Harry Arter,881,h,Cardiff,Newcastle United,Joe Ralls,2018-08-18 14:30:00,9207,2018,"(0.7019999694824218, 0.754000015258789)"
232981,Head,OpenPlay,MissedShots,0.3519481420516968,53,0,0,Kenneth Zohore,6928,h,Cardiff,Newcastle United,Joe Ralls,2018-08-18 14:30:00,9207,2018,"(0.92, 0.52)"
232989,Head,FromCorner,BlockedShot,0.03421691432595253,86,0,0,Kenneth Zohore,6928,h,Cardiff,Newcastle United,,2018-08-18 14:30:00,9207,2018,"(0.9790000152587891, 0.59)"
232971,Head,FromCorner,BlockedShot,0.4065384864807129,9,0,0,Sol Bamba,4027,h,Cardiff,Newcastle United,Joe Ralls,2018-08-18 14:30:00,9207,2018,"(0.9390000152587891, 0.47)"
232979,LeftFoot,OpenPlay,BlockedShot,0.03939449042081833,49,0,0,Junior Hoilett,4395,h,Cardiff,Newcastle United,,2018-08-18 14:30:00,9207,2018,"(0.8230000305175781, 0.34)"
232980,Head,OpenPlay,MissedShots,0.09348063915967941,50,0,0,Junior Hoilett,4395,h,Cardiff,Newcastle United,Josh Murphy,2018-08-18 14:30:00,9207,2018,"(0.9290000152587891, 0.4229999923706055)"
232988,Head,FromCorner,BlockedShot,0.03919219225645065,86,0,0,Callum Paterson,6826,h,Cardiff,Newcastle United,Joe Ralls,2018-08-18 14:30:00,9207,2018,"(0.915, 0.5129999923706055)"
233308,RightFoot,OpenPlay,MissedShots,0.010058526881039143,78,0,0,Sol Bamba,4027,a,Cardiff,Huddersfield,Josh Murphy,2018-08-25 17:00:00,9219,2018,"(0.6940000152587891, 0.674000015258789)"
233295,RightFoot,OpenPlay,SavedShot,0.08388380706310272,4,0,0,Nathaniel Mendez-Laing,6824,a,Cardiff,Huddersfield,Kenneth Zohore,2018-08-25 17:00:00,9219,2018,"(0.9640000152587891, 0.3320000076293945)"
233309,Head,OpenPlay,MissedShots,0.06085079908370972,81,0,0,Bobby Reid,6827,a,Cardiff,Huddersfield,Callum Paterson,2018-08-25 17:00:00,9219,2018,"(0.92, 0.47200000762939454)"
