,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
9203,Everton,Wolverhampton Wanderers,0.715382,0.891038,2,2,a,2018-08-11 19:30:00
9211,Everton,Southampton,2.02004,1.77471,2,1,h,2018-08-18 17:00:00
9221,Everton,Bournemouth,0.543665,2.5887,2,2,a,2018-08-25 17:00:00
9229,Everton,Huddersfield,0.616013,0.660035,1,1,h,2018-09-01 14:00:00
9245,Everton,West Ham,1.26774,1.52437,1,3,h,2018-09-16 15:00:00
9256,Everton,Arsenal,1.06523,0.930544,0,2,a,2018-09-23 15:00:00
9262,Everton,Fulham,2.31538,0.536317,3,0,h,2018-09-29 14:00:00
9270,Everton,Leicester,1.14952,1.10472,2,1,a,2018-10-06 14:00:00
9285,Everton,Crystal Palace,1.92794,1.50174,2,0,h,2018-10-21 15:00:00
9287,Everton,Manchester United,1.67348,2.51393,1,2,a,2018-10-28 15:00:00
9301,Everton,Brighton,2.59305,0.676348,3,1,h,2018-11-03 15:00:00
9314,Everton,Chelsea,0.198027,1.16298,0,0,a,2018-11-11 14:15:00
9321,Everton,Cardiff,2.48066,0.879108,1,0,h,2018-11-24 15:00:00
9330,Everton,Liverpool,1.23014,3.07574,0,1,a,2018-12-02 16:15:00
9345,Everton,Newcastle United,2.10943,1.52214,1,1,h,2018-12-05 19:45:00
9351,Everton,Watford,1.72686,1.63043,2,2,h,2018-12-10 20:00:00
9361,Everton,Manchester City,1.6235,1.79848,1,3,a,2018-12-15 12:30:00
9372,Everton,Tottenham,1.00121,2.55514,2,6,h,2018-12-23 16:00:00
9385,Everton,Burnley,1.8875,1.88646,5,1,a,2018-12-26 15:00:00
9396,Everton,Brighton,0.655851,1.60311,0,1,a,2018-12-29 15:00:00
9402,Everton,Leicester,0.871304,0.644144,0,1,h,2019-01-01 12:30:00
9411,Everton,Bournemouth,1.7814,1.52828,2,0,h,2019-01-13 14:15:00
9419,Everton,Southampton,1.31169,1.06009,1,2,a,2019-01-19 15:00:00
9428,Everton,Huddersfield,1.05995,0.73078,1,0,a,2019-01-29 19:45:00
9441,Everton,Wolverhampton Wanderers,1.36252,1.85729,1,3,h,2019-02-02 15:00:00
9461,Everton,Manchester City,0.111559,2.60922,0,2,h,2019-02-06 19:45:00
9451,Everton,Watford,0.641094,1.53311,0,1,a,2019-02-09 15:00:00
9469,Everton,Cardiff,1.14212,0.219359,3,0,a,2019-02-26 19:45:00
9483,Everton,Liverpool,0.241879,0.811272,0,0,h,2019-03-03 16:15:00
9488,Everton,Newcastle United,1.15114,2.37896,2,3,a,2019-03-09 15:00:00
9503,Everton,Chelsea,2.24031,1.24394,2,0,h,2019-03-17 16:30:00
9508,Everton,West Ham,2.65983,0.0891639,2,0,a,2019-03-30 17:30:00
9524,Everton,Arsenal,2.69396,0.201885,1,0,h,2019-04-07 14:05:00
9533,Everton,Fulham,1.29107,1.66303,0,2,a,2019-04-13 15:00:00
9542,Everton,Manchester United,1.5204,0.305982,4,0,h,2019-04-21 13:30:00
9554,Everton,Crystal Palace,1.15217,0.261344,0,0,a,2019-04-27 15:00:00
9562,Everton,Burnley,1.76461,0.473292,2,0,h,2019-05-03 19:00:00
9568,Everton,Tottenham,2.06851,0.882608,2,2,a,2019-05-12 14:00:00
