,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
232933,RightFoot,OpenPlay,Goal,0.06049384921789169,66,2,2,Richarlison,6026,a,Everton,Wolverhampton Wanderers,Cenk Tosun,2018-08-11 19:30:00,9203,2018,"(0.885, 0.695)"
232922,RightFoot,SetPiece,Goal,0.5408757925033569,16,2,2,Richarlison,6026,a,Everton,Wolverhampton Wanderers,Michael Keane,2018-08-11 19:30:00,9203,2018,"(0.9569999694824218, 0.48700000762939455)"
232929,RightFoot,OpenPlay,SavedShot,0.04328753799200058,57,2,2,Cenk Tosun,6477,a,Everton,Wolverhampton Wanderers,,2018-08-11 19:30:00,9203,2018,"(0.7909999847412109, 0.485)"
232930,Head,FromCorner,MissedShots,0.017627160996198654,58,2,2,Michael Keane,1653,a,Everton,Wolverhampton Wanderers,Leighton Baines,2018-08-11 19:30:00,9203,2018,"(0.9, 0.5459999847412109)"
232921,LeftFoot,OpenPlay,SavedShot,0.03934148699045181,10,2,2,Seamus Coleman,585,a,Everton,Wolverhampton Wanderers,,2018-08-11 19:30:00,9203,2018,"(0.8490000152587891, 0.3129999923706055)"
232927,Head,FromCorner,SavedShot,0.013756015338003635,48,2,2,Michael Keane,1653,a,Everton,Wolverhampton Wanderers,Leighton Baines,2018-08-11 19:30:00,9203,2018,"(0.924000015258789, 0.605)"
233062,RightFoot,SetPiece,Goal,0.5921547412872314,14,2,1,Theo Walcott,503,h,Everton,Southampton,Morgan Schneiderlin,2018-08-18 17:00:00,9211,2018,"(0.9230000305175782, 0.4759999847412109)"
233063,Head,SetPiece,SavedShot,0.0210657250136137,17,2,1,Michael Keane,1653,h,Everton,Southampton,Gylfi Sigurdsson,2018-08-18 17:00:00,9211,2018,"(0.8880000305175781, 0.5279999923706055)"
233059,Head,SetPiece,SavedShot,0.009854784235358238,5,2,1,Cenk Tosun,6477,h,Everton,Southampton,Gylfi Sigurdsson,2018-08-18 17:00:00,9211,2018,"(0.86, 0.47200000762939454)"
233058,Head,SetPiece,SavedShot,0.06008449196815491,4,2,1,Michael Keane,1653,h,Everton,Southampton,Gylfi Sigurdsson,2018-08-18 17:00:00,9211,2018,"(0.9080000305175782, 0.56)"
233082,RightFoot,OpenPlay,BlockedShot,0.1154109463095665,84,2,1,Gylfi Sigurdsson,714,h,Everton,Southampton,Theo Walcott,2018-08-18 17:00:00,9211,2018,"(0.8640000152587891, 0.5640000152587891)"
233068,Head,OpenPlay,Goal,0.49396562576293945,30,2,1,Richarlison,6026,h,Everton,Southampton,Theo Walcott,2018-08-18 17:00:00,9211,2018,"(0.9219999694824219, 0.509000015258789)"
233064,RightFoot,OpenPlay,SavedShot,0.021603895351290703,18,2,1,Cenk Tosun,6477,h,Everton,Southampton,Morgan Schneiderlin,2018-08-18 17:00:00,9211,2018,"(0.764000015258789, 0.27600000381469725)"
233081,RightFoot,OpenPlay,SavedShot,0.0229804627597332,82,2,1,Idrissa Gueye,668,h,Everton,Southampton,Richarlison,2018-08-18 17:00:00,9211,2018,"(0.7569999694824219, 0.649000015258789)"
233060,RightFoot,FromCorner,BlockedShot,0.039059124886989594,6,2,1,Idrissa Gueye,668,h,Everton,Southampton,Gylfi Sigurdsson,2018-08-18 17:00:00,9211,2018,"(0.86, 0.3940000152587891)"
233083,RightFoot,OpenPlay,MissedShots,0.02867705561220646,90,2,1,Theo Walcott,503,h,Everton,Southampton,Gylfi Sigurdsson,2018-08-18 17:00:00,9211,2018,"(0.8240000152587891, 0.7569999694824219)"
233077,RightFoot,OpenPlay,MissedShots,0.4893586337566376,68,2,1,Theo Walcott,503,h,Everton,Southampton,Gylfi Sigurdsson,2018-08-18 17:00:00,9211,2018,"(0.9130000305175782, 0.4540000152587891)"
