,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
9201,Fulham,Crystal Palace,0.638076,1.07816,0,2,h,2018-08-11 17:00:00
9209,Fulham,Tottenham,1.44253,3.26713,1,3,a,2018-08-18 17:00:00
9220,Fulham,Burnley,1.92459,1.56882,4,2,h,2018-08-25 17:00:00
9233,Fulham,Brighton,1.51555,2.68216,2,2,a,2018-09-01 14:00:00
9239,Fulham,Manchester City,0.342698,4.91621,0,3,a,2018-09-15 14:00:00
9247,Fulham,Watford,1.77245,1.76133,1,1,h,2018-09-22 11:30:00
9262,Fulham,Everton,0.536317,2.31538,0,3,a,2018-09-29 14:00:00
9274,Fulham,Arsenal,1.31588,1.13706,1,5,h,2018-10-07 11:00:00
9282,Fulham,Cardiff,0.947712,1.7562,2,4,a,2018-10-20 14:00:00
9289,Fulham,Bournemouth,0.383833,2.10555,0,3,h,2018-10-27 14:00:00
9306,Fulham,Huddersfield,0.354166,0.51433,0,1,a,2018-11-05 20:00:00
9313,Fulham,Liverpool,0.571301,2.22417,0,2,a,2018-11-11 12:00:00
9320,Fulham,Southampton,1.3875,1.67163,3,2,h,2018-11-24 15:00:00
9334,Fulham,Chelsea,0.285256,2.17105,0,2,a,2018-12-02 12:00:00
9342,Fulham,Leicester,1.47593,1.21575,1,1,h,2018-12-05 19:45:00
9349,Fulham,Manchester United,1.23251,3.15444,1,4,a,2018-12-08 15:00:00
9364,Fulham,West Ham,1.03424,0.75325,0,2,h,2018-12-15 17:30:00
9369,Fulham,Newcastle United,0.245408,0.289508,0,0,a,2018-12-22 15:00:00
9383,Fulham,Wolverhampton Wanderers,1.2769,1.35896,1,1,h,2018-12-26 12:30:00
9393,Fulham,Huddersfield,1.72386,0.276791,1,0,h,2018-12-29 15:00:00
9406,Fulham,Arsenal,1.71312,4.43325,1,4,a,2019-01-01 15:00:00
9415,Fulham,Burnley,0.903255,0.809801,1,2,a,2019-01-12 15:00:00
9424,Fulham,Tottenham,0.937902,1.93316,1,2,h,2019-01-20 16:00:00
9429,Fulham,Brighton,3.46113,2.36867,4,2,h,2019-01-29 19:45:00
9442,Fulham,Crystal Palace,0.560836,2.19582,0,2,a,2019-02-02 15:00:00
9447,Fulham,Manchester United,2.18741,2.13209,0,3,h,2019-02-09 12:30:00
9457,Fulham,West Ham,1.23555,2.72871,1,3,a,2019-02-22 19:45:00
9472,Fulham,Southampton,0.798715,1.15823,0,2,a,2019-02-27 19:45:00
9482,Fulham,Chelsea,0.898469,1.53632,1,2,h,2019-03-03 14:05:00
9491,Fulham,Leicester,0.15103,2.13494,1,3,a,2019-03-09 15:00:00
9502,Fulham,Liverpool,0.915765,2.73437,1,2,h,2019-03-17 14:15:00
9512,Fulham,Manchester City,0.661491,2.31513,0,2,h,2019-03-30 12:30:00
9518,Fulham,Watford,1.90917,1.59338,1,4,a,2019-04-02 19:45:00
9533,Fulham,Everton,1.66303,1.29107,2,0,h,2019-04-13 15:00:00
9545,Fulham,Bournemouth,2.61689,2.83739,1,0,a,2019-04-20 15:00:00
9553,Fulham,Cardiff,0.519072,1.11322,1,0,h,2019-04-27 15:00:00
9557,Fulham,Wolverhampton Wanderers,0.512477,2.09397,0,1,a,2019-05-04 14:00:00
9573,Fulham,Newcastle United,0.569845,1.95921,0,4,h,2019-05-12 14:00:00
