,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
232769,RightFoot,OpenPlay,SavedShot,0.023705599829554558,19,0,3,Alex Pritchard,815,h,Huddersfield,Chelsea,Chris Löwe,2018-08-11 17:00:00,9200,2018,"(0.7730000305175782, 0.500999984741211)"
232782,LeftFoot,OpenPlay,BlockedShot,0.027804803103208542,71,0,3,Philip Billing,6034,h,Huddersfield,Chelsea,Laurent Depoitre,2018-08-11 17:00:00,9200,2018,"(0.860999984741211, 0.7140000152587891)"
232784,RightFoot,OpenPlay,MissedShots,0.07253796607255936,74,0,3,Laurent Depoitre,6038,h,Huddersfield,Chelsea,Florent Hadergjonaj,2018-08-11 17:00:00,9200,2018,"(0.865, 0.365)"
232772,Head,FromCorner,ShotOnPost,0.24858640134334564,37,0,3,Steve Mounie,3800,h,Huddersfield,Chelsea,Zanka,2018-08-11 17:00:00,9200,2018,"(0.9330000305175781, 0.5729999923706055)"
232770,RightFoot,OpenPlay,MissedShots,0.014645712450146675,25,0,3,Steve Mounie,3800,h,Huddersfield,Chelsea,,2018-08-11 17:00:00,9200,2018,"(0.715, 0.5220000076293946)"
232783,Head,SetPiece,ShotOnPost,0.008834249339997768,72,0,3,Philip Billing,6034,h,Huddersfield,Chelsea,Aaron Mooy,2018-08-11 17:00:00,9200,2018,"(0.925, 0.355)"
233131,LeftFoot,SetPiece,BlockedShot,0.01393616572022438,77,1,6,Philip Billing,6034,a,Huddersfield,Manchester City,,2018-08-19 15:30:00,9213,2018,"(0.8330000305175781, 0.32)"
233109,LeftFoot,OpenPlay,MissedShots,0.026139868423342705,23,1,6,Jon Gorenc Stankovic,2641,a,Huddersfield,Manchester City,Steve Mounie,2018-08-19 15:30:00,9213,2018,"(0.8030000305175782, 0.645)"
233117,LeftFoot,OpenPlay,Goal,0.5681175589561462,42,1,6,Jon Gorenc Stankovic,2641,a,Huddersfield,Manchester City,Steve Mounie,2018-08-19 15:30:00,9213,2018,"(0.9519999694824218, 0.524000015258789)"
233112,RightFoot,FromCorner,BlockedShot,0.015810029581189156,27,1,6,Florent Hadergjonaj,5215,a,Huddersfield,Manchester City,,2018-08-19 15:30:00,9213,2018,"(0.7919999694824219, 0.39599998474121095)"
233136,LeftFoot,OpenPlay,OwnGoal,0.0,83,1,6,Terence Kongolo,6067,a,Huddersfield,Manchester City,,2018-08-19 15:30:00,9213,2018,"(0.03799999952316284, 0.47400001525878904)"
233126,RightFoot,OpenPlay,MissedShots,0.039727628231048584,63,1,6,Steve Mounie,3800,a,Huddersfield,Manchester City,Christopher Schindler,2018-08-19 15:30:00,9213,2018,"(0.889000015258789, 0.63)"
233296,LeftFoot,OpenPlay,MissedShots,0.01400272361934185,11,0,0,Terence Kongolo,6067,h,Huddersfield,Cardiff,,2018-08-25 17:00:00,9219,2018,"(0.7759999847412109, 0.710999984741211)"
233297,RightFoot,OpenPlay,MissedShots,0.009642008692026138,25,0,0,Terence Kongolo,6067,h,Huddersfield,Cardiff,,2018-08-25 17:00:00,9219,2018,"(0.6780000305175782, 0.53)"
233300,Head,OpenPlay,SavedShot,0.04536968469619751,51,0,0,Steve Mounie,3800,h,Huddersfield,Cardiff,Terence Kongolo,2018-08-25 17:00:00,9219,2018,"(0.9269999694824219, 0.4229999923706055)"
233302,RightFoot,FromCorner,BlockedShot,0.101457878947258,52,0,0,Steve Mounie,3800,h,Huddersfield,Cardiff,,2018-08-25 17:00:00,9219,2018,"(0.8880000305175781, 0.524000015258789)"
233301,Head,FromCorner,BlockedShot,0.036704473197460175,52,0,0,Steve Mounie,3800,h,Huddersfield,Cardiff,Aaron Mooy,2018-08-25 17:00:00,9219,2018,"(0.8830000305175781, 0.5259999847412109)"
233640,RightFoot,FromCorner,SavedShot,0.05424090102314949,79,1,1,Elias Kachunga,248,a,Huddersfield,Everton,,2018-09-01 14:00:00,9229,2018,"(0.8390000152587891, 0.4929999923706055)"
233639,Head,SetPiece,SavedShot,0.057003553956747055,67,1,1,Steve Mounie,3800,a,Huddersfield,Everton,Terence Kongolo,2018-09-01 14:00:00,9229,2018,"(0.91, 0.5279999923706055)"
233636,LeftFoot,OpenPlay,SavedShot,0.015534549951553345,45,1,1,Aaron Mooy,6033,a,Huddersfield,Everton,Florent Hadergjonaj,2018-09-01 14:00:00,9229,2018,"(0.769000015258789, 0.3160000038146973)"
233630,RightFoot,OpenPlay,BlockedShot,0.013200877234339714,31,1,1,Aaron Mooy,6033,a,Huddersfield,Everton,,2018-09-01 14:00:00,9229,2018,"(0.735, 0.6509999847412109)"
233631,Head,FromCorner,Goal,0.3947823643684387,33,1,1,Philip Billing,6034,a,Huddersfield,Everton,,2018-09-01 14:00:00,9229,2018,"(0.9319999694824219, 0.4909999847412109)"
233627,LeftFoot,OpenPlay,SavedShot,0.0190648902207613,16,1,1,Steve Mounie,3800,a,Huddersfield,Everton,Rajiv van La Parra,2018-09-01 14:00:00,9229,2018,"(0.775, 0.69)"
233642,LeftFoot,OpenPlay,BlockedShot,0.009027674794197083,82,1,1,Philip Billing,6034,a,Huddersfield,Everton,,2018-09-01 14:00:00,9229,2018,"(0.6980000305175781, 0.30700000762939456)"
233638,RightFoot,OpenPlay,MissedShots,0.07854722440242767,58,1,1,Rajiv van La Parra,6036,a,Huddersfield,Everton,Steve Mounie,2018-09-01 14:00:00,9229,2018,"(0.8619999694824219, 0.580999984741211)"
233637,RightFoot,OpenPlay,SavedShot,0.018633123487234116,48,1,1,Steve Mounie,3800,a,Huddersfield,Everton,Rajiv van La Parra,2018-09-01 14:00:00,9229,2018,"(0.7390000152587891, 0.3770000076293945)"
233814,Head,OpenPlay,MissedShots,0.30708885192871094,16,0,1,Steve Mounie,3800,h,Huddersfield,Crystal Palace,Chris Löwe,2018-09-15 14:00:00,9240,2018,"(0.9119999694824219, 0.49400001525878906)"
233819,Head,OpenPlay,MissedShots,0.02028711698949337,44,0,1,Steve Mounie,3800,h,Huddersfield,Crystal Palace,Chris Löwe,2018-09-15 14:00:00,9240,2018,"(0.8780000305175781, 0.47)"
233825,Head,SetPiece,SavedShot,0.011271081864833832,60,0,1,Steve Mounie,3800,h,Huddersfield,Crystal Palace,Aaron Mooy,2018-09-15 14:00:00,9240,2018,"(0.8919999694824219, 0.5990000152587891)"
233824,RightFoot,OpenPlay,SavedShot,0.07111978530883789,58,0,1,Florent Hadergjonaj,5215,h,Huddersfield,Crystal Palace,,2018-09-15 14:00:00,9240,2018,"(0.8680000305175781, 0.45599998474121095)"
233823,RightFoot,OpenPlay,ShotOnPost,0.04377656430006027,58,0,1,Aaron Mooy,6033,h,Huddersfield,Crystal Palace,,2018-09-15 14:00:00,9240,2018,"(0.8119999694824219, 0.5479999923706055)"
233816,RightFoot,OpenPlay,MissedShots,0.08499854058027267,35,0,1,Christopher Schindler,6031,h,Huddersfield,Crystal Palace,Philip Billing,2018-09-15 14:00:00,9240,2018,"(0.8809999847412109, 0.455)"
