,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
9198,Tottenham,Newcastle United,2.58097,0.974497,2,1,a,2018-08-11 14:30:00
9209,Tottenham,Fulham,3.26713,1.44253,3,1,h,2018-08-18 17:00:00
9226,Tottenham,Manchester United,1.80811,1.40321,3,0,a,2018-08-27 22:00:00
9236,Tottenham,Watford,0.582521,0.454309,1,2,a,2018-09-02 15:00:00
9237,Tottenham,Liverpool,0.788168,3.01015,1,2,h,2018-09-15 11:30:00
9254,Tottenham,Brighton,2.11655,0.817174,2,1,a,2018-09-22 16:30:00
9261,Tottenham,Huddersfield,2.33733,0.339245,2,0,a,2018-09-29 14:00:00
9269,Tottenham,Cardiff,2.6517,1.13843,1,0,h,2018-10-06 14:00:00
9279,Tottenham,West Ham,1.11777,0.544268,1,0,a,2018-10-20 14:00:00
9296,Tottenham,Manchester City,0.442436,1.93588,0,1,h,2018-10-29 19:00:00
9304,Tottenham,Wolverhampton Wanderers,1.63123,2.40643,3,2,a,2018-11-03 19:45:00
9312,Tottenham,Crystal Palace,1.55381,0.688016,1,0,a,2018-11-10 17:30:00
9323,Tottenham,Chelsea,3.34649,0.962804,3,1,h,2018-11-24 17:30:00
9336,Tottenham,Arsenal,1.0926,2.71421,2,4,a,2018-12-02 14:05:00
9346,Tottenham,Southampton,1.73642,1.82434,3,1,h,2018-12-05 20:00:00
9350,Tottenham,Leicester,0.917968,0.357742,2,0,a,2018-12-08 19:45:00
9359,Tottenham,Burnley,1.74625,0.451196,1,0,h,2018-12-15 15:00:00
9372,Tottenham,Everton,2.55514,1.00121,6,2,a,2018-12-23 16:00:00
9378,Tottenham,Bournemouth,2.23457,1.21736,5,0,h,2018-12-26 15:00:00
9388,Tottenham,Wolverhampton Wanderers,0.277704,1.20867,1,3,h,2018-12-29 15:00:00
9404,Tottenham,Cardiff,1.38282,1.0789,3,0,a,2019-01-01 17:30:00
9408,Tottenham,Manchester United,1.80359,0.957777,0,1,h,2019-01-13 16:30:00
9424,Tottenham,Fulham,1.93316,0.937902,2,1,a,2019-01-20 16:00:00
9435,Tottenham,Watford,1.36248,0.479838,2,1,h,2019-01-30 20:00:00
9438,Tottenham,Newcastle United,3.10409,0.400152,1,0,h,2019-02-02 12:30:00
9452,Tottenham,Leicester,1.21144,3.02164,3,1,h,2019-02-10 13:30:00
9464,Tottenham,Burnley,0.845211,1.08514,1,2,a,2019-02-23 12:30:00
9474,Tottenham,Chelsea,0.722229,0.625978,0,2,a,2019-02-27 20:00:00
9480,Tottenham,Arsenal,1.76818,3.45713,1,1,h,2019-03-02 12:30:00
9487,Tottenham,Southampton,1.26876,2.07772,1,2,a,2019-03-09 15:00:00
9510,Tottenham,Liverpool,1.04822,1.0931,1,2,a,2019-03-31 15:30:00
9500,Tottenham,Crystal Palace,2.57376,0.564317,2,0,h,2019-04-03 19:45:00
9528,Tottenham,Huddersfield,2.78596,0.983527,4,0,h,2019-04-13 12:30:00
9540,Tottenham,Manchester City,1.19894,2.06185,0,1,a,2019-04-20 12:30:00
9519,Tottenham,Brighton,1.0032,0.143138,1,0,h,2019-04-23 19:45:00
9548,Tottenham,West Ham,1.35378,0.991558,0,1,h,2019-04-27 12:30:00
9565,Tottenham,Bournemouth,0.713362,2.22622,0,1,a,2019-05-04 11:30:00
9568,Tottenham,Everton,0.882608,2.06851,2,2,h,2019-05-12 14:00:00
