,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
232910,Head,FromCorner,MissedShots,0.059475693851709366,47,2,0,Will Hughes,6104,h,Watford,Brighton,José Holebas,2018-08-11 17:00:00,9199,2018,"(0.915, 0.5670000076293945)"
232905,RightFoot,OpenPlay,MissedShots,0.026937268674373627,27,2,0,Daryl Janmaat,764,h,Watford,Brighton,,2018-08-11 17:00:00,9199,2018,"(0.7680000305175781, 0.46599998474121096)"
232919,RightFoot,OpenPlay,BlockedShot,0.0935550108551979,83,2,0,Daryl Janmaat,764,h,Watford,Brighton,Isaac Success,2018-08-11 17:00:00,9199,2018,"(0.8880000305175781, 0.32799999237060545)"
232901,RightFoot,OpenPlay,SavedShot,0.3282572031021118,16,2,0,Troy Deeney,574,h,Watford,Brighton,Roberto Pereyra,2018-08-11 17:00:00,9199,2018,"(0.8919999694824219, 0.590999984741211)"
232915,RightFoot,OpenPlay,MissedShots,0.058922216296195984,68,2,0,Troy Deeney,574,h,Watford,Brighton,Abdoulaye Doucouré,2018-08-11 17:00:00,9199,2018,"(0.8040000152587891, 0.5420000076293945)"
232920,LeftFoot,OpenPlay,MissedShots,0.017533347010612488,83,2,0,Etienne Capoue,572,h,Watford,Brighton,Isaac Success,2018-08-11 17:00:00,9199,2018,"(0.7619999694824219, 0.3160000038146973)"
232917,RightFoot,DirectFreekick,SavedShot,0.039740681648254395,74,2,0,Etienne Capoue,572,h,Watford,Brighton,,2018-08-11 17:00:00,9199,2018,"(0.735, 0.6869999694824219)"
232902,RightFoot,OpenPlay,MissedShots,0.037645623087882996,16,2,0,Etienne Capoue,572,h,Watford,Brighton,,2018-08-11 17:00:00,9199,2018,"(0.8059999847412109, 0.4929999923706055)"
232911,RightFoot,FromCorner,BlockedShot,0.10796589404344559,47,2,0,Christian Kabasele,1725,h,Watford,Brighton,,2018-08-11 17:00:00,9199,2018,"(0.8919999694824219, 0.48700000762939455)"
232904,LeftFoot,OpenPlay,MissedShots,0.054294880479574203,26,2,0,Will Hughes,6104,h,Watford,Brighton,Andre Gray,2018-08-11 17:00:00,9199,2018,"(0.875999984741211, 0.38)"
232913,RightFoot,OpenPlay,Goal,0.07771727442741394,53,2,0,Roberto Pereyra,1723,h,Watford,Brighton,José Holebas,2018-08-11 17:00:00,9199,2018,"(0.9540000152587891, 0.6619999694824219)"
232907,RightFoot,FromCorner,Goal,0.04097561538219452,34,2,0,Roberto Pereyra,1723,h,Watford,Brighton,José Holebas,2018-08-11 17:00:00,9199,2018,"(0.8590000152587891, 0.41200000762939454)"
232898,LeftFoot,FromCorner,BlockedShot,0.03718088939785957,13,2,0,Will Hughes,6104,h,Watford,Brighton,Abdoulaye Doucouré,2018-08-11 17:00:00,9199,2018,"(0.789000015258789, 0.4370000076293945)"
232900,RightFoot,OpenPlay,MissedShots,0.055047981441020966,16,2,0,Roberto Pereyra,1723,h,Watford,Brighton,,2018-08-11 17:00:00,9199,2018,"(0.85, 0.5929999923706055)"
232896,RightFoot,OpenPlay,SavedShot,0.03683023527264595,8,2,0,Andre Gray,1660,h,Watford,Brighton,Ben Foster,2018-08-11 17:00:00,9199,2018,"(0.870999984741211, 0.345)"
232909,OtherBodyPart,SetPiece,MissedShots,0.0249339509755373,46,2,0,Andre Gray,1660,h,Watford,Brighton,José Holebas,2018-08-11 17:00:00,9199,2018,"(0.874000015258789, 0.5629999923706055)"
232899,RightFoot,OpenPlay,BlockedShot,0.08434605598449707,16,2,0,Roberto Pereyra,1723,h,Watford,Brighton,Andre Gray,2018-08-11 17:00:00,9199,2018,"(0.8930000305175781, 0.6419999694824219)"
232897,LeftFoot,DirectFreekick,BlockedShot,0.05969419702887535,11,2,0,José Holebas,568,h,Watford,Brighton,,2018-08-11 17:00:00,9199,2018,"(0.7769999694824219, 0.32099998474121094)"
232912,Head,SetPiece,MissedShots,0.253725528717041,48,2,0,Christian Kabasele,1725,h,Watford,Brighton,José Holebas,2018-08-11 17:00:00,9199,2018,"(0.9280000305175782, 0.4329999923706055)"
232965,LeftFoot,FromCorner,BlockedShot,0.03959116339683533,59,3,1,Will Hughes,6104,a,Watford,Burnley,José Holebas,2018-08-19 15:30:00,9214,2018,"(0.8130000305175781, 0.5279999923706055)"
232967,LeftFoot,OpenPlay,SavedShot,0.07499382644891739,87,3,1,Ken Sema,6841,a,Watford,Burnley,Roberto Pereyra,2018-08-19 15:30:00,9214,2018,"(0.874000015258789, 0.685)"
232953,RightFoot,OpenPlay,BlockedShot,0.44424039125442505,1,3,1,Andre Gray,1660,a,Watford,Burnley,Troy Deeney,2018-08-19 15:30:00,9214,2018,"(0.899000015258789, 0.534000015258789)"
232954,RightFoot,OpenPlay,Goal,0.06378735601902008,2,3,1,Andre Gray,1660,a,Watford,Burnley,Troy Deeney,2018-08-19 15:30:00,9214,2018,"(0.8590000152587891, 0.4540000152587891)"
232958,RightFoot,OpenPlay,SavedShot,0.01566389761865139,38,3,1,Troy Deeney,574,a,Watford,Burnley,Will Hughes,2018-08-19 15:30:00,9214,2018,"(0.7080000305175781, 0.47400001525878904)"
232961,RightFoot,OpenPlay,BlockedShot,0.02401682361960411,47,3,1,Troy Deeney,574,a,Watford,Burnley,Will Hughes,2018-08-19 15:30:00,9214,2018,"(0.774000015258789, 0.3890000152587891)"
232968,RightFoot,OpenPlay,SavedShot,0.8672968149185181,87,3,1,Troy Deeney,574,a,Watford,Burnley,,2018-08-19 15:30:00,9214,2018,"(0.9669999694824218, 0.5220000076293946)"
232963,LeftFoot,OpenPlay,Goal,0.03409789130091667,50,3,1,Will Hughes,6104,a,Watford,Burnley,,2018-08-19 15:30:00,9214,2018,"(0.7569999694824219, 0.5359999847412109)"
232962,RightFoot,OpenPlay,Goal,0.4184545576572418,47,3,1,Troy Deeney,574,a,Watford,Burnley,Abdoulaye Doucouré,2018-08-19 15:30:00,9214,2018,"(0.9130000305175782, 0.42700000762939455)"
233428,RightFoot,OpenPlay,Goal,0.0401274599134922,52,2,1,Roberto Pereyra,1723,h,Watford,Crystal Palace,Etienne Capoue,2018-08-26 15:30:00,9224,2018,"(0.8390000152587891, 0.674000015258789)"
233422,RightFoot,OpenPlay,BlockedShot,0.027580108493566513,43,2,1,Abdoulaye Doucouré,1726,h,Watford,Crystal Palace,Will Hughes,2018-08-26 15:30:00,9224,2018,"(0.7659999847412109, 0.48700000762939455)"
233427,LeftFoot,OpenPlay,MissedShots,0.10033044964075089,49,2,1,Roberto Pereyra,1723,h,Watford,Crystal Palace,Abdoulaye Doucouré,2018-08-26 15:30:00,9224,2018,"(0.8930000305175781, 0.6040000152587891)"
233420,RightFoot,OpenPlay,BlockedShot,0.0721491202712059,19,2,1,Roberto Pereyra,1723,h,Watford,Crystal Palace,Daryl Janmaat,2018-08-26 15:30:00,9224,2018,"(0.9030000305175782, 0.605)"
