,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
309965,LeftFoot,OpenPlay,MissedShots,0.023489056155085564,26,3,0,Johann Berg Gudmundsson,1663,h,Burnley,Southampton,Matthew Lowton,2019-08-10 15:00:00,11646,2019,"(0.7859999847412109, 0.3370000076293945)"
309970,RightFoot,OpenPlay,MissedShots,0.02326565608382225,53,3,0,Chris Wood,4456,h,Burnley,Southampton,Nick Pope,2019-08-10 15:00:00,11646,2019,"(0.894000015258789, 0.28899999618530275)"
309967,LeftFoot,OpenPlay,MissedShots,0.08079225569963455,45,3,0,Ashley Barnes,4422,h,Burnley,Southampton,,2019-08-10 15:00:00,11646,2019,"(0.9019999694824219, 0.6079999923706054)"
309973,RightFoot,OpenPlay,Goal,0.08131049573421478,62,3,0,Ashley Barnes,4422,h,Burnley,Southampton,Erik Pieters,2019-08-10 15:00:00,11646,2019,"(0.8619999694824219, 0.4129999923706055)"
309975,RightFoot,OpenPlay,Goal,0.4641471803188324,69,3,0,Ashley Barnes,4422,h,Burnley,Southampton,Erik Pieters,2019-08-10 15:00:00,11646,2019,"(0.9480000305175781, 0.4420000076293945)"
309977,LeftFoot,OpenPlay,SavedShot,0.09824693948030472,78,3,0,Ashley Barnes,4422,h,Burnley,Southampton,,2019-08-10 15:00:00,11646,2019,"(0.98, 0.37599998474121094)"
309978,Head,FromCorner,BlockedShot,0.008474055677652359,78,3,0,James Tarkowski,1665,h,Burnley,Southampton,Johann Berg Gudmundsson,2019-08-10 15:00:00,11646,2019,"(0.9540000152587891, 0.69)"
309976,LeftFoot,OpenPlay,Goal,0.08688735961914062,74,3,0,Johann Berg Gudmundsson,1663,h,Burnley,Southampton,,2019-08-10 15:00:00,11646,2019,"(0.9269999694824219, 0.29700000762939455)"
309971,Head,FromCorner,BlockedShot,0.02755386009812355,57,3,0,James Tarkowski,1665,h,Burnley,Southampton,Johann Berg Gudmundsson,2019-08-10 15:00:00,11646,2019,"(0.8819999694824219, 0.555)"
309968,LeftFoot,OpenPlay,MissedShots,0.015073687769472599,47,3,0,Erik Pieters,887,h,Burnley,Southampton,Ashley Westwood,2019-08-10 15:00:00,11646,2019,"(0.710999984741211, 0.555)"
310409,LeftFoot,OpenPlay,MissedShots,0.03807369992136955,13,1,2,Ashley Barnes,4422,a,Burnley,Arsenal,Nick Pope,2019-08-17 12:30:00,11653,2019,"(0.879000015258789, 0.6509999847412109)"
310417,Head,SetPiece,SavedShot,0.035974908620119095,37,1,2,Ashley Barnes,4422,a,Burnley,Arsenal,Ben Mee,2019-08-17 12:30:00,11653,2019,"(0.9159999847412109, 0.5729999923706055)"
310423,LeftFoot,OpenPlay,MissedShots,0.03012864664196968,52,1,2,Dwight McNeil,6756,a,Burnley,Arsenal,,2019-08-17 12:30:00,11653,2019,"(0.87, 0.7380000305175781)"
310421,RightFoot,OpenPlay,Goal,0.4684618413448334,42,1,2,Ashley Barnes,4422,a,Burnley,Arsenal,,2019-08-17 12:30:00,11653,2019,"(0.9230000305175782, 0.45)"
310430,Head,FromCorner,SavedShot,0.38578659296035767,67,1,2,Ashley Barnes,4422,a,Burnley,Arsenal,Johann Berg Gudmundsson,2019-08-17 12:30:00,11653,2019,"(0.9519999694824218, 0.5)"
310433,Head,SetPiece,MissedShots,0.02474992722272873,73,1,2,Ashley Barnes,4422,a,Burnley,Arsenal,Matthew Lowton,2019-08-17 12:30:00,11653,2019,"(0.8540000152587891, 0.48400001525878905)"
310432,Head,OpenPlay,MissedShots,0.03018704429268837,70,1,2,Dwight McNeil,6756,a,Burnley,Arsenal,Johann Berg Gudmundsson,2019-08-17 12:30:00,11653,2019,"(0.9569999694824218, 0.5970000076293945)"
310413,RightFoot,OpenPlay,BlockedShot,0.015668807551264763,24,1,2,Jack Cork,712,a,Burnley,Arsenal,,2019-08-17 12:30:00,11653,2019,"(0.7340000152587891, 0.43900001525878907)"
310411,RightFoot,FromCorner,BlockedShot,0.10645121335983276,19,1,2,Jack Cork,712,a,Burnley,Arsenal,Ben Mee,2019-08-17 12:30:00,11653,2019,"(0.93, 0.52)"
310437,RightFoot,FromCorner,MissedShots,0.024159250780940056,93,1,2,Jay Rodriguez,844,a,Burnley,Arsenal,,2019-08-17 12:30:00,11653,2019,"(0.9490000152587891, 0.6619999694824219)"
310420,LeftFoot,OpenPlay,BlockedShot,0.017232635989785194,42,1,2,Dwight McNeil,6756,a,Burnley,Arsenal,Chris Wood,2019-08-17 12:30:00,11653,2019,"(0.8009999847412109, 0.705999984741211)"
310414,RightFoot,FromCorner,BlockedShot,0.023013873025774956,27,1,2,Dwight McNeil,6756,a,Burnley,Arsenal,,2019-08-17 12:30:00,11653,2019,"(0.8230000305175781, 0.6759999847412109)"
310410,Head,FromCorner,BlockedShot,0.011441142298281193,17,1,2,James Tarkowski,1665,a,Burnley,Arsenal,Johann Berg Gudmundsson,2019-08-17 12:30:00,11653,2019,"(0.91, 0.6359999847412109)"
310427,Head,OpenPlay,MissedShots,0.13468872010707855,60,1,2,Ashley Westwood,669,a,Burnley,Arsenal,Dwight McNeil,2019-08-17 12:30:00,11653,2019,"(0.9390000152587891, 0.44)"
310431,RightFoot,OpenPlay,MissedShots,0.014243402518332005,70,1,2,Matthew Lowton,1652,a,Burnley,Arsenal,Ashley Westwood,2019-08-17 12:30:00,11653,2019,"(0.7859999847412109, 0.3120000076293945)"
310412,Head,FromCorner,SavedShot,0.01524607464671135,19,1,2,Ben Mee,1654,a,Burnley,Arsenal,Johann Berg Gudmundsson,2019-08-17 12:30:00,11653,2019,"(0.89, 0.5479999923706055)"
310434,Head,SetPiece,MissedShots,0.00737581355497241,74,1,2,Ben Mee,1654,a,Burnley,Arsenal,Ashley Westwood,2019-08-17 12:30:00,11653,2019,"(0.919000015258789, 0.6759999847412109)"
310405,LeftFoot,OpenPlay,MissedShots,0.0169084295630455,2,1,2,Erik Pieters,887,a,Burnley,Arsenal,,2019-08-17 12:30:00,11653,2019,"(0.754000015258789, 0.615999984741211)"
313101,LeftFoot,OpenPlay,MissedShots,0.021206896752119064,53,1,1,Erik Pieters,887,a,Burnley,Wolverhampton Wanderers,,2019-08-25 16:30:00,11668,2019,"(0.78, 0.6719999694824219)"
313088,RightFoot,FromCorner,BlockedShot,0.13317692279815674,16,1,1,Chris Wood,4456,a,Burnley,Wolverhampton Wanderers,,2019-08-25 16:30:00,11668,2019,"(0.9930000305175781, 0.555)"
313091,RightFoot,OpenPlay,MissedShots,0.05151668190956116,29,1,1,Chris Wood,4456,a,Burnley,Wolverhampton Wanderers,Matthew Lowton,2019-08-25 16:30:00,11668,2019,"(0.8680000305175781, 0.28200000762939453)"
313092,RightFoot,OpenPlay,SavedShot,0.3517455458641052,31,1,1,Chris Wood,4456,a,Burnley,Wolverhampton Wanderers,,2019-08-25 16:30:00,11668,2019,"(0.8959999847412109, 0.5629999923706055)"
313094,LeftFoot,OpenPlay,BlockedShot,0.08374784141778946,38,1,1,Johann Berg Gudmundsson,1663,a,Burnley,Wolverhampton Wanderers,Chris Wood,2019-08-25 16:30:00,11668,2019,"(0.8430000305175781, 0.5790000152587891)"
313099,LeftFoot,OpenPlay,MissedShots,0.3249761760234833,48,1,1,Ashley Barnes,4422,a,Burnley,Wolverhampton Wanderers,Ashley Westwood,2019-08-25 16:30:00,11668,2019,"(0.909000015258789, 0.4520000076293945)"
313086,RightFoot,OpenPlay,Goal,0.02355245128273964,12,1,1,Ashley Barnes,4422,a,Burnley,Wolverhampton Wanderers,Dwight McNeil,2019-08-25 16:30:00,11668,2019,"(0.7769999694824219, 0.41900001525878905)"
313085,LeftFoot,OpenPlay,MissedShots,0.06622706353664398,9,1,1,Ashley Barnes,4422,a,Burnley,Wolverhampton Wanderers,Matthew Lowton,2019-08-25 16:30:00,11668,2019,"(0.8180000305175781, 0.524000015258789)"
313087,Head,FromCorner,ShotOnPost,0.04094627499580383,16,1,1,Ben Mee,1654,a,Burnley,Wolverhampton Wanderers,Dwight McNeil,2019-08-25 16:30:00,11668,2019,"(0.92, 0.39)"
313103,RightFoot,OpenPlay,MissedShots,0.05009305477142334,57,1,1,Ashley Westwood,669,a,Burnley,Wolverhampton Wanderers,Johann Berg Gudmundsson,2019-08-25 16:30:00,11668,2019,"(0.7930000305175782, 0.5790000152587891)"
313095,Head,FromCorner,SavedShot,0.010549359023571014,40,1,1,James Tarkowski,1665,a,Burnley,Wolverhampton Wanderers,Ashley Westwood,2019-08-25 16:30:00,11668,2019,"(0.9469999694824218, 0.3340000152587891)"
313100,LeftFoot,OpenPlay,BlockedShot,0.05875927582383156,52,1,1,Dwight McNeil,6756,a,Burnley,Wolverhampton Wanderers,Erik Pieters,2019-08-25 16:30:00,11668,2019,"(0.92, 0.72)"
