,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
11652,Chelsea,Manchester United,1.09534,2.37442,0,4,a,2019-08-11 16:30:00
11661,Chelsea,Leicester,1.22629,0.947941,1,1,h,2019-08-18 16:30:00
11664,Chelsea,Norwich,1.89428,1.07904,3,2,a,2019-08-24 12:30:00
11675,Chelsea,Sheffield United,2.30579,1.04649,2,2,h,2019-08-31 15:00:00
11688,Chelsea,Wolverhampton Wanderers,3.06799,1.49359,5,2,a,2019-09-14 14:00:00
11701,Chelsea,Liverpool,1.23321,1.03003,1,2,h,2019-09-22 15:30:00
11708,Chelsea,Brighton,4.26443,0.616263,2,0,h,2019-09-28 14:00:00
11718,Chelsea,Southampton,2.15201,1.27044,4,1,a,2019-10-06 14:00:00
11725,Chelsea,Newcastle United,2.30068,0.197082,1,0,h,2019-10-19 15:00:00
11735,Chelsea,Burnley,0.988321,2.23494,4,2,a,2019-10-26 17:30:00
11751,Chelsea,Watford,2.18313,1.4744,2,1,a,2019-11-02 17:30:00
11754,Chelsea,Crystal Palace,3.28903,0.479488,2,0,h,2019-11-09 12:30:00
11769,Chelsea,Manchester City,0.820474,1.23596,1,2,a,2019-11-23 17:30:00
11774,Chelsea,West Ham,2.73185,1.12034,0,1,h,2019-11-30 15:00:00
11789,Chelsea,Aston Villa,1.9774,0.86086,2,1,h,2019-12-04 19:30:00
11796,Chelsea,Everton,1.25734,2.03892,1,3,a,2019-12-07 12:30:00
11805,Chelsea,Bournemouth,2.02119,1.20777,0,1,h,2019-12-14 15:00:00
11820,Chelsea,Tottenham,1.49374,0.276667,2,0,a,2019-12-22 16:30:00
11825,Chelsea,Southampton,0.859973,0.981321,0,2,h,2019-12-26 15:00:00
11833,Chelsea,Arsenal,1.49666,0.785214,2,1,a,2019-12-29 14:00:00
11845,Chelsea,Brighton,1.57497,1.56978,1,1,a,2020-01-01 12:30:00
11858,Chelsea,Burnley,2.87633,0.717407,3,0,h,2020-01-11 15:00:00
11868,Chelsea,Newcastle United,2.05436,0.892988,0,1,a,2020-01-18 17:30:00
11881,Chelsea,Arsenal,3.38612,0.568077,2,2,h,2020-01-21 20:15:00
11886,Chelsea,Leicester,0.806995,1.65956,2,2,a,2020-02-01 12:30:00
11896,Chelsea,Manchester United,0.940204,0.681814,0,2,h,2020-02-17 20:00:00
11906,Chelsea,Tottenham,1.78193,0.265879,2,1,h,2020-02-22 12:30:00
11914,Chelsea,Bournemouth,1.98271,1.58495,2,2,a,2020-02-29 15:00:00
11925,Chelsea,Everton,2.02883,0.445922,4,0,h,2020-03-08 14:00:00
11933,Chelsea,Aston Villa,1.14011,1.57223,2,1,a,2020-06-21 15:15:00
11946,Chelsea,Manchester City,4.206,0.690594,2,1,h,2020-06-25 19:15:00
11962,Chelsea,West Ham,1.57609,2.10497,2,3,a,2020-07-01 19:15:00
11964,Chelsea,Watford,2.78877,0.608971,3,0,h,2020-07-04 19:00:00
11977,Chelsea,Crystal Palace,2.65753,1.2882,3,2,a,2020-07-07 17:00:00
11989,Chelsea,Sheffield United,1.17509,2.00632,0,3,a,2020-07-11 16:30:00
11995,Chelsea,Norwich,3.05119,0.0631109,1,0,h,2020-07-14 19:15:00
12006,Chelsea,Liverpool,2.38205,1.45179,3,5,a,2020-07-22 19:15:00
12021,Chelsea,Wolverhampton Wanderers,1.15938,0.164561,2,0,h,2020-07-26 15:00:00
