,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
309983,LeftFoot,OpenPlay,BlockedShot,0.05961056798696518,28,0,0,Max Meyer,338,h,Crystal Palace,Everton,Jordan Ayew,2019-08-10 15:00:00,11647,2019,"(0.875999984741211, 0.6730000305175782)"
309988,RightFoot,SetPiece,BlockedShot,0.08144403994083405,39,0,0,Max Meyer,338,h,Crystal Palace,Everton,James McArthur,2019-08-10 15:00:00,11647,2019,"(0.9119999694824219, 0.6029999923706054)"
309993,LeftFoot,OpenPlay,SavedShot,0.0866408720612526,56,0,0,Max Meyer,338,h,Crystal Palace,Everton,Andros Townsend,2019-08-10 15:00:00,11647,2019,"(0.915, 0.6530000305175782)"
309992,RightFoot,OpenPlay,SavedShot,0.526124894618988,55,0,0,Jordan Ayew,672,h,Crystal Palace,Everton,Christian Benteke,2019-08-10 15:00:00,11647,2019,"(0.8830000305175781, 0.620999984741211)"
309996,LeftFoot,OpenPlay,BlockedShot,0.049307260662317276,73,0,0,Wilfried Zaha,522,h,Crystal Palace,Everton,,2019-08-10 15:00:00,11647,2019,"(0.86, 0.664000015258789)"
309989,Head,FromCorner,BlockedShot,0.06846261024475098,41,0,0,Scott Dann,512,h,Crystal Palace,Everton,Luka Milivojevic,2019-08-10 15:00:00,11647,2019,"(0.9740000152587891, 0.435)"
311093,LeftFoot,OpenPlay,SavedShot,0.025464123114943504,52,0,1,Andros Townsend,775,a,Crystal Palace,Sheffield United,Luka Milivojevic,2019-08-18 14:00:00,11660,2019,"(0.7969999694824219, 0.33)"
311094,RightFoot,OpenPlay,BlockedShot,0.04154428094625473,52,0,1,Wilfried Zaha,522,a,Crystal Palace,Sheffield United,Christian Benteke,2019-08-18 14:00:00,11660,2019,"(0.8380000305175781, 0.6419999694824219)"
311099,LeftFoot,OpenPlay,SavedShot,0.060957588255405426,95,0,1,Jeffrey Schlupp,757,a,Crystal Palace,Sheffield United,Patrick van Aanholt,2019-08-18 14:00:00,11660,2019,"(0.8219999694824218, 0.53)"
311095,LeftFoot,OpenPlay,SavedShot,0.019664963707327843,53,0,1,Andros Townsend,775,a,Crystal Palace,Sheffield United,Wilfried Zaha,2019-08-18 14:00:00,11660,2019,"(0.740999984741211, 0.5729999923706055)"
