,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
11651,Leicester,Wolverhampton Wanderers,0.543759,0.812949,0,0,h,2019-08-11 14:00:00
11661,Leicester,Chelsea,0.947941,1.22629,1,1,a,2019-08-18 16:30:00
11665,Leicester,Sheffield United,0.704879,0.654318,2,1,a,2019-08-24 15:00:00
11677,Leicester,Bournemouth,2.23766,0.554726,3,1,h,2019-08-31 15:00:00
11684,Leicester,Manchester United,0.459141,1.10019,0,1,a,2019-09-14 14:00:00
11694,Leicester,Tottenham,1.28752,1.33735,2,1,h,2019-09-21 11:30:00
11710,Leicester,Newcastle United,1.82438,0.054134,5,0,h,2019-09-29 15:30:00
11715,Leicester,Liverpool,0.0982107,3.74867,1,2,a,2019-10-05 15:00:00
11728,Leicester,Burnley,0.8291,1.79569,2,1,h,2019-10-19 15:00:00
11740,Leicester,Southampton,4.38046,0.457334,9,0,a,2019-10-25 20:00:00
11747,Leicester,Crystal Palace,0.981167,0.44291,2,0,a,2019-11-03 14:00:00
11762,Leicester,Arsenal,1.37055,0.961339,2,0,h,2019-11-09 17:30:00
11766,Leicester,Brighton,3.50917,0.784706,2,0,a,2019-11-23 15:00:00
11775,Leicester,Everton,2.24348,1.24986,2,1,h,2019-12-01 16:30:00
11785,Leicester,Watford,2.28735,0.199733,2,0,h,2019-12-04 19:30:00
11793,Leicester,Aston Villa,4.03286,1.24141,4,1,a,2019-12-08 14:00:00
11807,Leicester,Norwich,1.06421,1.16408,1,1,h,2019-12-14 15:00:00
11817,Leicester,Manchester City,1.01388,3.59139,1,3,a,2019-12-21 17:30:00
11828,Leicester,Liverpool,0.120994,3.76973,0,4,h,2019-12-26 20:00:00
11842,Leicester,West Ham,2.62349,0.782104,2,1,a,2019-12-28 17:30:00
11849,Leicester,Newcastle United,2.43642,0.780118,3,0,a,2020-01-01 15:00:00
11861,Leicester,Southampton,0.780114,2.40601,1,2,h,2020-01-11 15:00:00
11866,Leicester,Burnley,2.33415,1.50886,1,2,a,2020-01-19 14:00:00
11876,Leicester,West Ham,2.91302,1.16254,4,1,h,2020-01-22 19:30:00
11886,Leicester,Chelsea,1.65956,0.806995,2,2,h,2020-02-01 12:30:00
11902,Leicester,Wolverhampton Wanderers,0.527366,1.14491,0,0,a,2020-02-14 20:00:00
11904,Leicester,Manchester City,0.723269,2.42749,0,1,h,2020-02-22 17:30:00
11919,Leicester,Norwich,1.42581,0.591716,0,1,a,2020-02-28 20:00:00
11927,Leicester,Aston Villa,2.41239,0.672448,4,0,h,2020-03-09 20:00:00
11935,Leicester,Watford,1.05245,1.00765,1,1,a,2020-06-20 11:30:00
11945,Leicester,Brighton,0.505486,1.10227,0,0,h,2020-06-23 17:00:00
11958,Leicester,Everton,1.80384,1.17592,1,2,a,2020-07-01 17:00:00
11965,Leicester,Crystal Palace,2.20683,0.507537,3,0,h,2020-07-04 14:00:00
11973,Leicester,Arsenal,1.00238,1.29023,1,1,a,2020-07-07 19:15:00
11984,Leicester,Bournemouth,1.66084,2.54311,1,4,a,2020-07-12 18:00:00
11998,Leicester,Sheffield United,3.05752,0.660214,2,0,h,2020-07-16 17:00:00
12010,Leicester,Tottenham,1.20085,0.766922,0,3,a,2020-07-19 15:00:00
12018,Leicester,Manchester United,0.754668,1.41019,0,2,h,2020-07-26 15:00:00
