,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
11643,Norwich,Liverpool,0.842407,2.23456,1,4,a,2019-08-09 20:00:00
11657,Norwich,Newcastle United,2.09572,0.920429,3,1,h,2019-08-17 15:00:00
11664,Norwich,Chelsea,1.07904,1.89428,2,3,h,2019-08-24 12:30:00
11674,Norwich,West Ham,1.1674,2.20657,0,2,a,2019-08-31 15:00:00
11689,Norwich,Manchester City,1.7413,2.34436,3,2,h,2019-09-14 16:30:00
11696,Norwich,Burnley,0.801428,2.39312,0,2,a,2019-09-21 14:00:00
11709,Norwich,Crystal Palace,0.712129,1.80497,0,2,a,2019-09-28 14:00:00
11717,Norwich,Aston Villa,1.84838,3.67827,1,5,h,2019-10-05 15:00:00
11724,Norwich,Bournemouth,0.402873,0.675554,0,0,a,2019-10-19 15:00:00
11739,Norwich,Manchester United,0.8924,4.51232,1,3,h,2019-10-27 16:30:00
11746,Norwich,Brighton,0.455082,2.65496,0,2,a,2019-11-02 15:00:00
11757,Norwich,Watford,0.62104,1.36017,0,2,h,2019-11-08 20:00:00
11768,Norwich,Everton,1.80849,0.812693,2,0,a,2019-11-23 15:00:00
11781,Norwich,Arsenal,0.810596,1.96157,2,2,h,2019-12-01 14:00:00
11790,Norwich,Southampton,0.896647,2.00232,1,2,a,2019-12-04 19:30:00
11799,Norwich,Sheffield United,0.585805,0.712899,1,2,h,2019-12-08 14:00:00
11807,Norwich,Leicester,1.16408,1.06421,1,1,a,2019-12-14 15:00:00
11819,Norwich,Wolverhampton Wanderers,1.26536,1.65224,1,2,h,2019-12-21 15:00:00
11823,Norwich,Aston Villa,1.45005,0.654194,0,1,a,2019-12-26 15:00:00
11839,Norwich,Tottenham,0.268052,1.82189,2,2,h,2019-12-28 17:30:00
11850,Norwich,Crystal Palace,1.66454,1.29896,1,1,h,2020-01-01 17:30:00
11862,Norwich,Manchester United,0.275987,3.13456,0,4,a,2020-01-11 15:00:00
11869,Norwich,Bournemouth,1.76046,0.558298,1,0,h,2020-01-18 15:00:00
11880,Norwich,Tottenham,1.42472,2.22282,1,2,a,2020-01-22 19:30:00
11889,Norwich,Newcastle United,2.39985,0.937293,0,0,a,2020-02-01 15:00:00
11899,Norwich,Liverpool,0.383495,2.07331,0,1,h,2020-02-15 17:30:00
11912,Norwich,Wolverhampton Wanderers,0.360646,3.25033,0,3,a,2020-02-23 14:00:00
11919,Norwich,Leicester,0.591716,1.42581,1,0,h,2020-02-28 20:00:00
11929,Norwich,Sheffield United,2.55449,1.17263,0,1,a,2020-03-07 15:00:00
11937,Norwich,Southampton,0.654932,1.87099,0,3,h,2020-06-19 17:00:00
11948,Norwich,Everton,0.382813,0.654912,0,1,h,2020-06-24 17:00:00
11953,Norwich,Arsenal,0.153871,1.76496,0,4,a,2020-07-01 17:00:00
11969,Norwich,Brighton,0.545069,0.903046,0,1,h,2020-07-04 11:30:00
11981,Norwich,Watford,1.13378,0.725199,1,2,a,2020-07-07 17:00:00
11988,Norwich,West Ham,0.613251,3.81088,0,4,h,2020-07-11 11:30:00
11995,Norwich,Chelsea,0.0631109,3.05119,0,1,a,2020-07-14 19:15:00
12008,Norwich,Burnley,0.576602,1.8233,0,2,h,2020-07-18 16:30:00
12017,Norwich,Manchester City,0.786563,3.56749,0,5,a,2020-07-26 15:00:00
