,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
11645,Sheffield United,Bournemouth,1.59864,1.34099,1,1,a,2019-08-10 15:00:00
11660,Sheffield United,Crystal Palace,1.84778,0.241912,1,0,h,2019-08-18 14:00:00
11665,Sheffield United,Leicester,0.654318,0.704879,1,2,h,2019-08-24 15:00:00
11675,Sheffield United,Chelsea,1.04649,2.30579,2,2,a,2019-08-31 15:00:00
11686,Sheffield United,Southampton,1.88034,1.57659,0,1,h,2019-09-14 14:00:00
11698,Sheffield United,Everton,0.508011,1.26041,2,0,a,2019-09-21 14:00:00
11703,Sheffield United,Liverpool,1.17022,1.97079,0,1,h,2019-09-28 11:30:00
11719,Sheffield United,Watford,0.353724,1.44318,0,0,a,2019-10-05 15:00:00
11730,Sheffield United,Arsenal,0.895722,0.949735,1,0,h,2019-10-21 20:00:00
11742,Sheffield United,West Ham,1.16171,2.33891,1,1,a,2019-10-26 15:00:00
11750,Sheffield United,Burnley,2.58392,0.716613,3,0,h,2019-11-02 15:00:00
11759,Sheffield United,Tottenham,0.923443,1.5104,1,1,a,2019-11-09 15:00:00
11770,Sheffield United,Manchester United,1.56025,1.33065,3,3,h,2019-11-24 16:30:00
11780,Sheffield United,Wolverhampton Wanderers,1.47296,1.27422,1,1,a,2019-12-01 14:00:00
11786,Sheffield United,Newcastle United,1.09175,0.533775,0,2,h,2019-12-05 19:30:00
11799,Sheffield United,Norwich,0.712899,0.585805,2,1,a,2019-12-08 14:00:00
11810,Sheffield United,Aston Villa,1.888,0.97258,2,0,h,2019-12-14 15:00:00
11815,Sheffield United,Brighton,1.65933,0.428371,1,0,a,2019-12-21 15:00:00
11830,Sheffield United,Watford,2.04481,0.596611,1,1,h,2019-12-26 15:00:00
11837,Sheffield United,Manchester City,1.23346,1.08628,0,2,a,2019-12-29 18:00:00
11847,Sheffield United,Liverpool,0.634607,3.0465,0,2,a,2020-01-02 20:00:00
11855,Sheffield United,West Ham,2.02768,0.90477,1,0,h,2020-01-10 20:00:00
11863,Sheffield United,Arsenal,1.18444,1.22882,1,1,a,2020-01-18 15:00:00
11875,Sheffield United,Manchester City,0.774943,2.873,0,1,h,2020-01-21 19:30:00
11885,Sheffield United,Crystal Palace,0.860755,0.970063,1,0,a,2020-02-01 15:00:00
11900,Sheffield United,Bournemouth,2.04467,1.07183,2,1,h,2020-02-09 14:00:00
11909,Sheffield United,Brighton,1.6597,1.06035,1,1,h,2020-02-22 15:00:00
11929,Sheffield United,Norwich,1.17263,2.55449,1,0,h,2020-03-07 15:00:00
11913,Sheffield United,Aston Villa,0.235909,1.00877,0,0,a,2020-06-17 17:00:00
11938,Sheffield United,Newcastle United,0.57107,2.15148,0,3,a,2020-06-21 13:00:00
11950,Sheffield United,Manchester United,0.108082,2.8416,0,3,a,2020-06-24 17:00:00
11960,Sheffield United,Tottenham,1.59994,1.01524,3,1,h,2020-07-02 17:00:00
11963,Sheffield United,Burnley,1.63343,1.31966,1,1,a,2020-07-05 11:00:00
11980,Sheffield United,Wolverhampton Wanderers,0.470483,0.326909,1,0,h,2020-07-08 17:00:00
11989,Sheffield United,Chelsea,2.00632,1.17509,3,0,h,2020-07-11 16:30:00
11998,Sheffield United,Leicester,0.660214,3.05752,0,2,a,2020-07-16 17:00:00
12009,Sheffield United,Everton,0.468461,0.624814,0,1,h,2020-07-20 17:00:00
12015,Sheffield United,Southampton,1.41051,1.64306,1,3,a,2020-07-26 15:00:00
