,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
309939,RightFoot,OpenPlay,SavedShot,0.28609544038772583,0,1,1,David McGoldrick,7711,a,Sheffield United,Bournemouth,John Lundstram,2019-08-10 15:00:00,11645,2019,"(0.815, 0.534000015258789)"
309947,RightFoot,OpenPlay,MissedShots,0.277946799993515,48,1,1,David McGoldrick,7711,a,Sheffield United,Bournemouth,John Lundstram,2019-08-10 15:00:00,11645,2019,"(0.8109999847412109, 0.3220000076293945)"
309958,LeftFoot,SetPiece,Goal,0.7662742137908936,87,1,1,Billy Sharp,7712,a,Sheffield United,Bournemouth,,2019-08-10 15:00:00,11645,2019,"(0.9640000152587891, 0.495)"
309945,LeftFoot,OpenPlay,BlockedShot,0.08013443648815155,46,1,1,Callum Robinson,4476,a,Sheffield United,Bournemouth,Oliver Norwood,2019-08-10 15:00:00,11645,2019,"(0.8730000305175781, 0.5179999923706055)"
309943,LeftFoot,FromCorner,MissedShots,0.018958929926156998,41,1,1,John Lundstram,7708,a,Sheffield United,Bournemouth,John Fleck,2019-08-10 15:00:00,11645,2019,"(0.7519999694824219, 0.30700000762939456)"
309957,RightFoot,SetPiece,MissedShots,0.5383743047714233,87,1,1,Oliver McBurnie,1736,a,Sheffield United,Bournemouth,,2019-08-10 15:00:00,11645,2019,"(0.9219999694824219, 0.5259999847412109)"
309946,RightFoot,FromCorner,MissedShots,0.01897476054728031,46,1,1,George Baldock,7706,a,Sheffield United,Bournemouth,,2019-08-10 15:00:00,11645,2019,"(0.78, 0.625999984741211)"
309941,RightFoot,OpenPlay,SavedShot,0.024418622255325317,20,1,1,Callum Robinson,4476,a,Sheffield United,Bournemouth,John Fleck,2019-08-10 15:00:00,11645,2019,"(0.7530000305175781, 0.43599998474121093)"
311092,RightFoot,OpenPlay,Goal,0.498256117105484,46,1,0,John Lundstram,7708,h,Sheffield United,Crystal Palace,,2019-08-18 14:00:00,11660,2019,"(0.9180000305175782, 0.4540000152587891)"
311083,LeftFoot,OpenPlay,BlockedShot,0.06980598717927933,22,1,0,David McGoldrick,7711,h,Sheffield United,Crystal Palace,,2019-08-18 14:00:00,11660,2019,"(0.8809999847412109, 0.6079999923706054)"
311090,RightFoot,OpenPlay,SavedShot,0.5793857574462891,41,1,0,David McGoldrick,7711,h,Sheffield United,Crystal Palace,John Lundstram,2019-08-18 14:00:00,11660,2019,"(0.9530000305175781, 0.5209999847412109)"
311085,LeftFoot,FromCorner,BlockedShot,0.07507339864969254,25,1,0,Jack O&#039;Connell,7705,h,Sheffield United,Crystal Palace,Oliver Norwood,2019-08-18 14:00:00,11660,2019,"(0.899000015258789, 0.5609999847412109)"
311096,Head,FromCorner,SavedShot,0.011150391772389412,70,1,0,Jack O&#039;Connell,7705,h,Sheffield United,Crystal Palace,Chris Basham,2019-08-18 14:00:00,11660,2019,"(0.9780000305175781, 0.62)"
311086,LeftFoot,OpenPlay,MissedShots,0.014273029752075672,25,1,0,John Fleck,7709,h,Sheffield United,Crystal Palace,Oliver Norwood,2019-08-18 14:00:00,11660,2019,"(0.7380000305175781, 0.695)"
311084,RightFoot,OpenPlay,BlockedShot,0.020443737506866455,24,1,0,Oliver Norwood,7710,h,Sheffield United,Crystal Palace,,2019-08-18 14:00:00,11660,2019,"(0.8009999847412109, 0.295)"
311081,RightFoot,OpenPlay,MissedShots,0.012857743538916111,14,1,0,John Lundstram,7708,h,Sheffield United,Crystal Palace,Enda Stevens,2019-08-18 14:00:00,11660,2019,"(0.735999984741211, 0.6930000305175781)"
311098,Head,SetPiece,MissedShots,0.02963738702237606,83,1,0,Oliver McBurnie,1736,h,Sheffield United,Crystal Palace,Oliver Norwood,2019-08-18 14:00:00,11660,2019,"(0.86, 0.515)"
311097,OtherBodyPart,FromCorner,MissedShots,0.14636804163455963,78,1,0,Oliver McBurnie,1736,h,Sheffield United,Crystal Palace,Oliver Norwood,2019-08-18 14:00:00,11660,2019,"(0.9619999694824218, 0.5029999923706054)"
311091,RightFoot,OpenPlay,BlockedShot,0.09698126465082169,42,1,0,Callum Robinson,4476,h,Sheffield United,Crystal Palace,,2019-08-18 14:00:00,11660,2019,"(0.9080000305175782, 0.4279999923706055)"
311087,RightFoot,OpenPlay,MissedShots,0.09375692903995514,31,1,0,Callum Robinson,4476,h,Sheffield United,Crystal Palace,Luke Freeman,2019-08-18 14:00:00,11660,2019,"(0.8109999847412109, 0.3629999923706055)"
311089,LeftFoot,OpenPlay,BlockedShot,0.016717176884412766,37,1,0,Luke Freeman,7713,h,Sheffield United,Crystal Palace,Oliver Norwood,2019-08-18 14:00:00,11660,2019,"(0.7440000152587891, 0.645)"
311082,LeftFoot,OpenPlay,BlockedShot,0.07309757173061371,22,1,0,Enda Stevens,7707,h,Sheffield United,Crystal Palace,,2019-08-18 14:00:00,11660,2019,"(0.8590000152587891, 0.4620000076293945)"
311080,Head,FromCorner,MissedShots,0.11508245021104813,9,1,0,Jack O&#039;Connell,7705,h,Sheffield United,Crystal Palace,John Fleck,2019-08-18 14:00:00,11660,2019,"(0.9390000152587891, 0.544000015258789)"
312502,RightFoot,OpenPlay,MissedShots,0.020764732733368874,20,1,2,John Lundstram,7708,h,Sheffield United,Leicester,Oliver Norwood,2019-08-24 15:00:00,11665,2019,"(0.755, 0.62)"
312510,LeftFoot,OpenPlay,SavedShot,0.4071449935436249,74,1,2,John Lundstram,7708,h,Sheffield United,Leicester,Billy Sharp,2019-08-24 15:00:00,11665,2019,"(0.905, 0.46299999237060546)"
312506,Head,FromCorner,MissedShots,0.026213422417640686,45,1,2,Jack O&#039;Connell,7705,h,Sheffield United,Leicester,Oliver Norwood,2019-08-24 15:00:00,11665,2019,"(0.9640000152587891, 0.38299999237060545)"
312503,RightFoot,OpenPlay,SavedShot,0.04125465452671051,27,1,2,George Baldock,7706,h,Sheffield United,Leicester,Jack O&#039;Connell,2019-08-24 15:00:00,11665,2019,"(0.845999984741211, 0.4)"
312511,RightFoot,OpenPlay,BlockedShot,0.01892583817243576,82,1,2,George Baldock,7706,h,Sheffield United,Leicester,,2019-08-24 15:00:00,11665,2019,"(0.765, 0.3529999923706055)"
312513,RightFoot,FromCorner,MissedShots,0.02669377438724041,92,1,2,Ravel Morrison,1883,h,Sheffield United,Leicester,,2019-08-24 15:00:00,11665,2019,"(0.8909999847412109, 0.37400001525878906)"
312512,RightFoot,DirectFreekick,BlockedShot,0.07445166260004044,91,1,2,Oliver Norwood,7710,h,Sheffield United,Leicester,,2019-08-24 15:00:00,11665,2019,"(0.7609999847412109, 0.5)"
312508,Head,OpenPlay,Goal,0.03886888176202774,61,1,2,Oliver McBurnie,1736,h,Sheffield United,Leicester,George Baldock,2019-08-24 15:00:00,11665,2019,"(0.91, 0.49)"
315780,RightFoot,OpenPlay,MissedShots,0.02999384142458439,24,2,2,Chris Basham,7704,a,Sheffield United,Chelsea,,2019-08-31 15:00:00,11675,2019,"(0.795, 0.38299999237060545)"
315776,LeftFoot,OpenPlay,MissedShots,0.01744084805250168,17,2,2,Luke Freeman,7713,a,Sheffield United,Chelsea,Oliver Norwood,2019-08-31 15:00:00,11675,2019,"(0.7169999694824218, 0.49700000762939456)"
315791,LeftFoot,OpenPlay,MissedShots,0.02543010003864765,80,2,2,Enda Stevens,7707,a,Sheffield United,Chelsea,Lys Mousset,2019-08-31 15:00:00,11675,2019,"(0.7930000305175782, 0.6880000305175781)"
315783,Head,OpenPlay,MissedShots,0.415235310792923,38,2,2,Callum Robinson,4476,a,Sheffield United,Chelsea,Chris Basham,2019-08-31 15:00:00,11675,2019,"(0.9330000305175781, 0.509000015258789)"
315786,RightFoot,OpenPlay,Goal,0.3642461895942688,45,2,2,Callum Robinson,4476,a,Sheffield United,Chelsea,Enda Stevens,2019-08-31 15:00:00,11675,2019,"(0.9159999847412109, 0.54)"
315788,LeftFoot,OpenPlay,MissedShots,0.05126621574163437,55,2,2,Callum Robinson,4476,a,Sheffield United,Chelsea,Oliver McBurnie,2019-08-31 15:00:00,11675,2019,"(0.8119999694824219, 0.6530000305175782)"
315794,LeftFoot,OpenPlay,BlockedShot,0.12719765305519104,87,2,2,Callum Robinson,4476,a,Sheffield United,Chelsea,Ben Osborn,2019-08-31 15:00:00,11675,2019,"(0.909000015258789, 0.639000015258789)"
315790,RightFoot,OpenPlay,SavedShot,0.015682801604270935,69,2,2,Oliver Norwood,7710,a,Sheffield United,Chelsea,Luke Freeman,2019-08-31 15:00:00,11675,2019,"(0.730999984741211, 0.6409999847412109)"
317350,RightFoot,OpenPlay,BlockedShot,0.08405418694019318,81,0,1,Lys Mousset,1748,h,Sheffield United,Southampton,John Fleck,2019-09-14 14:00:00,11686,2019,"(0.8930000305175781, 0.2670000076293945)"
317329,LeftFoot,OpenPlay,BlockedShot,0.03639915585517883,13,0,1,Enda Stevens,7707,h,Sheffield United,Southampton,,2019-09-14 14:00:00,11686,2019,"(0.8809999847412109, 0.73)"
317351,RightFoot,OpenPlay,MissedShots,0.03560101240873337,82,0,1,David McGoldrick,7711,h,Sheffield United,Southampton,George Baldock,2019-09-14 14:00:00,11686,2019,"(0.87, 0.34599998474121096)"
317348,RightFoot,OpenPlay,SavedShot,0.43970972299575806,79,0,1,David McGoldrick,7711,h,Sheffield United,Southampton,Billy Sharp,2019-09-14 14:00:00,11686,2019,"(0.9259999847412109, 0.4259999847412109)"
317338,RightFoot,OpenPlay,MissedShots,0.01333625428378582,39,0,1,David McGoldrick,7711,h,Sheffield United,Southampton,Enda Stevens,2019-09-14 14:00:00,11686,2019,"(0.855, 0.8530000305175781)"
317349,RightFoot,OpenPlay,MissedShots,0.07107631117105484,79,0,1,Lys Mousset,1748,h,Sheffield United,Southampton,John Fleck,2019-09-14 14:00:00,11686,2019,"(0.8630000305175781, 0.5270000076293946)"
317337,RightFoot,SetPiece,MissedShots,0.4003012180328369,35,0,1,David McGoldrick,7711,h,Sheffield United,Southampton,Oliver Norwood,2019-09-14 14:00:00,11686,2019,"(0.9619999694824218, 0.41900001525878905)"
317328,LeftFoot,OpenPlay,SavedShot,0.016009431332349777,12,0,1,John Fleck,7709,h,Sheffield United,Southampton,Oliver Norwood,2019-09-14 14:00:00,11686,2019,"(0.71, 0.56)"
317330,Head,OpenPlay,MissedShots,0.08607102930545807,16,0,1,John Fleck,7709,h,Sheffield United,Southampton,George Baldock,2019-09-14 14:00:00,11686,2019,"(0.9019999694824219, 0.475)"
317331,LeftFoot,OpenPlay,BlockedShot,0.039560072124004364,20,0,1,John Fleck,7709,h,Sheffield United,Southampton,Enda Stevens,2019-09-14 14:00:00,11686,2019,"(0.9419999694824219, 0.27700000762939453)"
317345,LeftFoot,OpenPlay,MissedShots,0.015287544578313828,69,0,1,John Fleck,7709,h,Sheffield United,Southampton,Oliver Norwood,2019-09-14 14:00:00,11686,2019,"(0.7130000305175781, 0.6329999923706054)"
317347,RightFoot,OpenPlay,BlockedShot,0.09932642430067062,79,0,1,John Fleck,7709,h,Sheffield United,Southampton,Billy Sharp,2019-09-14 14:00:00,11686,2019,"(0.879000015258789, 0.4520000076293945)"
317335,LeftFoot,OpenPlay,SavedShot,0.041660137474536896,25,0,1,David McGoldrick,7711,h,Sheffield United,Southampton,John Fleck,2019-09-14 14:00:00,11686,2019,"(0.7809999847412109, 0.33099998474121095)"
317327,RightFoot,OpenPlay,SavedShot,0.26569005846977234,11,0,1,David McGoldrick,7711,h,Sheffield United,Southampton,Oliver McBurnie,2019-09-14 14:00:00,11686,2019,"(0.8219999694824218, 0.45799999237060546)"
317352,Head,FromCorner,BlockedShot,0.03304080665111542,95,0,1,Dean Henderson,7702,h,Sheffield United,Southampton,Oliver Norwood,2019-09-14 14:00:00,11686,2019,"(0.9169999694824219, 0.5420000076293945)"
317346,LeftFoot,OpenPlay,MissedShots,0.12473141402006149,72,0,1,Chris Basham,7704,h,Sheffield United,Southampton,Billy Sharp,2019-09-14 14:00:00,11686,2019,"(0.9130000305175782, 0.44599998474121094)"
317336,LeftFoot,FromCorner,MissedShots,0.07848727703094482,29,0,1,Jack O&#039;Connell,7705,h,Sheffield United,Southampton,John Lundstram,2019-09-14 14:00:00,11686,2019,"(0.8690000152587891, 0.48700000762939455)"
320406,Head,OpenPlay,MissedShots,0.06627096980810165,72,2,0,Chris Basham,7704,a,Sheffield United,Everton,John Fleck,2019-09-21 14:00:00,11698,2019,"(0.8959999847412109, 0.43900001525878907)"
320409,RightFoot,OpenPlay,Goal,0.441739946603775,78,2,0,Lys Mousset,1748,a,Sheffield United,Everton,John Lundstram,2019-09-21 14:00:00,11698,2019,"(0.92, 0.2989999961853027)"
322362,Head,OpenPlay,MissedShots,0.08389157801866531,36,0,1,Callum Robinson,4476,h,Sheffield United,Liverpool,Enda Stevens,2019-09-28 11:30:00,11703,2019,"(0.8930000305175781, 0.53)"
322357,RightFoot,OpenPlay,MissedShots,0.04938533529639244,20,0,1,Callum Robinson,4476,h,Sheffield United,Liverpool,,2019-09-28 11:30:00,11703,2019,"(0.8490000152587891, 0.3509999847412109)"
322376,Head,FromCorner,BlockedShot,0.011486608535051346,81,0,1,Jack O&#039;Connell,7705,h,Sheffield United,Liverpool,John Lundstram,2019-09-28 11:30:00,11703,2019,"(0.9109999847412109, 0.3679999923706055)"
322377,RightFoot,OpenPlay,MissedShots,0.42813047766685486,84,0,1,Leon Clarke,8061,h,Sheffield United,Liverpool,John Fleck,2019-09-28 11:30:00,11703,2019,"(0.9159999847412109, 0.495)"
322368,RightFoot,OpenPlay,SavedShot,0.013715016655623913,63,0,1,Oliver Norwood,7710,h,Sheffield United,Liverpool,Enda Stevens,2019-09-28 11:30:00,11703,2019,"(0.725999984741211, 0.6419999694824219)"
322354,RightFoot,OpenPlay,SavedShot,0.07014808803796768,3,0,1,Oliver McBurnie,1736,h,Sheffield United,Liverpool,Enda Stevens,2019-09-28 11:30:00,11703,2019,"(0.86, 0.6840000152587891)"
322366,Head,FromCorner,MissedShots,0.08980438113212585,52,0,1,Oliver McBurnie,1736,h,Sheffield United,Liverpool,Oliver Norwood,2019-09-28 11:30:00,11703,2019,"(0.9590000152587891, 0.5170000076293946)"
322380,Head,OpenPlay,MissedShots,0.05996185913681984,89,0,1,Oliver McBurnie,1736,h,Sheffield United,Liverpool,George Baldock,2019-09-28 11:30:00,11703,2019,"(0.9059999847412109, 0.5820000076293945)"
322381,Head,OpenPlay,MissedShots,0.04371567815542221,92,0,1,Oliver McBurnie,1736,h,Sheffield United,Liverpool,John Fleck,2019-09-28 11:30:00,11703,2019,"(0.8819999694824219, 0.56)"
322369,RightFoot,OpenPlay,BlockedShot,0.17110726237297058,66,0,1,John Fleck,7709,h,Sheffield United,Liverpool,Enda Stevens,2019-09-28 11:30:00,11703,2019,"(0.8880000305175781, 0.5979999923706054)"
322359,RightFoot,OpenPlay,BlockedShot,0.035361677408218384,27,0,1,John Lundstram,7708,h,Sheffield United,Liverpool,,2019-09-28 11:30:00,11703,2019,"(0.84, 0.3089999961853027)"
322370,RightFoot,OpenPlay,BlockedShot,0.1369476616382599,66,0,1,John Lundstram,7708,h,Sheffield United,Liverpool,,2019-09-28 11:30:00,11703,2019,"(0.9019999694824219, 0.39099998474121095)"
324147,LeftFoot,OpenPlay,BlockedShot,0.01925392635166645,72,0,0,Lys Mousset,1748,a,Sheffield United,Watford,John Lundstram,2019-10-05 15:00:00,11719,2019,"(0.7369999694824219, 0.5579999923706055)"
324149,LeftFoot,SetPiece,MissedShots,0.06300070136785507,78,0,0,John Lundstram,7708,a,Sheffield United,Watford,,2019-10-05 15:00:00,11719,2019,"(0.865, 0.595999984741211)"
324145,LeftFoot,OpenPlay,MissedShots,0.015851693227887154,54,0,0,Enda Stevens,7707,a,Sheffield United,Watford,Oliver Norwood,2019-10-05 15:00:00,11719,2019,"(0.7190000152587891, 0.48700000762939455)"
324138,Head,FromCorner,MissedShots,0.015566275455057621,18,0,0,Oliver McBurnie,1736,a,Sheffield United,Watford,Oliver Norwood,2019-10-05 15:00:00,11719,2019,"(0.914000015258789, 0.415)"
324139,LeftFoot,OpenPlay,SavedShot,0.015489264391362667,18,0,0,John Fleck,7709,a,Sheffield United,Watford,John Lundstram,2019-10-05 15:00:00,11719,2019,"(0.779000015258789, 0.3079999923706055)"
324148,LeftFoot,OpenPlay,BlockedShot,0.018363509327173233,77,0,0,John Fleck,7709,a,Sheffield United,Watford,Oliver Norwood,2019-10-05 15:00:00,11719,2019,"(0.7780000305175782, 0.7190000152587891)"
324142,LeftFoot,OpenPlay,SavedShot,0.06999848783016205,44,0,0,Callum Robinson,4476,a,Sheffield United,Watford,,2019-10-05 15:00:00,11719,2019,"(0.8969999694824219, 0.48900001525878906)"
324144,RightFoot,OpenPlay,SavedShot,0.1047380194067955,52,0,0,Callum Robinson,4476,a,Sheffield United,Watford,Oliver McBurnie,2019-10-05 15:00:00,11719,2019,"(0.8769999694824219, 0.615)"
324137,Head,FromCorner,MissedShots,0.03146170452237129,18,0,0,John Egan,7703,a,Sheffield United,Watford,,2019-10-05 15:00:00,11719,2019,"(0.875, 0.3890000152587891)"
326712,RightFoot,OpenPlay,MissedShots,0.05458005145192146,58,1,0,George Baldock,7706,h,Sheffield United,Arsenal,John Fleck,2019-10-21 20:00:00,11730,2019,"(0.8730000305175781, 0.29100000381469726)"
326721,Head,FromCorner,MissedShots,0.026668019592761993,86,1,0,Oliver McBurnie,1736,h,Sheffield United,Arsenal,John Fleck,2019-10-21 20:00:00,11730,2019,"(0.905, 0.505)"
326718,RightFoot,OpenPlay,MissedShots,0.021540900692343712,75,1,0,Oliver Norwood,7710,h,Sheffield United,Arsenal,Billy Sharp,2019-10-21 20:00:00,11730,2019,"(0.7959999847412109, 0.27700000762939453)"
326715,LeftFoot,OpenPlay,SavedShot,0.016818726435303688,66,1,0,John Fleck,7709,h,Sheffield United,Arsenal,Oliver Norwood,2019-10-21 20:00:00,11730,2019,"(0.6909999847412109, 0.425)"
326714,LeftFoot,OpenPlay,MissedShots,0.028560256585478783,60,1,0,John Fleck,7709,h,Sheffield United,Arsenal,John Lundstram,2019-10-21 20:00:00,11730,2019,"(0.81, 0.735999984741211)"
326706,LeftFoot,OpenPlay,MissedShots,0.03310425952076912,19,1,0,Enda Stevens,7707,h,Sheffield United,Arsenal,,2019-10-21 20:00:00,11730,2019,"(0.8780000305175781, 0.735999984741211)"
326708,RightFoot,FromCorner,Goal,0.6645467877388,29,1,0,Lys Mousset,1748,h,Sheffield United,Arsenal,Jack O&#039;Connell,2019-10-21 20:00:00,11730,2019,"(0.9730000305175781, 0.505)"
326720,Head,SetPiece,BlockedShot,0.04990310221910477,86,1,0,John Egan,7703,h,Sheffield United,Arsenal,John Fleck,2019-10-21 20:00:00,11730,2019,"(0.9119999694824219, 0.53)"
327164,RightFoot,FromCorner,SavedShot,0.6531450152397156,27,1,1,David McGoldrick,7711,a,Sheffield United,West Ham,Jack O&#039;Connell,2019-10-26 15:00:00,11742,2019,"(0.9580000305175781, 0.4909999847412109)"
327166,Head,SetPiece,SavedShot,0.09828932583332062,36,1,1,David McGoldrick,7711,a,Sheffield United,West Ham,John Fleck,2019-10-26 15:00:00,11742,2019,"(0.915, 0.43900001525878907)"
327175,RightFoot,OpenPlay,BlockedShot,0.05089263990521431,66,1,1,David McGoldrick,7711,a,Sheffield United,West Ham,John Lundstram,2019-10-26 15:00:00,11742,2019,"(0.805, 0.44299999237060544)"
327163,Head,FromCorner,MissedShots,0.02223372645676136,27,1,1,Jack O&#039;Connell,7705,a,Sheffield United,West Ham,John Fleck,2019-10-26 15:00:00,11742,2019,"(0.894000015258789, 0.595999984741211)"
327167,LeftFoot,OpenPlay,MissedShots,0.08197689056396484,40,1,1,John Lundstram,7708,a,Sheffield United,West Ham,Jack O&#039;Connell,2019-10-26 15:00:00,11742,2019,"(0.8969999694824219, 0.5929999923706055)"
327165,RightFoot,FromCorner,BlockedShot,0.11733841150999069,27,1,1,John Lundstram,7708,a,Sheffield United,West Ham,,2019-10-26 15:00:00,11742,2019,"(0.9, 0.5159999847412109)"
327171,RightFoot,OpenPlay,BlockedShot,0.03798588737845421,52,1,1,George Baldock,7706,a,Sheffield United,West Ham,John Fleck,2019-10-26 15:00:00,11742,2019,"(0.9080000305175782, 0.33599998474121096)"
327174,RightFoot,OpenPlay,MissedShots,0.07958772778511047,61,1,1,George Baldock,7706,a,Sheffield United,West Ham,David McGoldrick,2019-10-26 15:00:00,11742,2019,"(0.899000015258789, 0.35700000762939454)"
327168,LeftFoot,OpenPlay,BlockedShot,0.053467076271772385,40,1,1,Enda Stevens,7707,a,Sheffield United,West Ham,Callum Robinson,2019-10-26 15:00:00,11742,2019,"(0.875, 0.6840000152587891)"
327176,RightFoot,OpenPlay,Goal,0.05886021628975868,68,1,1,Lys Mousset,1748,a,Sheffield United,West Ham,Enda Stevens,2019-10-26 15:00:00,11742,2019,"(0.8880000305175781, 0.6459999847412109)"
329305,RightFoot,OpenPlay,MissedShots,0.02014291100203991,34,3,0,Lys Mousset,1748,h,Sheffield United,Burnley,Enda Stevens,2019-11-02 15:00:00,11750,2019,"(0.720999984741211, 0.624000015258789)"
329313,RightFoot,OpenPlay,SavedShot,0.3367941081523895,67,3,0,Billy Sharp,7712,h,Sheffield United,Burnley,David McGoldrick,2019-11-02 15:00:00,11750,2019,"(0.92, 0.625)"
329303,RightFoot,OpenPlay,Goal,0.38118061423301697,16,3,0,John Lundstram,7708,h,Sheffield United,Burnley,Lys Mousset,2019-11-02 15:00:00,11750,2019,"(0.8919999694824219, 0.4370000076293945)"
329307,RightFoot,OpenPlay,Goal,0.622334361076355,42,3,0,John Lundstram,7708,h,Sheffield United,Burnley,Lys Mousset,2019-11-02 15:00:00,11750,2019,"(0.9680000305175781, 0.4420000076293945)"
329306,RightFoot,OpenPlay,MissedShots,0.400649756193161,42,3,0,Lys Mousset,1748,h,Sheffield United,Burnley,Enda Stevens,2019-11-02 15:00:00,11750,2019,"(0.9259999847412109, 0.5279999923706055)"
329311,RightFoot,OpenPlay,BlockedShot,0.11537855118513107,56,3,0,Lys Mousset,1748,h,Sheffield United,Burnley,John Lundstram,2019-11-02 15:00:00,11750,2019,"(0.895, 0.3629999923706055)"
329315,LeftFoot,FromCorner,SavedShot,0.017671477049589157,70,3,0,John Lundstram,7708,h,Sheffield United,Burnley,,2019-11-02 15:00:00,11750,2019,"(0.88, 0.7080000305175781)"
329319,RightFoot,OpenPlay,MissedShots,0.2759658992290497,89,3,0,John Lundstram,7708,h,Sheffield United,Burnley,Billy Sharp,2019-11-02 15:00:00,11750,2019,"(0.9269999694824219, 0.33599998474121096)"
329312,Head,OpenPlay,SavedShot,0.012026749551296234,56,3,0,David McGoldrick,7711,h,Sheffield United,Burnley,Jack O&#039;Connell,2019-11-02 15:00:00,11750,2019,"(0.8909999847412109, 0.4209999847412109)"
329308,LeftFoot,OpenPlay,Goal,0.1367601901292801,43,3,0,John Fleck,7709,h,Sheffield United,Burnley,Lys Mousset,2019-11-02 15:00:00,11750,2019,"(0.874000015258789, 0.6359999847412109)"
329317,LeftFoot,OpenPlay,MissedShots,0.07356812804937363,81,3,0,John Lundstram,7708,h,Sheffield United,Burnley,John Fleck,2019-11-02 15:00:00,11750,2019,"(0.8819999694824219, 0.31799999237060544)"
329301,LeftFoot,OpenPlay,MissedShots,0.08819691836833954,11,3,0,David McGoldrick,7711,h,Sheffield United,Burnley,Lys Mousset,2019-11-02 15:00:00,11750,2019,"(0.92, 0.6079999923706054)"
329310,LeftFoot,OpenPlay,BlockedShot,0.10324613749980927,52,3,0,Enda Stevens,7707,h,Sheffield United,Burnley,,2019-11-02 15:00:00,11750,2019,"(0.87, 0.5159999847412109)"
330633,RightFoot,OpenPlay,SavedShot,0.016108719632029533,21,1,1,David McGoldrick,7711,a,Sheffield United,Tottenham,John Lundstram,2019-11-09 15:00:00,11759,2019,"(0.7030000305175781, 0.4879999923706055)"
330654,RightFoot,OpenPlay,Goal,0.0398586206138134,77,1,1,George Baldock,7706,a,Sheffield United,Tottenham,David McGoldrick,2019-11-09 15:00:00,11759,2019,"(0.8909999847412109, 0.2670000076293945)"
330639,LeftFoot,FromCorner,ShotOnPost,0.04227406159043312,29,1,1,John Lundstram,7708,a,Sheffield United,Tottenham,Jack O&#039;Connell,2019-11-09 15:00:00,11759,2019,"(0.8690000152587891, 0.625999984741211)"
330641,RightFoot,FromCorner,MissedShots,0.008050806820392609,30,1,1,Oliver Norwood,7710,a,Sheffield United,Tottenham,John Fleck,2019-11-09 15:00:00,11759,2019,"(0.75, 0.3609999847412109)"
