,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
11644,West Ham,Manchester City,1.2003,3.18377,0,5,h,2019-08-10 12:30:00
11655,West Ham,Brighton,1.00856,2.40461,1,1,a,2019-08-17 15:00:00
11667,West Ham,Watford,3.45768,2.29348,3,1,a,2019-08-24 15:00:00
11674,West Ham,Norwich,2.20657,1.1674,2,0,h,2019-08-31 15:00:00
11692,West Ham,Aston Villa,0.535279,1.40502,0,0,a,2019-09-16 19:00:00
11700,West Ham,Manchester United,0.51376,1.27826,2,0,h,2019-09-22 13:00:00
11707,West Ham,Bournemouth,1.29546,2.31957,2,2,a,2019-09-28 14:00:00
11720,West Ham,Crystal Palace,1.23577,2.0682,1,2,h,2019-10-05 17:30:00
11727,West Ham,Everton,0.459112,2.23324,0,2,a,2019-10-19 12:30:00
11742,West Ham,Sheffield United,2.33891,1.16171,1,1,h,2019-10-26 15:00:00
11752,West Ham,Newcastle United,1.53597,1.93192,2,3,h,2019-11-02 15:00:00
11753,West Ham,Burnley,0.474281,2.4158,0,3,a,2019-11-09 15:00:00
11772,West Ham,Tottenham,0.661449,2.20681,2,3,h,2019-11-23 12:30:00
11774,West Ham,Chelsea,1.12034,2.73185,1,0,a,2019-11-30 15:00:00
11787,West Ham,Wolverhampton Wanderers,0.501977,1.82237,0,2,a,2019-12-04 19:30:00
11802,West Ham,Arsenal,0.521847,1.79181,1,3,h,2019-12-09 20:00:00
11811,West Ham,Southampton,0.90324,0.805884,1,0,a,2019-12-14 17:30:00
11826,West Ham,Crystal Palace,0.796338,2.14195,1,2,a,2019-12-26 15:00:00
11842,West Ham,Leicester,0.782104,2.62349,1,2,h,2019-12-28 17:30:00
11843,West Ham,Bournemouth,2.32825,0.720709,4,0,h,2020-01-01 17:30:00
11855,West Ham,Sheffield United,0.90477,2.02768,0,1,a,2020-01-10 20:00:00
11872,West Ham,Everton,1.68436,1.95473,1,1,h,2020-01-18 15:00:00
11876,West Ham,Leicester,1.16254,2.91302,1,4,a,2020-01-22 19:30:00
11822,West Ham,Liverpool,0.878341,2.59926,0,2,h,2020-01-29 19:45:00
11892,West Ham,Brighton,1.30774,2.03179,3,3,h,2020-02-01 15:00:00
11898,West Ham,Manchester City,0.0895892,2.13777,0,2,a,2020-02-19 19:30:00
11911,West Ham,Liverpool,0.638236,2.48209,2,3,a,2020-02-24 20:00:00
11922,West Ham,Southampton,2.78682,0.868573,3,1,h,2020-02-29 15:00:00
11923,West Ham,Arsenal,1.61615,1.55974,0,1,a,2020-03-07 15:00:00
11934,West Ham,Wolverhampton Wanderers,0.44207,1.06433,0,2,h,2020-06-20 16:30:00
11944,West Ham,Tottenham,0.83104,2.24125,0,2,a,2020-06-23 19:15:00
11962,West Ham,Chelsea,2.10497,1.57609,3,2,h,2020-07-01 19:15:00
11968,West Ham,Newcastle United,2.03065,1.49121,2,2,a,2020-07-05 13:15:00
11982,West Ham,Burnley,1.99821,1.05291,0,1,h,2020-07-08 17:00:00
11988,West Ham,Norwich,3.81088,0.613251,4,0,a,2020-07-11 11:30:00
12001,West Ham,Watford,0.833995,1.03402,3,1,h,2020-07-17 19:00:00
12007,West Ham,Manchester United,1.29009,0.984161,1,1,a,2020-07-22 17:00:00
12013,West Ham,Aston Villa,0.781465,0.983594,1,1,h,2020-07-26 15:00:00
