,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
376479,RightFoot,OpenPlay,SavedShot,0.6487818360328674,7,3,0,Willian,700,a,Arsenal,Fulham,,2020-09-12 11:30:00,14086,2020,"(0.9540000152587891, 0.4929999923706055)"
376492,RightFoot,OpenPlay,BlockedShot,0.10653381794691086,77,3,0,Pierre-Emerick Aubameyang,318,a,Arsenal,Fulham,Héctor Bellerín,2020-09-12 11:30:00,14086,2020,"(0.965999984741211, 0.3579999923706055)"
376484,RightFoot,DirectFreekick,ShotOnPost,0.13563410937786102,26,3,0,Willian,700,a,Arsenal,Fulham,,2020-09-12 11:30:00,14086,2020,"(0.8030000305175782, 0.49700000762939456)"
376480,LeftFoot,OpenPlay,Goal,0.7580886483192444,8,3,0,Alexandre Lacazette,3277,a,Arsenal,Fulham,,2020-09-12 11:30:00,14086,2020,"(0.9740000152587891, 0.47)"
376493,Head,FromCorner,MissedShots,0.07018397003412247,77,3,0,Alexandre Lacazette,3277,a,Arsenal,Fulham,Nicolas Pepe,2020-09-12 11:30:00,14086,2020,"(0.9690000152587891, 0.41)"
376488,RightFoot,OpenPlay,Goal,0.09433776885271072,56,3,0,Pierre-Emerick Aubameyang,318,a,Arsenal,Fulham,Willian,2020-09-12 11:30:00,14086,2020,"(0.8719999694824219, 0.6359999847412109)"
376486,OtherBodyPart,FromCorner,Goal,0.5060973167419434,48,3,0,Gabriel,5613,a,Arsenal,Fulham,Willian,2020-09-12 11:30:00,14086,2020,"(0.9490000152587891, 0.48200000762939454)"
376482,RightFoot,OpenPlay,BlockedShot,0.11015225946903229,20,3,0,Mohamed Elneny,496,a,Arsenal,Fulham,Alexandre Lacazette,2020-09-12 11:30:00,14086,2020,"(0.8630000305175781, 0.48700000762939455)"
376491,LeftFoot,SetPiece,BlockedShot,0.03415199741721153,72,3,0,Granit Xhaka,204,a,Arsenal,Fulham,Willian,2020-09-12 11:30:00,14086,2020,"(0.794000015258789, 0.5309999847412109)"
376489,LeftFoot,DirectFreekick,BlockedShot,0.05264190211892128,61,3,0,Granit Xhaka,204,a,Arsenal,Fulham,,2020-09-12 11:30:00,14086,2020,"(0.7340000152587891, 0.4490000152587891)"
376483,LeftFoot,OpenPlay,MissedShots,0.0572240874171257,20,3,0,Granit Xhaka,204,a,Arsenal,Fulham,,2020-09-12 11:30:00,14086,2020,"(0.8180000305175781, 0.5209999847412109)"
376478,LeftFoot,OpenPlay,MissedShots,0.06435254961252213,7,3,0,Granit Xhaka,204,a,Arsenal,Fulham,Pierre-Emerick Aubameyang,2020-09-12 11:30:00,14086,2020,"(0.8480000305175781, 0.6020000076293945)"
376485,LeftFoot,OpenPlay,SavedShot,0.08170896768569946,36,3,0,Pierre-Emerick Aubameyang,318,a,Arsenal,Fulham,Granit Xhaka,2020-09-12 11:30:00,14086,2020,"(0.924000015258789, 0.6509999847412109)"
377749,LeftFoot,OpenPlay,BlockedShot,0.0694451704621315,46,2,1,Bukayo Saka,7322,h,Arsenal,West Ham,Pierre-Emerick Aubameyang,2020-09-19 19:00:00,14099,2020,"(0.9209999847412109, 0.67)"
377747,RightFoot,OpenPlay,BlockedShot,0.1316869705915451,39,2,1,Dani Ceballos,2446,h,Arsenal,West Ham,Bukayo Saka,2020-09-19 19:00:00,14099,2020,"(0.9169999694824219, 0.5020000076293946)"
377745,Head,OpenPlay,Goal,0.3599128723144531,24,2,1,Alexandre Lacazette,3277,h,Arsenal,West Ham,Pierre-Emerick Aubameyang,2020-09-19 19:00:00,14099,2020,"(0.9230000305175782, 0.4859999847412109)"
377763,LeftFoot,OpenPlay,BlockedShot,0.046448688954114914,93,2,1,Nicolas Pepe,5656,h,Arsenal,West Ham,Pierre-Emerick Aubameyang,2020-09-19 19:00:00,14099,2020,"(0.7830000305175782, 0.4420000076293945)"
377762,RightFoot,OpenPlay,SavedShot,0.04727059230208397,90,2,1,Pierre-Emerick Aubameyang,318,h,Arsenal,West Ham,,2020-09-19 19:00:00,14099,2020,"(0.7780000305175782, 0.48200000762939454)"
377760,RightFoot,OpenPlay,Goal,0.5754188299179077,84,2,1,Eddie Nketiah,6482,h,Arsenal,West Ham,Dani Ceballos,2020-09-19 19:00:00,14099,2020,"(0.93, 0.5)"
377746,LeftFoot,OpenPlay,MissedShots,0.09883633255958557,29,2,1,Bukayo Saka,7322,h,Arsenal,West Ham,Willian,2020-09-19 19:00:00,14099,2020,"(0.889000015258789, 0.635)"
380011,RightFoot,OpenPlay,SavedShot,0.3287828266620636,62,1,3,Alexandre Lacazette,3277,a,Arsenal,Liverpool,Dani Ceballos,2020-09-28 19:15:00,14115,2020,"(0.8480000305175781, 0.485)"
380008,RightFoot,OpenPlay,SavedShot,0.29330578446388245,58,1,3,Alexandre Lacazette,3277,a,Arsenal,Liverpool,Willian,2020-09-28 19:15:00,14115,2020,"(0.8809999847412109, 0.37599998474121094)"
380001,LeftFoot,OpenPlay,Goal,0.509879469871521,24,1,3,Alexandre Lacazette,3277,a,Arsenal,Liverpool,,2020-09-28 19:15:00,14115,2020,"(0.9159999847412109, 0.49599998474121093)"
