,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
378469,LeftFoot,OpenPlay,BlockedShot,0.12824329733848572,91,1,0,Jack Grealish,675,h,Aston Villa,Sheffield United,Ollie Watkins,2020-09-21 17:00:00,14104,2020,"(0.8640000152587891, 0.6079999923706054)"
378466,RightFoot,OpenPlay,MissedShots,0.08635164052248001,80,1,0,Jack Grealish,675,h,Aston Villa,Sheffield United,John McGinn,2020-09-21 17:00:00,14104,2020,"(0.840999984741211, 0.595999984741211)"
378455,LeftFoot,OpenPlay,MissedShots,0.04364907741546631,40,1,0,Conor Hourihane,7721,h,Aston Villa,Sheffield United,Jack Grealish,2020-09-21 17:00:00,14104,2020,"(0.8219999694824218, 0.629000015258789)"
378470,RightFoot,OpenPlay,MissedShots,0.025605756789445877,92,1,0,Douglas Luiz,6122,h,Aston Villa,Sheffield United,Keinan Davis,2020-09-21 17:00:00,14104,2020,"(0.76, 0.40700000762939453)"
378463,RightFoot,OpenPlay,BlockedShot,0.0390959307551384,77,1,0,Douglas Luiz,6122,h,Aston Villa,Sheffield United,John McGinn,2020-09-21 17:00:00,14104,2020,"(0.779000015258789, 0.5790000152587891)"
378452,Head,FromCorner,SavedShot,0.02503904141485691,22,1,0,Douglas Luiz,6122,h,Aston Villa,Sheffield United,Trézéguet,2020-09-21 17:00:00,14104,2020,"(0.899000015258789, 0.5029999923706054)"
378450,Head,FromCorner,MissedShots,0.014697369188070297,3,1,0,Tyrone Mings,1024,h,Aston Villa,Sheffield United,Conor Hourihane,2020-09-21 17:00:00,14104,2020,"(0.9059999847412109, 0.580999984741211)"
378449,LeftFoot,OpenPlay,MissedShots,0.01925964653491974,1,1,0,John McGinn,7723,h,Aston Villa,Sheffield United,Matthew Cash,2020-09-21 17:00:00,14104,2020,"(0.9580000305175781, 0.7140000152587891)"
378459,Head,FromCorner,Goal,0.05225217342376709,62,1,0,Ezri Konsa Ngoyo,7726,h,Aston Villa,Sheffield United,Tyrone Mings,2020-09-21 17:00:00,14104,2020,"(0.9440000152587891, 0.43400001525878906)"
378453,RightFoot,FromCorner,BlockedShot,0.02541450783610344,27,1,0,Matthew Cash,8864,h,Aston Villa,Sheffield United,Jack Grealish,2020-09-21 17:00:00,14104,2020,"(0.75, 0.48700000762939455)"
378456,RightFoot,SetPiece,MissedShots,0.05240655690431595,49,1,0,Trézéguet,7722,h,Aston Villa,Sheffield United,Conor Hourihane,2020-09-21 17:00:00,14104,2020,"(0.9869999694824219, 0.40700000762939453)"
378457,RightFoot,OpenPlay,BlockedShot,0.024298474192619324,49,1,0,Matthew Cash,8864,h,Aston Villa,Sheffield United,Douglas Luiz,2020-09-21 17:00:00,14104,2020,"(0.7869999694824219, 0.33099998474121095)"
378458,Head,OpenPlay,MissedShots,0.03142819181084633,54,1,0,Ollie Watkins,8865,h,Aston Villa,Sheffield United,Trézéguet,2020-09-21 17:00:00,14104,2020,"(0.8780000305175781, 0.43)"
378464,RightFoot,OpenPlay,MissedShots,0.06069614365696907,77,1,0,Ollie Watkins,8865,h,Aston Villa,Sheffield United,John McGinn,2020-09-21 17:00:00,14104,2020,"(0.8580000305175781, 0.6790000152587891)"
