,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
14095,Brighton,Chelsea,1.44281,1.27062,1,3,h,2020-09-14 19:15:00
14101,Brighton,Newcastle United,1.8766,0.520678,3,0,a,2020-09-20 13:00:00
14106,Brighton,Manchester United,2.97659,1.57583,2,3,h,2020-09-26 11:30:00
14468,Brighton,Everton,1.16568,2.34034,2,4,a,2020-10-03 14:00:00
14476,Brighton,Crystal Palace,1.0935,0.761169,1,1,a,2020-10-18 13:00:00
14487,Brighton,West Bromwich Albion,0.546807,0.295654,1,1,h,2020-10-26 17:30:00
14503,Brighton,Tottenham,0.324457,1.97236,1,2,a,2020-11-01 19:15:00
14506,Brighton,Burnley,1.59022,0.326933,0,0,h,2020-11-06 17:30:00
14515,Brighton,Aston Villa,1.50038,1.76514,2,1,a,2020-11-21 15:00:00
14528,Brighton,Liverpool,2.30722,0.28109,1,1,h,2020-11-28 12:30:00
14536,Brighton,Southampton,2.03376,1.34801,1,2,h,2020-12-07 20:00:00
14553,Brighton,Leicester,0.791673,1.64351,0,3,a,2020-12-13 19:15:00
14557,Brighton,Fulham,0.462456,1.00448,0,0,a,2020-12-16 20:00:00
14565,Brighton,Sheffield United,2.90097,1.03713,1,1,h,2020-12-20 12:00:00
14583,Brighton,West Ham,1.50551,1.38877,2,2,a,2020-12-27 14:15:00
14585,Brighton,Arsenal,0.799368,1.31394,0,1,h,2020-12-29 18:00:00
14601,Brighton,Wolverhampton Wanderers,2.4228,1.81856,3,3,h,2021-01-02 17:30:00
14614,Brighton,Manchester City,0.177084,2.90855,0,1,a,2021-01-13 18:00:00
14618,Brighton,Leeds,1.14424,0.245193,1,0,a,2021-01-16 15:00:00
14625,Brighton,Fulham,2.29129,0.513226,0,0,h,2021-01-27 19:30:00
14636,Brighton,Tottenham,1.77386,0.372524,1,0,h,2021-01-31 19:15:00
14654,Brighton,Liverpool,1.18977,1.09518,1,0,a,2021-02-03 20:15:00
14656,Brighton,Burnley,0.612682,1.88934,1,1,a,2021-02-06 15:00:00
14666,Brighton,Aston Villa,2.33232,0.144036,0,0,h,2021-02-13 20:00:00
14677,Brighton,Crystal Palace,2.59204,0.179886,1,2,h,2021-02-22 20:00:00
14692,Brighton,West Bromwich Albion,3.12111,0.687091,0,1,a,2021-02-27 15:00:00
14696,Brighton,Leicester,0.75471,1.03801,1,2,h,2021-03-06 20:00:00
14713,Brighton,Southampton,0.895967,1.03495,2,1,a,2021-03-14 12:00:00
14715,Brighton,Newcastle United,0.951921,0.100945,3,0,h,2021-03-20 20:00:00
14731,Brighton,Manchester United,1.41071,1.73474,1,2,a,2021-04-04 18:30:00
14735,Brighton,Everton,1.16465,0.306287,0,0,h,2021-04-12 19:15:00
14747,Brighton,Chelsea,0.459568,0.807348,0,0,a,2021-04-20 19:00:00
14762,Brighton,Sheffield United,2.06038,0.786324,0,1,a,2021-04-24 19:00:00
14765,Brighton,Leeds,2.52542,0.510874,2,0,h,2021-05-01 14:00:00
14784,Brighton,Wolverhampton Wanderers,0.27571,1.1199,1,2,a,2021-05-09 11:00:00
14785,Brighton,West Ham,0.922587,1.92378,1,1,h,2021-05-15 19:00:00
14795,Brighton,Manchester City,1.22824,1.07139,3,2,h,2021-05-18 18:00:00
14805,Brighton,Arsenal,0.193968,0.772904,0,2,a,2021-05-23 15:00:00
