,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
377155,RightFoot,OpenPlay,BlockedShot,0.04331563785672188,48,1,3,Tariq Lamptey,8226,h,Brighton,Chelsea,Adam Webster,2020-09-14 19:15:00,14095,2020,"(0.9209999847412109, 0.31)"
377142,LeftFoot,FromCorner,MissedShots,0.017862023785710335,14,1,3,Yves Bissouma,5609,h,Brighton,Chelsea,,2020-09-14 19:15:00,14095,2020,"(0.88, 0.705)"
377150,RightFoot,FromCorner,MissedShots,0.010173609480261803,35,1,3,Yves Bissouma,5609,h,Brighton,Chelsea,Leandro Trossard,2020-09-14 19:15:00,14095,2020,"(0.7880000305175782, 0.37400001525878906)"
377158,Head,SetPiece,MissedShots,0.4961334466934204,58,1,3,Lewis Dunk,6048,h,Brighton,Chelsea,Leandro Trossard,2020-09-14 19:15:00,14095,2020,"(0.9580000305175781, 0.5429999923706055)"
377149,LeftFoot,OpenPlay,BlockedShot,0.04662353917956352,34,1,3,Solly March,6049,h,Brighton,Chelsea,,2020-09-14 19:15:00,14095,2020,"(0.9019999694824219, 0.69)"
377156,LeftFoot,OpenPlay,Goal,0.01650846190750599,53,1,3,Leandro Trossard,7698,h,Brighton,Chelsea,Tariq Lamptey,2020-09-14 19:15:00,14095,2020,"(0.7559999847412109, 0.3340000152587891)"
377141,RightFoot,OpenPlay,MissedShots,0.014489157125353813,4,1,3,Adam Webster,7699,h,Brighton,Chelsea,Steven Alzate,2020-09-14 19:15:00,14095,2020,"(0.705, 0.634000015258789)"
377153,OtherBodyPart,OpenPlay,MissedShots,0.3048878312110901,46,1,3,Aaron Connolly,7991,h,Brighton,Chelsea,Solly March,2020-09-14 19:15:00,14095,2020,"(0.985, 0.575999984741211)"
377154,RightFoot,OpenPlay,BlockedShot,0.07431936264038086,47,1,3,Aaron Connolly,7991,h,Brighton,Chelsea,Steven Alzate,2020-09-14 19:15:00,14095,2020,"(0.8980000305175782, 0.6430000305175781)"
377162,RightFoot,OpenPlay,SavedShot,0.013555715791881084,79,1,3,Aaron Connolly,7991,h,Brighton,Chelsea,,2020-09-14 19:15:00,14095,2020,"(0.75, 0.555)"
377147,OtherBodyPart,OpenPlay,MissedShots,0.32646602392196655,25,1,3,Neal Maupay,3621,h,Brighton,Chelsea,Tariq Lamptey,2020-09-14 19:15:00,14095,2020,"(0.924000015258789, 0.485)"
377145,RightFoot,OpenPlay,BlockedShot,0.06037404388189316,24,1,3,Steven Alzate,8020,h,Brighton,Chelsea,Adam Lallana,2020-09-14 19:15:00,14095,2020,"(0.825999984741211, 0.4590000152587891)"
377148,RightFoot,OpenPlay,SavedShot,0.018985936418175697,34,1,3,Steven Alzate,8020,h,Brighton,Chelsea,Adam Lallana,2020-09-14 19:15:00,14095,2020,"(0.754000015258789, 0.36)"
377987,RightFoot,SetPiece,MissedShots,0.01054344791918993,43,3,0,Yves Bissouma,5609,a,Brighton,Newcastle United,,2020-09-20 13:00:00,14101,2020,"(0.7469999694824219, 0.4909999847412109)"
377985,LeftFoot,OpenPlay,MissedShots,0.02355310507118702,38,3,0,Leandro Trossard,7698,a,Brighton,Newcastle United,,2020-09-20 13:00:00,14101,2020,"(0.765, 0.5979999923706054)"
377991,LeftFoot,OpenPlay,SavedShot,0.025396402925252914,56,3,0,Leandro Trossard,7698,a,Brighton,Newcastle United,,2020-09-20 13:00:00,14101,2020,"(0.769000015258789, 0.4)"
377994,RightFoot,OpenPlay,ShotOnPost,0.016603726893663406,70,3,0,Leandro Trossard,7698,a,Brighton,Newcastle United,Aaron Connolly,2020-09-20 13:00:00,14101,2020,"(0.7219999694824218, 0.5279999923706055)"
377988,RightFoot,OpenPlay,SavedShot,0.07610355317592621,48,3,0,Tariq Lamptey,8226,a,Brighton,Newcastle United,Steven Alzate,2020-09-20 13:00:00,14101,2020,"(0.9459999847412109, 0.3120000076293945)"
377982,RightFoot,Penalty,Goal,0.7611320614814758,3,3,0,Neal Maupay,3621,a,Brighton,Newcastle United,,2020-09-20 13:00:00,14101,2020,"(0.885, 0.5)"
378000,LeftFoot,OpenPlay,MissedShots,0.051625967025756836,92,3,0,Neal Maupay,3621,a,Brighton,Newcastle United,Alireza Jahanbakhsh,2020-09-20 13:00:00,14101,2020,"(0.79, 0.44)"
377999,RightFoot,OpenPlay,BlockedShot,0.12847071886062622,90,3,0,Alireza Jahanbakhsh,6842,a,Brighton,Newcastle United,Leandro Trossard,2020-09-20 13:00:00,14101,2020,"(0.9030000305175782, 0.3820000076293945)"
377995,RightFoot,OpenPlay,MissedShots,0.07199223339557648,72,3,0,Aaron Connolly,7991,a,Brighton,Newcastle United,,2020-09-20 13:00:00,14101,2020,"(0.8380000305175781, 0.6020000076293945)"
377997,RightFoot,OpenPlay,Goal,0.08951738476753235,82,3,0,Aaron Connolly,7991,a,Brighton,Newcastle United,Neal Maupay,2020-09-20 13:00:00,14101,2020,"(0.8530000305175781, 0.625)"
377983,LeftFoot,OpenPlay,Goal,0.5734372735023499,6,3,0,Neal Maupay,3621,a,Brighton,Newcastle United,Leandro Trossard,2020-09-20 13:00:00,14101,2020,"(0.9569999694824218, 0.4540000152587891)"
377992,LeftFoot,OpenPlay,SavedShot,0.031005606055259705,60,3,0,Neal Maupay,3621,a,Brighton,Newcastle United,Solly March,2020-09-20 13:00:00,14101,2020,"(0.7619999694824219, 0.41900001525878905)"
377984,RightFoot,OpenPlay,MissedShots,0.01721550151705742,21,3,0,Yves Bissouma,5609,a,Brighton,Newcastle United,Leandro Trossard,2020-09-20 13:00:00,14101,2020,"(0.7709999847412109, 0.285)"
378651,LeftFoot,SetPiece,OwnGoal,0.0,42,2,3,Lewis Dunk,6048,h,Brighton,Manchester United,,2020-09-26 11:30:00,14106,2020,"(0.024000000953674317, 0.52)"
