,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
376494,RightFoot,OpenPlay,MissedShots,0.005482853390276432,89,0,3,Bobby Reid,6827,h,Fulham,Arsenal,,2020-09-12 11:30:00,14086,2020,"(0.595999984741211, 0.29200000762939454)"
376477,LeftFoot,OpenPlay,SavedShot,0.020527511835098267,6,0,3,Denis Odoi,7077,h,Fulham,Arsenal,Ivan Cavaleiro,2020-09-12 11:30:00,14086,2020,"(0.785, 0.24899999618530275)"
376490,RightFoot,OpenPlay,SavedShot,0.03421450033783913,66,0,3,Aleksandar Mitrovic,773,h,Fulham,Arsenal,Franck Zambo,2020-09-12 11:30:00,14086,2020,"(0.8030000305175782, 0.655)"
376481,RightFoot,OpenPlay,BlockedShot,0.04542940855026245,9,0,3,Neeskens Kebano,6840,h,Fulham,Arsenal,Ivan Cavaleiro,2020-09-12 11:30:00,14086,2020,"(0.9330000305175781, 0.34200000762939453)"
376487,RightFoot,SetPiece,MissedShots,0.020672235637903214,55,0,3,Aboubakar Kamara,4866,h,Fulham,Arsenal,,2020-09-12 11:30:00,14086,2020,"(0.8130000305175781, 0.3189999961853027)"
377538,RightFoot,OpenPlay,ShotOnPost,0.05262818932533264,68,3,4,Neeskens Kebano,6840,a,Fulham,Leeds,Franck Zambo,2020-09-19 14:00:00,14097,2020,"(0.865, 0.6809999847412109)"
377524,Head,FromCorner,BlockedShot,0.08639734238386154,12,3,4,Michael Hector,5274,a,Fulham,Leeds,Ivan Cavaleiro,2020-09-19 14:00:00,14097,2020,"(0.9169999694824219, 0.4640000152587891)"
377530,RightFoot,OpenPlay,SavedShot,0.016441142186522484,45,3,4,Harrison Reed,910,a,Fulham,Leeds,Franck Zambo,2020-09-19 14:00:00,14097,2020,"(0.7280000305175781, 0.385)"
377525,RightFoot,FromCorner,MissedShots,0.019652897492051125,13,3,4,Harrison Reed,910,a,Fulham,Leeds,,2020-09-19 14:00:00,14097,2020,"(0.7780000305175782, 0.605)"
377528,RightFoot,Penalty,Goal,0.7611688375473022,34,3,4,Aleksandar Mitrovic,773,a,Fulham,Leeds,,2020-09-19 14:00:00,14097,2020,"(0.885, 0.5)"
377532,RightFoot,OpenPlay,SavedShot,0.023559074848890305,52,3,4,Aleksandar Mitrovic,773,a,Fulham,Leeds,Harrison Reed,2020-09-19 14:00:00,14097,2020,"(0.805, 0.710999984741211)"
377537,Head,OpenPlay,Goal,0.0782344862818718,66,3,4,Aleksandar Mitrovic,773,a,Fulham,Leeds,Kenny Tete,2020-09-19 14:00:00,14097,2020,"(0.9430000305175781, 0.555)"
377526,RightFoot,OpenPlay,BlockedShot,0.015754375606775284,21,3,4,Franck Zambo,6434,a,Fulham,Leeds,,2020-09-19 14:00:00,14097,2020,"(0.740999984741211, 0.6140000152587891)"
377539,Head,OpenPlay,MissedShots,0.04683583229780197,69,3,4,Aleksandar Mitrovic,773,a,Fulham,Leeds,Kenny Tete,2020-09-19 14:00:00,14097,2020,"(0.8780000305175781, 0.525)"
377542,RightFoot,OpenPlay,SavedShot,0.053350117057561874,74,3,4,Aleksandar Mitrovic,773,a,Fulham,Leeds,,2020-09-19 14:00:00,14097,2020,"(0.8330000305175781, 0.47400001525878904)"
377534,RightFoot,OpenPlay,Goal,0.28147396445274353,61,3,4,Bobby Reid,6827,a,Fulham,Leeds,Franck Zambo,2020-09-19 14:00:00,14097,2020,"(0.8919999694824219, 0.37900001525878907)"
377536,RightFoot,OpenPlay,BlockedShot,0.06404303014278412,66,3,4,Aleksandar Mitrovic,773,a,Fulham,Leeds,Ivan Cavaleiro,2020-09-19 14:00:00,14097,2020,"(0.8230000305175781, 0.40599998474121096)"
377545,LeftFoot,OpenPlay,MissedShots,0.019498158246278763,93,3,4,Denis Odoi,7077,a,Fulham,Leeds,Michael Hector,2020-09-19 14:00:00,14097,2020,"(0.7609999847412109, 0.6370000076293946)"
377522,LeftFoot,DirectFreekick,MissedShots,0.03599363565444946,2,3,4,Joe Bryan,6834,a,Fulham,Leeds,,2020-09-19 14:00:00,14097,2020,"(0.750999984741211, 0.24399999618530274)"
