,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
376609,RightFoot,OpenPlay,Goal,0.05532441660761833,29,3,4,Patrick Bamford,822,a,Leeds,Liverpool,,2020-09-12 16:30:00,14090,2020,"(0.8830000305175781, 0.36)"
376605,RightFoot,OpenPlay,Goal,0.05824599787592888,11,3,4,Jack Harrison,8720,a,Leeds,Liverpool,Kalvin Phillips,2020-09-12 16:30:00,14090,2020,"(0.8419999694824218, 0.6070000076293945)"
376619,RightFoot,OpenPlay,Goal,0.0732194110751152,65,3,4,Mateusz Klich,4381,a,Leeds,Liverpool,Hélder Costa,2020-09-12 16:30:00,14090,2020,"(0.8880000305175781, 0.4209999847412109)"
376629,Head,OpenPlay,BlockedShot,0.03137226775288582,90,3,4,Robin Koch,6273,a,Leeds,Liverpool,Kalvin Phillips,2020-09-12 16:30:00,14090,2020,"(0.9059999847412109, 0.549000015258789)"
376623,RightFoot,DirectFreekick,MissedShots,0.03589872643351555,75,3,4,Kalvin Phillips,8719,a,Leeds,Liverpool,,2020-09-12 16:30:00,14090,2020,"(0.6940000152587891, 0.5209999847412109)"
376614,RightFoot,OpenPlay,BlockedShot,0.01575242541730404,49,3,4,Patrick Bamford,822,a,Leeds,Liverpool,,2020-09-12 16:30:00,14090,2020,"(0.7390000152587891, 0.4329999923706055)"
377533,LeftFoot,OpenPlay,Goal,0.12778238952159882,56,4,3,Hélder Costa,3428,h,Leeds,Fulham,Patrick Bamford,2020-09-19 14:00:00,14097,2020,"(0.8590000152587891, 0.49)"
377541,RightFoot,OpenPlay,SavedShot,0.05800100043416023,73,4,3,Tyler Roberts,1014,h,Leeds,Fulham,,2020-09-19 14:00:00,14097,2020,"(0.8190000152587891, 0.5)"
377529,RightFoot,Penalty,Goal,0.7611688375473022,40,4,3,Mateusz Klich,4381,h,Leeds,Fulham,,2020-09-19 14:00:00,14097,2020,"(0.885, 0.5)"
377531,RightFoot,OpenPlay,Goal,0.09100159257650375,49,4,3,Patrick Bamford,822,h,Leeds,Fulham,Mateusz Klich,2020-09-19 14:00:00,14097,2020,"(0.879000015258789, 0.644000015258789)"
377523,LeftFoot,FromCorner,Goal,0.03960480913519859,4,4,3,Hélder Costa,3428,h,Leeds,Fulham,,2020-09-19 14:00:00,14097,2020,"(0.9459999847412109, 0.6940000152587891)"
377527,Head,FromCorner,SavedShot,0.07323656976222992,25,4,3,Robin Koch,6273,h,Leeds,Fulham,Kalvin Phillips,2020-09-19 14:00:00,14097,2020,"(0.91, 0.4640000152587891)"
377540,LeftFoot,OpenPlay,SavedShot,0.07829847186803818,73,4,3,Ezgjan Alioski,8722,h,Leeds,Fulham,Tyler Roberts,2020-09-19 14:00:00,14097,2020,"(0.915, 0.6880000305175781)"
377535,Head,SetPiece,MissedShots,0.12474595755338669,65,4,3,Robin Koch,6273,h,Leeds,Fulham,Kalvin Phillips,2020-09-19 14:00:00,14097,2020,"(0.9169999694824219, 0.475)"
377543,LeftFoot,OpenPlay,MissedShots,0.042197324335575104,74,4,3,Jack Harrison,8720,h,Leeds,Fulham,Illan Meslier,2020-09-19 14:00:00,14097,2020,"(0.89, 0.6930000305175781)"
377544,LeftFoot,DirectFreekick,BlockedShot,0.06104087457060814,86,4,3,Jack Harrison,8720,h,Leeds,Fulham,,2020-09-19 14:00:00,14097,2020,"(0.7530000305175781, 0.40900001525878904)"
379267,RightFoot,OpenPlay,MissedShots,0.014123971574008465,60,1,0,Luke Ayling,8716,a,Leeds,Sheffield United,Kalvin Phillips,2020-09-27 11:00:00,14110,2020,"(0.7330000305175781, 0.31)"
379251,Head,SetPiece,MissedShots,0.11600065976381302,25,1,0,Patrick Bamford,822,a,Leeds,Sheffield United,Kalvin Phillips,2020-09-27 11:00:00,14110,2020,"(0.9130000305175782, 0.5029999923706054)"
379252,RightFoot,OpenPlay,BlockedShot,0.01921135000884533,26,1,0,Mateusz Klich,4381,a,Leeds,Sheffield United,Jack Harrison,2020-09-27 11:00:00,14110,2020,"(0.7859999847412109, 0.6659999847412109)"
379276,RightFoot,OpenPlay,SavedShot,0.011125074699521065,85,1,0,Stuart Dallas,8718,a,Leeds,Sheffield United,Jack Harrison,2020-09-27 11:00:00,14110,2020,"(0.7530000305175781, 0.7780000305175782)"
379263,LeftFoot,FromCorner,SavedShot,0.03821738064289093,46,1,0,Hélder Costa,3428,a,Leeds,Sheffield United,,2020-09-27 11:00:00,14110,2020,"(0.8440000152587891, 0.37)"
379248,RightFoot,OpenPlay,SavedShot,0.030819108709692955,3,1,0,Luke Ayling,8716,a,Leeds,Sheffield United,Kalvin Phillips,2020-09-27 11:00:00,14110,2020,"(0.7819999694824219, 0.37900001525878907)"
379256,Head,OpenPlay,MissedShots,0.056754760444164276,30,1,0,Patrick Bamford,822,a,Leeds,Sheffield United,Jack Harrison,2020-09-27 11:00:00,14110,2020,"(0.8809999847412109, 0.4979999923706055)"
379260,Head,FromCorner,MissedShots,0.11573276668787003,37,1,0,Liam Cooper,8816,a,Leeds,Sheffield United,Kalvin Phillips,2020-09-27 11:00:00,14110,2020,"(0.9319999694824219, 0.47400001525878904)"
379268,Head,OpenPlay,MissedShots,0.04827685281634331,65,1,0,Rodrigo,2381,a,Leeds,Sheffield United,Stuart Dallas,2020-09-27 11:00:00,14110,2020,"(0.8880000305175781, 0.555)"
379270,LeftFoot,OpenPlay,BlockedShot,0.028974490240216255,68,1,0,Rodrigo,2381,a,Leeds,Sheffield United,Mateusz Klich,2020-09-27 11:00:00,14110,2020,"(0.769000015258789, 0.4640000152587891)"
379259,RightFoot,OpenPlay,SavedShot,0.043779075145721436,37,1,0,Stuart Dallas,8718,a,Leeds,Sheffield United,Jack Harrison,2020-09-27 11:00:00,14110,2020,"(0.7980000305175782, 0.445)"
379273,LeftFoot,OpenPlay,SavedShot,0.05031977966427803,77,1,0,Ian Poveda-Ocampo,8723,a,Leeds,Sheffield United,Patrick Bamford,2020-09-27 11:00:00,14110,2020,"(0.7609999847412109, 0.51)"
379272,LeftFoot,OpenPlay,BlockedShot,0.04748119041323662,74,1,0,Ian Poveda-Ocampo,8723,a,Leeds,Sheffield United,Mateusz Klich,2020-09-27 11:00:00,14110,2020,"(0.850999984741211, 0.36400001525878906)"
379266,RightFoot,OpenPlay,BlockedShot,0.2850573658943176,60,1,0,Stuart Dallas,8718,a,Leeds,Sheffield United,Luke Ayling,2020-09-27 11:00:00,14110,2020,"(0.8830000305175781, 0.3270000076293945)"
379271,LeftFoot,OpenPlay,SavedShot,0.04122858867049217,72,1,0,Rodrigo,2381,a,Leeds,Sheffield United,Mateusz Klich,2020-09-27 11:00:00,14110,2020,"(0.8119999694824219, 0.3729999923706055)"
379264,RightFoot,OpenPlay,SavedShot,0.07118243724107742,55,1,0,Patrick Bamford,822,a,Leeds,Sheffield United,Kalvin Phillips,2020-09-27 11:00:00,14110,2020,"(0.9230000305175782, 0.33799999237060546)"
