,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
376964,Head,FromCorner,MissedShots,0.11869045346975327,77,0,1,Harry Kane,647,h,Tottenham,Everton,Son Heung-Min,2020-09-13 15:30:00,14093,2020,"(0.9359999847412109, 0.4640000152587891)"
376966,Head,OpenPlay,SavedShot,0.039752550423145294,80,0,1,Harry Kane,647,h,Tottenham,Everton,Ben Davies,2020-09-13 15:30:00,14093,2020,"(0.92, 0.4490000152587891)"
376953,RightFoot,OpenPlay,SavedShot,0.31473442912101746,41,0,1,Matt Doherty,6852,h,Tottenham,Everton,Harry Kane,2020-09-13 15:30:00,14093,2020,"(0.9519999694824218, 0.40200000762939453)"
376959,Head,OpenPlay,SavedShot,0.03435587137937546,68,0,1,Lucas Moura,3293,h,Tottenham,Everton,Ben Davies,2020-09-13 15:30:00,14093,2020,"(0.8680000305175781, 0.49700000762939456)"
376952,Head,OpenPlay,BlockedShot,0.057308800518512726,38,0,1,Lucas Moura,3293,h,Tottenham,Everton,Son Heung-Min,2020-09-13 15:30:00,14093,2020,"(0.884000015258789, 0.4879999923706055)"
376965,LeftFoot,FromCorner,BlockedShot,0.0732225775718689,80,0,1,Ben Davies,660,h,Tottenham,Everton,Toby Alderweireld,2020-09-13 15:30:00,14093,2020,"(0.9669999694824218, 0.385)"
376947,RightFoot,OpenPlay,BlockedShot,0.033409710973501205,25,0,1,Son Heung-Min,453,h,Tottenham,Everton,Dele Alli,2020-09-13 15:30:00,14093,2020,"(0.9, 0.7169999694824218)"
376944,RightFoot,OpenPlay,SavedShot,0.019137900322675705,2,0,1,Son Heung-Min,453,h,Tottenham,Everton,Harry Kane,2020-09-13 15:30:00,14093,2020,"(0.7719999694824219, 0.7030000305175781)"
376950,RightFoot,OpenPlay,SavedShot,0.1323317438364029,32,0,1,Dele Alli,645,h,Tottenham,Everton,Son Heung-Min,2020-09-13 15:30:00,14093,2020,"(0.8730000305175781, 0.4129999923706055)"
377896,LeftFoot,OpenPlay,SavedShot,0.09557131677865982,81,5,2,Erik Lamela,644,a,Tottenham,Southampton,Giovani Lo Celso,2020-09-20 11:00:00,14100,2020,"(0.9619999694824218, 0.6619999694824219)"
377901,LeftFoot,OpenPlay,BlockedShot,0.0934569388628006,93,5,2,Giovani Lo Celso,5681,a,Tottenham,Southampton,Steven Bergwijn,2020-09-20 11:00:00,14100,2020,"(0.8290000152587891, 0.45799999237060546)"
377895,LeftFoot,OpenPlay,BlockedShot,0.1216907948255539,74,5,2,Erik Lamela,644,a,Tottenham,Southampton,Son Heung-Min,2020-09-20 11:00:00,14100,2020,"(0.8580000305175781, 0.4929999923706055)"
377887,LeftFoot,OpenPlay,Goal,0.4113766849040985,46,5,2,Son Heung-Min,453,a,Tottenham,Southampton,Harry Kane,2020-09-20 11:00:00,14100,2020,"(0.8569999694824219, 0.5129999923706055)"
377885,RightFoot,OpenPlay,Goal,0.09398647397756577,46,5,2,Son Heung-Min,453,a,Tottenham,Southampton,Harry Kane,2020-09-20 11:00:00,14100,2020,"(0.9290000152587891, 0.32)"
377897,LeftFoot,OpenPlay,Goal,0.6780710220336914,81,5,2,Harry Kane,647,a,Tottenham,Southampton,,2020-09-20 11:00:00,14100,2020,"(0.950999984741211, 0.485)"
377890,RightFoot,OpenPlay,MissedShots,0.0074554490856826305,53,5,2,Harry Kane,647,a,Tottenham,Southampton,Son Heung-Min,2020-09-20 11:00:00,14100,2020,"(0.4859999847412109, 0.56)"
377892,RightFoot,OpenPlay,Goal,0.30500540137290955,63,5,2,Son Heung-Min,453,a,Tottenham,Southampton,Harry Kane,2020-09-20 11:00:00,14100,2020,"(0.8909999847412109, 0.40299999237060546)"
377894,LeftFoot,OpenPlay,Goal,0.5382291078567505,72,5,2,Son Heung-Min,453,a,Tottenham,Southampton,Harry Kane,2020-09-20 11:00:00,14100,2020,"(0.9519999694824218, 0.5570000076293945)"
379404,RightFoot,SetPiece,SavedShot,0.5324375629425049,2,1,1,Harry Kane,647,h,Tottenham,Newcastle United,,2020-09-27 13:00:00,14111,2020,"(0.9430000305175781, 0.43099998474121093)"
379410,LeftFoot,OpenPlay,ShotOnPost,0.034574076533317566,29,1,1,Son Heung-Min,453,h,Tottenham,Newcastle United,Harry Kane,2020-09-27 13:00:00,14111,2020,"(0.7719999694824219, 0.3970000076293945)"
