,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
376834,RightFoot,OpenPlay,MissedShots,0.1402267962694168,8,0,3,Grady Diangana,6651,h,West Bromwich Albion,Leicester,Darnell Furlong,2020-09-13 13:00:00,14092,2020,"(0.9690000152587891, 0.4159999847412109)"
376844,LeftFoot,OpenPlay,SavedShot,0.0364522747695446,41,0,3,Matheus Pereira,7153,h,West Bromwich Albion,Leicester,Jake Livermore,2020-09-13 13:00:00,14092,2020,"(0.9419999694824219, 0.7380000305175781)"
376852,RightFoot,OpenPlay,BlockedShot,0.06261113286018372,86,0,3,Kyle Edwards,8758,h,West Bromwich Albion,Leicester,,2020-09-13 13:00:00,14092,2020,"(0.8880000305175781, 0.41)"
376836,LeftFoot,OpenPlay,MissedShots,0.01953968219459057,24,0,3,Matheus Pereira,7153,h,West Bromwich Albion,Leicester,,2020-09-13 13:00:00,14092,2020,"(0.825999984741211, 0.24799999237060547)"
376835,LeftFoot,DirectFreekick,BlockedShot,0.048000797629356384,16,0,3,Matheus Pereira,7153,h,West Bromwich Albion,Leicester,,2020-09-13 13:00:00,14092,2020,"(0.7809999847412109, 0.2610000038146973)"
376843,RightFoot,SetPiece,BlockedShot,0.02839081548154354,41,0,3,Darnell Furlong,4391,h,West Bromwich Albion,Leicester,Matheus Pereira,2020-09-13 13:00:00,14092,2020,"(0.8109999847412109, 0.6179999923706054)"
376853,LeftFoot,OpenPlay,MissedShots,0.017775053158402443,91,0,3,Hal Robson-Kanu,1738,h,West Bromwich Albion,Leicester,Grady Diangana,2020-09-13 13:00:00,14092,2020,"(0.7330000305175781, 0.4279999923706055)"
377345,LeftFoot,DirectFreekick,Goal,0.053274840116500854,46,2,5,Matheus Pereira,7153,a,West Bromwich Albion,Everton,,2020-09-19 11:30:00,14096,2020,"(0.74, 0.41200000762939454)"
377333,LeftFoot,OpenPlay,Goal,0.044973913580179214,9,2,5,Grady Diangana,6651,a,West Bromwich Albion,Everton,Matheus Pereira,2020-09-19 11:30:00,14096,2020,"(0.7480000305175781, 0.5970000076293945)"
377338,RightFoot,OpenPlay,SavedShot,0.018616270273923874,17,2,5,Callum Robinson,4476,a,West Bromwich Albion,Everton,Kieran Gibbs,2020-09-19 11:30:00,14096,2020,"(0.7130000305175781, 0.534000015258789)"
377332,LeftFoot,OpenPlay,MissedShots,0.04538121446967125,6,2,5,Jake Livermore,1689,a,West Bromwich Albion,Everton,,2020-09-19 11:30:00,14096,2020,"(0.8040000152587891, 0.49700000762939456)"
377339,RightFoot,OpenPlay,BlockedShot,0.10982996970415115,21,2,5,Jake Livermore,1689,a,West Bromwich Albion,Everton,Callum Robinson,2020-09-19 11:30:00,14096,2020,"(0.89, 0.5570000076293945)"
