,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
14094,Wolverhampton Wanderers,Sheffield United,1.61307,0.949316,2,0,a,2020-09-14 17:00:00
14105,Wolverhampton Wanderers,Manchester City,0.727677,2.07651,1,3,h,2020-09-21 19:15:00
14113,Wolverhampton Wanderers,West Ham,0.385152,3.05703,0,4,a,2020-09-27 18:00:00
14474,Wolverhampton Wanderers,Fulham,0.89359,0.969393,1,0,h,2020-10-04 13:00:00
14478,Wolverhampton Wanderers,Leeds,0.618191,1.08332,1,0,a,2020-10-19 19:00:00
14494,Wolverhampton Wanderers,Newcastle United,0.758626,0.253685,1,1,h,2020-10-25 16:30:00
14504,Wolverhampton Wanderers,Crystal Palace,1.34895,0.802767,2,0,h,2020-10-30 20:00:00
14510,Wolverhampton Wanderers,Leicester,0.57936,2.0545,0,1,a,2020-11-08 14:00:00
14524,Wolverhampton Wanderers,Southampton,1.57479,1.0785,1,1,h,2020-11-23 20:00:00
14525,Wolverhampton Wanderers,Arsenal,2.0069,1.1185,2,1,a,2020-11-29 19:15:00
14539,Wolverhampton Wanderers,Liverpool,0.357753,1.59454,0,4,a,2020-12-06 19:15:00
14552,Wolverhampton Wanderers,Aston Villa,1.1356,1.26872,0,1,h,2020-12-12 12:30:00
14562,Wolverhampton Wanderers,Chelsea,0.683783,1.56772,2,1,h,2020-12-15 18:00:00
14566,Wolverhampton Wanderers,Burnley,1.45722,1.20465,1,2,a,2020-12-21 17:30:00
14584,Wolverhampton Wanderers,Tottenham,0.742598,0.408109,1,1,h,2020-12-27 19:15:00
14592,Wolverhampton Wanderers,Manchester United,0.411046,1.48207,0,1,a,2020-12-29 20:00:00
14601,Wolverhampton Wanderers,Brighton,1.81856,2.4228,3,3,a,2021-01-02 17:30:00
14612,Wolverhampton Wanderers,Everton,0.852495,0.323445,1,2,h,2021-01-12 20:15:00
14624,Wolverhampton Wanderers,West Bromwich Albion,1.94358,2.46332,2,3,h,2021-01-16 12:30:00
14630,Wolverhampton Wanderers,Chelsea,0.63192,0.663324,0,0,a,2021-01-27 18:00:00
14638,Wolverhampton Wanderers,Crystal Palace,0.450907,1.36877,0,1,a,2021-01-30 15:00:00
14650,Wolverhampton Wanderers,Arsenal,1.56162,0.716265,2,1,h,2021-02-02 18:00:00
14664,Wolverhampton Wanderers,Leicester,1.35506,0.632232,0,0,h,2021-02-07 14:00:00
14672,Wolverhampton Wanderers,Southampton,1.09361,0.8536,2,1,a,2021-02-14 12:00:00
14684,Wolverhampton Wanderers,Leeds,0.592049,2.4793,1,0,h,2021-02-19 20:00:00
14688,Wolverhampton Wanderers,Newcastle United,1.27827,1.9519,1,1,a,2021-02-27 20:00:00
14720,Wolverhampton Wanderers,Manchester City,0.318824,3.26196,1,4,a,2021-03-02 20:00:00
14695,Wolverhampton Wanderers,Aston Villa,2.15087,0.956392,0,0,a,2021-03-06 17:30:00
14714,Wolverhampton Wanderers,Liverpool,1.29175,1.0552,0,1,h,2021-03-15 20:00:00
14734,Wolverhampton Wanderers,West Ham,1.95649,1.59694,2,3,h,2021-04-05 19:15:00
14738,Wolverhampton Wanderers,Fulham,0.428134,0.733154,1,0,a,2021-04-09 19:00:00
14754,Wolverhampton Wanderers,Sheffield United,1.22604,0.295925,1,0,h,2021-04-17 19:15:00
14764,Wolverhampton Wanderers,Burnley,0.351673,2.24049,0,4,h,2021-04-25 11:00:00
14774,Wolverhampton Wanderers,West Bromwich Albion,0.844138,1.07133,1,1,a,2021-05-03 17:00:00
14784,Wolverhampton Wanderers,Brighton,1.1199,0.27571,2,1,h,2021-05-09 11:00:00
14793,Wolverhampton Wanderers,Tottenham,1.09206,3.13947,0,2,a,2021-05-16 13:05:00
14799,Wolverhampton Wanderers,Everton,0.265526,0.670997,0,1,a,2021-05-19 17:00:00
14814,Wolverhampton Wanderers,Manchester United,0.701256,2.05229,1,2,h,2021-05-23 15:00:00
