,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
425564,Head,OpenPlay,MissedShots,0.05346401408314705,10,2,0,Frank Onyeka,9681,h,Brentford,Arsenal,,2021-08-13 19:00:00,16376,2021,"(0.9130000305175782, 0.539000015258789)"
425579,RightFoot,OpenPlay,SavedShot,0.07258376479148865,65,2,0,Sergi Canos,1078,h,Brentford,Arsenal,Bryan Mbeumo,2021-08-13 19:00:00,16376,2021,"(0.8819999694824219, 0.3320000076293945)"
425568,RightFoot,OpenPlay,MissedShots,0.06570620089769363,27,2,0,Sergi Canos,1078,h,Brentford,Arsenal,Frank Onyeka,2021-08-13 19:00:00,16376,2021,"(0.8119999694824219, 0.4779999923706055)"
425567,RightFoot,OpenPlay,Goal,0.05214472487568855,21,2,0,Sergi Canos,1078,h,Brentford,Arsenal,Ethan Pinnock,2021-08-13 19:00:00,16376,2021,"(0.874000015258789, 0.6980000305175781)"
425582,Head,OpenPlay,Goal,0.8865982294082642,72,2,0,Christian Nørgaard,7083,h,Brentford,Arsenal,,2021-08-13 19:00:00,16376,2021,"(0.9690000152587891, 0.4809999847412109)"
425565,RightFoot,OpenPlay,ShotOnPost,0.11829660832881927,11,2,0,Bryan Mbeumo,6552,h,Brentford,Arsenal,Ivan Toney,2021-08-13 19:00:00,16376,2021,"(0.9080000305175782, 0.315)"
425569,RightFoot,OpenPlay,MissedShots,0.08069062232971191,29,2,0,Bryan Mbeumo,6552,h,Brentford,Arsenal,Kristoffer Ajer,2021-08-13 19:00:00,16376,2021,"(0.8919999694824219, 0.35700000762939454)"
425585,Head,FromCorner,MissedShots,0.5586957931518555,79,2,0,Christian Nørgaard,7083,h,Brentford,Arsenal,Sergi Canos,2021-08-13 19:00:00,16376,2021,"(0.9730000305175781, 0.5279999923706055)"
427036,LeftFoot,DirectFreekick,ShotOnPost,0.062363773584365845,39,0,0,Bryan Mbeumo,6552,a,Brentford,Crystal Palace,,2021-08-21 14:00:00,16389,2021,"(0.9009999847412109, 0.18700000762939453)"
427037,LeftFoot,OpenPlay,SavedShot,0.09844859689474106,44,0,0,Ivan Toney,998,a,Brentford,Crystal Palace,Rico Henry,2021-08-21 14:00:00,16389,2021,"(0.889000015258789, 0.46900001525878904)"
427041,OtherBodyPart,FromCorner,SavedShot,0.11585711687803268,47,0,0,Ivan Toney,998,a,Brentford,Crystal Palace,Bryan Mbeumo,2021-08-21 14:00:00,16389,2021,"(0.9369999694824219, 0.5179999923706055)"
427044,Head,FromCorner,MissedShots,0.07443124800920486,66,0,0,Ivan Toney,998,a,Brentford,Crystal Palace,Bryan Mbeumo,2021-08-21 14:00:00,16389,2021,"(0.9490000152587891, 0.53)"
427031,RightFoot,OpenPlay,BlockedShot,0.1017376258969307,20,0,0,Kristoffer Ajer,9677,a,Brentford,Crystal Palace,Sergi Canos,2021-08-21 14:00:00,16389,2021,"(0.9180000305175782, 0.37)"
427039,Head,FromCorner,MissedShots,0.00952623039484024,46,0,0,Ethan Pinnock,9678,a,Brentford,Crystal Palace,Sergi Canos,2021-08-21 14:00:00,16389,2021,"(0.850999984741211, 0.610999984741211)"
427043,LeftFoot,SetPiece,MissedShots,0.02436147816479206,59,0,0,Bryan Mbeumo,6552,a,Brentford,Crystal Palace,Vitaly Janelt,2021-08-21 14:00:00,16389,2021,"(0.7869999694824219, 0.3729999923706055)"
427032,RightFoot,OpenPlay,BlockedShot,0.01859726570546627,20,0,0,Vitaly Janelt,9680,a,Brentford,Crystal Palace,,2021-08-21 14:00:00,16389,2021,"(0.7769999694824219, 0.38)"
427038,LeftFoot,FromCorner,BlockedShot,0.0335344560444355,46,0,0,Vitaly Janelt,9680,a,Brentford,Crystal Palace,Frank Onyeka,2021-08-21 14:00:00,16389,2021,"(0.7709999847412109, 0.6140000152587891)"
427030,LeftFoot,OpenPlay,MissedShots,0.019665878266096115,8,0,0,Ivan Toney,998,a,Brentford,Crystal Palace,,2021-08-21 14:00:00,16389,2021,"(0.75, 0.47)"
427035,LeftFoot,OpenPlay,BlockedShot,0.04577188938856125,35,0,0,Frank Onyeka,9681,a,Brentford,Crystal Palace,Bryan Mbeumo,2021-08-21 14:00:00,16389,2021,"(0.8280000305175781, 0.6509999847412109)"
427040,RightFoot,OpenPlay,SavedShot,0.020613370463252068,46,0,0,Frank Onyeka,9681,a,Brentford,Crystal Palace,Vitaly Janelt,2021-08-21 14:00:00,16389,2021,"(0.74, 0.46299999237060546)"
427047,LeftFoot,SetPiece,MissedShots,0.01760377734899521,76,0,0,Ivan Toney,998,a,Brentford,Crystal Palace,Pontus Jansson,2021-08-21 14:00:00,16389,2021,"(0.94, 0.7190000152587891)"
427033,LeftFoot,OpenPlay,MissedShots,0.07181873917579651,20,0,0,Bryan Mbeumo,6552,a,Brentford,Crystal Palace,Rico Henry,2021-08-21 14:00:00,16389,2021,"(0.88, 0.6619999694824219)"
