,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
16378,Burnley,Brighton,1.79548,1.6853,1,2,h,2021-08-14 14:00:00
16386,Burnley,Liverpool,0.690464,2.63945,0,2,a,2021-08-21 11:30:00
16403,Burnley,Leeds,1.71102,1.52078,1,1,h,2021-08-29 13:00:00
16415,Burnley,Everton,1.82061,1.80386,1,3,a,2021-09-13 19:00:00
16419,Burnley,Arsenal,0.775574,1.09928,0,1,h,2021-09-18 14:00:00
16430,Burnley,Leicester,0.428866,2.16233,2,2,a,2021-09-25 14:00:00
16437,Burnley,Norwich,0.584725,0.673617,0,0,h,2021-10-02 14:00:00
16451,Burnley,Manchester City,1.07719,2.15712,0,2,a,2021-10-16 14:00:00
16464,Burnley,Southampton,0.673195,1.42567,2,2,a,2021-10-23 14:00:00
16467,Burnley,Brentford,2.72901,0.834312,3,1,h,2021-10-30 14:00:00
16479,Burnley,Chelsea,0.674072,3.00585,1,1,a,2021-11-06 15:00:00
