,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
426425,RightFoot,DirectFreekick,BlockedShot,0.06091201677918434,3,0,1,Ilkay Gündogan,314,a,Manchester City,Tottenham,,2021-08-15 15:30:00,16385,2021,"(0.8059999847412109, 0.73)"
426427,RightFoot,OpenPlay,MissedShots,0.13088925182819366,5,0,1,João Cancelo,2379,a,Manchester City,Tottenham,,2021-08-15 15:30:00,16385,2021,"(0.8880000305175781, 0.42700000762939455)"
426445,RightFoot,OpenPlay,MissedShots,0.016059719026088715,56,0,1,João Cancelo,2379,a,Manchester City,Tottenham,Fernandinho,2021-08-15 15:30:00,16385,2021,"(0.7380000305175781, 0.34200000762939453)"
426453,Head,FromCorner,MissedShots,0.008122500032186508,80,0,1,João Cancelo,2379,a,Manchester City,Tottenham,Kevin De Bruyne,2021-08-15 15:30:00,16385,2021,"(0.8190000152587891, 0.45599998474121095)"
426451,LeftFoot,OpenPlay,SavedShot,0.10275715589523315,74,0,1,Jack Grealish,675,a,Manchester City,Tottenham,Gabriel Jesus,2021-08-15 15:30:00,16385,2021,"(0.91, 0.67)"
426437,RightFoot,OpenPlay,BlockedShot,0.07863467931747437,43,0,1,Jack Grealish,675,a,Manchester City,Tottenham,João Cancelo,2021-08-15 15:30:00,16385,2021,"(0.8619999694824219, 0.375)"
426432,RightFoot,OpenPlay,BlockedShot,0.040807340294122696,33,0,1,Jack Grealish,675,a,Manchester City,Tottenham,,2021-08-15 15:30:00,16385,2021,"(0.8540000152587891, 0.6880000305175781)"
426441,RightFoot,OpenPlay,SavedShot,0.03247460350394249,48,0,1,Raheem Sterling,618,a,Manchester City,Tottenham,Benjamin Mendy,2021-08-15 15:30:00,16385,2021,"(0.85, 0.705999984741211)"
426442,RightFoot,OpenPlay,MissedShots,0.014113952405750751,51,0,1,Fernandinho,614,a,Manchester City,Tottenham,Riyad Mahrez,2021-08-15 15:30:00,16385,2021,"(0.7330000305175781, 0.34700000762939454)"
426438,RightFoot,OpenPlay,MissedShots,0.015307190828025341,43,0,1,Fernandinho,614,a,Manchester City,Tottenham,,2021-08-15 15:30:00,16385,2021,"(0.7519999694824219, 0.40599998474121096)"
426435,LeftFoot,OpenPlay,BlockedShot,0.02530243620276451,40,0,1,Riyad Mahrez,750,a,Manchester City,Tottenham,,2021-08-15 15:30:00,16385,2021,"(0.779000015258789, 0.395)"
426446,Head,FromCorner,MissedShots,0.046291887760162354,59,0,1,Nathan Aké,579,a,Manchester City,Tottenham,Fernandinho,2021-08-15 15:30:00,16385,2021,"(0.909000015258789, 0.44)"
426454,RightFoot,OpenPlay,SavedShot,0.023583421483635902,83,0,1,Kevin De Bruyne,447,a,Manchester City,Tottenham,Jack Grealish,2021-08-15 15:30:00,16385,2021,"(0.7859999847412109, 0.6669999694824219)"
426449,LeftFoot,SetPiece,MissedShots,0.6131097674369812,69,0,1,Ferrán Torres,6441,a,Manchester City,Tottenham,João Cancelo,2021-08-15 15:30:00,16385,2021,"(0.9619999694824218, 0.485)"
426426,Head,FromCorner,MissedShots,0.25605326890945435,4,0,1,Fernandinho,614,a,Manchester City,Tottenham,Benjamin Mendy,2021-08-15 15:30:00,16385,2021,"(0.9230000305175782, 0.4909999847412109)"
426433,LeftFoot,OpenPlay,MissedShots,0.47422367334365845,34,0,1,Riyad Mahrez,750,a,Manchester City,Tottenham,,2021-08-15 15:30:00,16385,2021,"(0.9059999847412109, 0.51)"
426439,LeftFoot,OpenPlay,BlockedShot,0.11210951954126358,47,0,1,Ilkay Gündogan,314,a,Manchester City,Tottenham,Jack Grealish,2021-08-15 15:30:00,16385,2021,"(0.8669999694824219, 0.5179999923706055)"
426455,RightFoot,OpenPlay,SavedShot,0.05630343779921532,85,0,1,Ferrán Torres,6441,a,Manchester City,Tottenham,João Cancelo,2021-08-15 15:30:00,16385,2021,"(0.9690000152587891, 0.30100000381469727)"
427007,LeftFoot,OpenPlay,Goal,0.49567919969558716,83,5,0,Riyad Mahrez,750,h,Manchester City,Norwich,Rúben Dias,2021-08-21 14:00:00,16387,2021,"(0.8869999694824219, 0.46799999237060547)"
427008,LeftFoot,DirectFreekick,BlockedShot,0.0757063701748848,86,5,0,Riyad Mahrez,750,h,Manchester City,Norwich,,2021-08-21 14:00:00,16387,2021,"(0.7730000305175782, 0.40299999237060546)"
426995,LeftFoot,OpenPlay,Goal,0.5988782048225403,21,5,0,Jack Grealish,675,h,Manchester City,Norwich,Gabriel Jesus,2021-08-21 14:00:00,16387,2021,"(0.955, 0.534000015258789)"
426996,RightFoot,OpenPlay,MissedShots,0.028549563139677048,26,5,0,João Cancelo,2379,h,Manchester City,Norwich,Rodri,2021-08-21 14:00:00,16387,2021,"(0.7619999694824219, 0.6940000152587891)"
427000,RightFoot,OpenPlay,BlockedShot,0.0185893215239048,54,5,0,Kyle Walker,638,h,Manchester City,Norwich,Gabriel Jesus,2021-08-21 14:00:00,16387,2021,"(0.750999984741211, 0.37)"
426992,RightFoot,OpenPlay,MissedShots,0.01795593835413456,1,5,0,Rodri,2496,h,Manchester City,Norwich,,2021-08-21 14:00:00,16387,2021,"(0.755, 0.38599998474121094)"
426999,RightFoot,OpenPlay,MissedShots,0.020536363124847412,51,5,0,Rodri,2496,h,Manchester City,Norwich,,2021-08-21 14:00:00,16387,2021,"(0.764000015258789, 0.36700000762939455)"
427005,RightFoot,OpenPlay,Goal,0.70183265209198,70,5,0,Raheem Sterling,618,h,Manchester City,Norwich,Gabriel Jesus,2021-08-21 14:00:00,16387,2021,"(0.9519999694824218, 0.5120000076293946)"
427004,RightFoot,FromCorner,Goal,0.1048646867275238,63,5,0,Aymeric Laporte,2498,h,Manchester City,Norwich,,2021-08-21 14:00:00,16387,2021,"(0.9130000305175782, 0.549000015258789)"
427003,Head,FromCorner,BlockedShot,0.058187466114759445,63,5,0,Aymeric Laporte,2498,h,Manchester City,Norwich,Ilkay Gündogan,2021-08-21 14:00:00,16387,2021,"(0.9459999847412109, 0.525)"
427002,LeftFoot,OpenPlay,BlockedShot,0.057949554175138474,58,5,0,Ferrán Torres,6441,h,Manchester City,Norwich,Rúben Dias,2021-08-21 14:00:00,16387,2021,"(0.805, 0.545)"
426994,RightFoot,OpenPlay,BlockedShot,0.03945387899875641,10,5,0,Ferrán Torres,6441,h,Manchester City,Norwich,Jack Grealish,2021-08-21 14:00:00,16387,2021,"(0.775, 0.5359999847412109)"
427009,RightFoot,FromCorner,MissedShots,0.03367152065038681,88,5,0,Raheem Sterling,618,h,Manchester City,Norwich,Riyad Mahrez,2021-08-21 14:00:00,16387,2021,"(0.81, 0.645)"
426998,RightFoot,OpenPlay,BlockedShot,0.07159344106912613,45,5,0,Ferrán Torres,6441,h,Manchester City,Norwich,Rodri,2021-08-21 14:00:00,16387,2021,"(0.8519999694824218, 0.6519999694824219)"
426997,LeftFoot,OpenPlay,BlockedShot,0.038580723106861115,30,5,0,Bernardo Silva,3635,h,Manchester City,Norwich,Ilkay Gündogan,2021-08-21 14:00:00,16387,2021,"(0.784000015258789, 0.3940000152587891)"
427001,LeftFoot,OpenPlay,MissedShots,0.07871851325035095,54,5,0,Gabriel Jesus,5543,h,Manchester City,Norwich,,2021-08-21 14:00:00,16387,2021,"(0.905, 0.37099998474121093)"
428490,LeftFoot,OpenPlay,BlockedShot,0.081395223736763,87,5,0,Riyad Mahrez,750,h,Manchester City,Arsenal,Jack Grealish,2021-08-28 11:30:00,16396,2021,"(0.8119999694824219, 0.49700000762939456)"
428491,LeftFoot,OpenPlay,SavedShot,0.11065830290317535,90,5,0,Riyad Mahrez,750,h,Manchester City,Arsenal,Raheem Sterling,2021-08-28 11:30:00,16396,2021,"(0.8859999847412109, 0.3160000038146973)"
428468,Head,OpenPlay,Goal,0.1449810117483139,6,5,0,Ilkay Gündogan,314,h,Manchester City,Arsenal,Gabriel Jesus,2021-08-28 11:30:00,16396,2021,"(0.9569999694824218, 0.56)"
428476,RightFoot,OpenPlay,BlockedShot,0.034080542623996735,50,5,0,Ilkay Gündogan,314,h,Manchester City,Arsenal,Rúben Dias,2021-08-28 11:30:00,16396,2021,"(0.7440000152587891, 0.485)"
428477,RightFoot,OpenPlay,BlockedShot,0.09800978004932404,51,5,0,Jack Grealish,675,h,Manchester City,Arsenal,Ilkay Gündogan,2021-08-28 11:30:00,16396,2021,"(0.8619999694824219, 0.6329999923706054)"
428473,LeftFoot,OpenPlay,Goal,0.6798266768455505,42,5,0,Gabriel Jesus,5543,h,Manchester City,Arsenal,Jack Grealish,2021-08-28 11:30:00,16396,2021,"(0.9580000305175781, 0.54)"
428487,RightFoot,OpenPlay,BlockedShot,0.03986535966396332,85,5,0,Ilkay Gündogan,314,h,Manchester City,Arsenal,Rodri,2021-08-28 11:30:00,16396,2021,"(0.7780000305175782, 0.48)"
428492,LeftFoot,OpenPlay,SavedShot,0.597283124923706,91,5,0,João Cancelo,2379,h,Manchester City,Arsenal,Ilkay Gündogan,2021-08-28 11:30:00,16396,2021,"(0.93, 0.539000015258789)"
428488,LeftFoot,OpenPlay,BlockedShot,0.036644384264945984,86,5,0,Aymeric Laporte,2498,h,Manchester City,Arsenal,,2021-08-28 11:30:00,16396,2021,"(0.8330000305175781, 0.6780000305175782)"
428475,RightFoot,OpenPlay,BlockedShot,0.02857373282313347,49,5,0,Rodri,2496,h,Manchester City,Arsenal,,2021-08-28 11:30:00,16396,2021,"(0.8080000305175781, 0.515)"
428478,RightFoot,OpenPlay,Goal,0.021644435822963715,52,5,0,Rodri,2496,h,Manchester City,Arsenal,Ferrán Torres,2021-08-28 11:30:00,16396,2021,"(0.7559999847412109, 0.42400001525878905)"
428485,RightFoot,OpenPlay,SavedShot,0.4347356855869293,76,5,0,Raheem Sterling,618,h,Manchester City,Arsenal,Riyad Mahrez,2021-08-28 11:30:00,16396,2021,"(0.8880000305175781, 0.4179999923706055)"
428489,LeftFoot,FromCorner,BlockedShot,0.07026714831590652,86,5,0,Aymeric Laporte,2498,h,Manchester City,Arsenal,Jack Grealish,2021-08-28 11:30:00,16396,2021,"(0.909000015258789, 0.595999984741211)"
428482,Head,OpenPlay,SavedShot,0.3650815486907959,67,5,0,Raheem Sterling,618,h,Manchester City,Arsenal,Riyad Mahrez,2021-08-28 11:30:00,16396,2021,"(0.9390000152587891, 0.5670000076293945)"
428481,RightFoot,OpenPlay,BlockedShot,0.11121505498886108,64,5,0,Raheem Sterling,618,h,Manchester City,Arsenal,Jack Grealish,2021-08-28 11:30:00,16396,2021,"(0.9690000152587891, 0.629000015258789)"
428484,RightFoot,FromCorner,MissedShots,0.11532582342624664,75,5,0,Aymeric Laporte,2498,h,Manchester City,Arsenal,Rúben Dias,2021-08-28 11:30:00,16396,2021,"(0.9280000305175782, 0.53)"
428480,Head,FromCorner,MissedShots,0.08152595162391663,62,5,0,Aymeric Laporte,2498,h,Manchester City,Arsenal,Rodri,2021-08-28 11:30:00,16396,2021,"(0.924000015258789, 0.5640000152587891)"
428472,Head,OpenPlay,BlockedShot,0.0127811748534441,38,5,0,Aymeric Laporte,2498,h,Manchester City,Arsenal,Gabriel Jesus,2021-08-28 11:30:00,16396,2021,"(0.8730000305175781, 0.5579999923706055)"
428474,LeftFoot,OpenPlay,SavedShot,0.11374076455831528,49,5,0,Bernardo Silva,3635,h,Manchester City,Arsenal,Jack Grealish,2021-08-28 11:30:00,16396,2021,"(0.92, 0.645)"
428486,Head,OpenPlay,Goal,0.5010553598403931,83,5,0,Ferrán Torres,6441,h,Manchester City,Arsenal,Riyad Mahrez,2021-08-28 11:30:00,16396,2021,"(0.9359999847412109, 0.5059999847412109)"
428469,LeftFoot,SetPiece,Goal,0.5840904116630554,11,5,0,Ferrán Torres,6441,h,Manchester City,Arsenal,,2021-08-28 11:30:00,16396,2021,"(0.950999984741211, 0.539000015258789)"
428483,RightFoot,FromCorner,MissedShots,0.03485845774412155,67,5,0,Raheem Sterling,618,h,Manchester City,Arsenal,Jack Grealish,2021-08-28 11:30:00,16396,2021,"(0.8140000152587891, 0.575999984741211)"
428479,LeftFoot,FromCorner,BlockedShot,0.016187405213713646,55,5,0,Oleksandr Zinchenko,2958,h,Manchester City,Arsenal,,2021-08-28 11:30:00,16396,2021,"(0.75, 0.5870000076293945)"
428471,RightFoot,FromCorner,MissedShots,0.02692321129143238,37,5,0,Ferrán Torres,6441,h,Manchester City,Arsenal,Gabriel Jesus,2021-08-28 11:30:00,16396,2021,"(0.8090000152587891, 0.38599998474121094)"
428470,RightFoot,OpenPlay,MissedShots,0.13522471487522125,16,5,0,Ferrán Torres,6441,h,Manchester City,Arsenal,Gabriel Jesus,2021-08-28 11:30:00,16396,2021,"(0.8969999694824219, 0.455)"
429933,RightFoot,OpenPlay,SavedShot,0.037700191140174866,44,1,0,Gabriel Jesus,5543,a,Manchester City,Leicester,Jack Grealish,2021-09-11 14:00:00,16409,2021,"(0.9080000305175782, 0.32599998474121095)"
429944,LeftFoot,FromCorner,MissedShots,0.0889868438243866,72,1,0,Aymeric Laporte,2498,a,Manchester City,Leicester,Rúben Dias,2021-09-11 14:00:00,16409,2021,"(0.9109999847412109, 0.57)"
429920,Head,OpenPlay,SavedShot,0.3739932179450989,5,1,0,Gabriel Jesus,5543,a,Manchester City,Leicester,Bernardo Silva,2021-09-11 14:00:00,16409,2021,"(0.9430000305175781, 0.44299999237060544)"
429930,RightFoot,OpenPlay,BlockedShot,0.11415305733680725,41,1,0,Ferrán Torres,6441,a,Manchester City,Leicester,Rúben Dias,2021-09-11 14:00:00,16409,2021,"(0.9169999694824219, 0.5220000076293946)"
429929,RightFoot,SetPiece,BlockedShot,0.018429165706038475,41,1,0,João Cancelo,2379,a,Manchester City,Leicester,Aymeric Laporte,2021-09-11 14:00:00,16409,2021,"(0.774000015258789, 0.6659999847412109)"
429950,RightFoot,OpenPlay,SavedShot,0.28640496730804443,91,1,0,Bernardo Silva,3635,a,Manchester City,Leicester,Ilkay Gündogan,2021-09-11 14:00:00,16409,2021,"(0.9030000305175782, 0.6859999847412109)"
429940,RightFoot,OpenPlay,BlockedShot,0.02340095303952694,61,1,0,João Cancelo,2379,a,Manchester City,Leicester,Jack Grealish,2021-09-11 14:00:00,16409,2021,"(0.8180000305175781, 0.6930000305175781)"
429936,RightFoot,OpenPlay,MissedShots,0.12454564869403839,54,1,0,Ferrán Torres,6441,a,Manchester City,Leicester,Ilkay Gündogan,2021-09-11 14:00:00,16409,2021,"(0.8619999694824219, 0.40900001525878904)"
429921,RightFoot,OpenPlay,BlockedShot,0.11009354889392853,5,1,0,Bernardo Silva,3635,a,Manchester City,Leicester,,2021-09-11 14:00:00,16409,2021,"(0.919000015258789, 0.47299999237060547)"
429926,LeftFoot,OpenPlay,SavedShot,0.0659160315990448,18,1,0,Bernardo Silva,3635,a,Manchester City,Leicester,,2021-09-11 14:00:00,16409,2021,"(0.8480000305175781, 0.5990000152587891)"
429928,LeftFoot,OpenPlay,SavedShot,0.08317490667104721,27,1,0,Ferrán Torres,6441,a,Manchester City,Leicester,,2021-09-11 14:00:00,16409,2021,"(0.875, 0.5409999847412109)"
429941,LeftFoot,OpenPlay,Goal,0.5579059720039368,61,1,0,Bernardo Silva,3635,a,Manchester City,Leicester,,2021-09-11 14:00:00,16409,2021,"(0.9690000152587891, 0.5690000152587891)"
429939,LeftFoot,OpenPlay,BlockedShot,0.10458897054195404,61,1,0,Ferrán Torres,6441,a,Manchester City,Leicester,Bernardo Silva,2021-09-11 14:00:00,16409,2021,"(0.8590000152587891, 0.5120000076293946)"
429946,RightFoot,OpenPlay,MissedShots,0.12711143493652344,77,1,0,Raheem Sterling,618,a,Manchester City,Leicester,Jack Grealish,2021-09-11 14:00:00,16409,2021,"(0.9590000152587891, 0.585)"
429935,Head,FromCorner,BlockedShot,0.015569490380585194,52,1,0,Kyle Walker,638,a,Manchester City,Leicester,Ilkay Gündogan,2021-09-11 14:00:00,16409,2021,"(0.8859999847412109, 0.5070000076293946)"
429943,RightFoot,OpenPlay,SavedShot,0.05446777120232582,71,1,0,Kyle Walker,638,a,Manchester City,Leicester,Rúben Dias,2021-09-11 14:00:00,16409,2021,"(0.8440000152587891, 0.3139999961853027)"
429927,RightFoot,SetPiece,MissedShots,0.07702667266130447,20,1,0,Jack Grealish,675,a,Manchester City,Leicester,Ilkay Gündogan,2021-09-11 14:00:00,16409,2021,"(0.8630000305175781, 0.5729999923706055)"
429938,RightFoot,OpenPlay,MissedShots,0.013457737863063812,57,1,0,Jack Grealish,675,a,Manchester City,Leicester,,2021-09-11 14:00:00,16409,2021,"(0.7859999847412109, 0.750999984741211)"
429949,RightFoot,OpenPlay,MissedShots,0.10124219954013824,90,1,0,Fernandinho,614,a,Manchester City,Leicester,Raheem Sterling,2021-09-11 14:00:00,16409,2021,"(0.9, 0.35400001525878905)"
