,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
425981,RightFoot,FromCorner,MissedShots,0.013681532815098763,19,0,3,Lukas Rupp,62,h,Norwich,Liverpool,,2021-08-14 16:30:00,16383,2021,"(0.7290000152587891, 0.6309999847412109)"
426008,RightFoot,OpenPlay,MissedShots,0.045873600989580154,88,0,3,Joshua Sargent,7295,h,Norwich,Liverpool,Max Aarons,2021-08-14 16:30:00,16383,2021,"(0.9009999847412109, 0.28299999237060547)"
426006,RightFoot,SetPiece,SavedShot,0.11366669088602066,86,0,3,Adam Idah,8021,h,Norwich,Liverpool,Grant Hanley,2021-08-14 16:30:00,16383,2021,"(0.9619999694824218, 0.509000015258789)"
426007,RightFoot,OpenPlay,MissedShots,0.009880874305963516,86,0,3,Max Aarons,7688,h,Norwich,Liverpool,Kieran Dowell,2021-08-14 16:30:00,16383,2021,"(0.7480000305175781, 0.29100000381469726)"
426005,LeftFoot,SetPiece,BlockedShot,0.13325859606266022,86,0,3,Grant Hanley,7690,h,Norwich,Liverpool,,2021-08-14 16:30:00,16383,2021,"(0.9169999694824219, 0.514000015258789)"
425996,RightFoot,FromCorner,MissedShots,0.03756185993552208,57,0,3,Pierre Lees-Melou,5619,h,Norwich,Liverpool,Dimitris Giannoulis,2021-08-14 16:30:00,16383,2021,"(0.8619999694824219, 0.3629999923706055)"
425983,RightFoot,OpenPlay,MissedShots,0.007212541066110134,23,0,3,Todd Cantwell,7695,h,Norwich,Liverpool,,2021-08-14 16:30:00,16383,2021,"(0.6909999847412109, 0.034000000953674316)"
425995,Head,FromCorner,BlockedShot,0.013108842074871063,57,0,3,Ben Gibson,1707,h,Norwich,Liverpool,Milot Rashica,2021-08-14 16:30:00,16383,2021,"(0.915, 0.6270000076293946)"
426004,LeftFoot,SetPiece,SavedShot,0.611086905002594,85,0,3,Ben Gibson,1707,h,Norwich,Liverpool,Pierre Lees-Melou,2021-08-14 16:30:00,16383,2021,"(0.9640000152587891, 0.4779999923706055)"
425991,OtherBodyPart,OpenPlay,MissedShots,0.0423620380461216,46,0,3,Milot Rashica,6523,h,Norwich,Liverpool,Pierre Lees-Melou,2021-08-14 16:30:00,16383,2021,"(0.8980000305175782, 0.4829999923706055)"
