,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
425882,Head,OpenPlay,SavedShot,0.038339853286743164,86,0,1,Max Kilman,7332,a,Wolverhampton Wanderers,Leicester,Rúben Neves,2021-08-14 14:00:00,16381,2021,"(0.91, 0.5429999923706055)"
425884,RightFoot,FromCorner,MissedShots,0.04896058887243271,88,0,1,Raúl Jiménez,4105,a,Wolverhampton Wanderers,Leicester,,2021-08-14 14:00:00,16381,2021,"(0.874000015258789, 0.3609999847412109)"
425883,LeftFoot,OpenPlay,BlockedShot,0.08141498267650604,87,0,1,Morgan Gibbs-White,6857,a,Wolverhampton Wanderers,Leicester,Adama Traoré,2021-08-14 14:00:00,16381,2021,"(0.85, 0.5070000076293946)"
425881,LeftFoot,OpenPlay,BlockedShot,0.15790164470672607,86,0,1,Max Kilman,7332,a,Wolverhampton Wanderers,Leicester,Raúl Jiménez,2021-08-14 14:00:00,16381,2021,"(0.9569999694824218, 0.3990000152587891)"
425880,LeftFoot,OpenPlay,BlockedShot,0.03690661862492561,78,0,1,Adama Traoré,900,a,Wolverhampton Wanderers,Leicester,,2021-08-14 14:00:00,16381,2021,"(0.8859999847412109, 0.7169999694824218)"
425877,RightFoot,OpenPlay,SavedShot,0.029763517901301384,66,0,1,Adama Traoré,900,a,Wolverhampton Wanderers,Leicester,Romain Saiss,2021-08-14 14:00:00,16381,2021,"(0.8569999694824219, 0.6)"
425875,RightFoot,OpenPlay,BlockedShot,0.0160408616065979,60,0,1,Adama Traoré,900,a,Wolverhampton Wanderers,Leicester,Trincão,2021-08-14 14:00:00,16381,2021,"(0.73, 0.6530000305175782)"
425870,LeftFoot,OpenPlay,BlockedShot,0.09651535004377365,46,0,1,Adama Traoré,900,a,Wolverhampton Wanderers,Leicester,,2021-08-14 14:00:00,16381,2021,"(0.8669999694824219, 0.5279999923706055)"
425876,Head,OpenPlay,MissedShots,0.08631426841020584,64,0,1,Raúl Jiménez,4105,a,Wolverhampton Wanderers,Leicester,Ki-Jana Hoever,2021-08-14 14:00:00,16381,2021,"(0.9180000305175782, 0.555)"
425862,RightFoot,OpenPlay,BlockedShot,0.0375504344701767,17,0,1,Adama Traoré,900,a,Wolverhampton Wanderers,Leicester,,2021-08-14 14:00:00,16381,2021,"(0.7730000305175782, 0.3170000076293945)"
425866,RightFoot,OpenPlay,MissedShots,0.5314221382141113,35,0,1,Adama Traoré,900,a,Wolverhampton Wanderers,Leicester,João Moutinho,2021-08-14 14:00:00,16381,2021,"(0.8419999694824218, 0.53)"
425871,RightFoot,OpenPlay,MissedShots,0.0179598331451416,46,0,1,João Moutinho,3422,a,Wolverhampton Wanderers,Leicester,,2021-08-14 14:00:00,16381,2021,"(0.755, 0.375)"
425878,LeftFoot,OpenPlay,SavedShot,0.014370080083608627,72,0,1,Trincão,8934,a,Wolverhampton Wanderers,Leicester,Raúl Jiménez,2021-08-14 14:00:00,16381,2021,"(0.7480000305175781, 0.3220000076293945)"
425872,LeftFoot,OpenPlay,BlockedShot,0.06417565792798996,50,0,1,Trincão,8934,a,Wolverhampton Wanderers,Leicester,Rúben Neves,2021-08-14 14:00:00,16381,2021,"(0.919000015258789, 0.34900001525878904)"
425874,RightFoot,OpenPlay,MissedShots,0.03382989764213562,56,0,1,Ki-Jana Hoever,8351,a,Wolverhampton Wanderers,Leicester,Trincão,2021-08-14 14:00:00,16381,2021,"(0.855999984741211, 0.3189999961853027)"
425863,RightFoot,OpenPlay,MissedShots,0.01278175413608551,23,0,1,Rúben Neves,6853,a,Wolverhampton Wanderers,Leicester,Raúl Jiménez,2021-08-14 14:00:00,16381,2021,"(0.7330000305175781, 0.32299999237060545)"
425873,Head,OpenPlay,MissedShots,0.022892853245139122,52,0,1,Raúl Jiménez,4105,a,Wolverhampton Wanderers,Leicester,Fernando Marçal,2021-08-14 14:00:00,16381,2021,"(0.875999984741211, 0.49900001525878906)"
427550,LeftFoot,OpenPlay,SavedShot,0.062483884394168854,58,0,1,Trincão,8934,h,Wolverhampton Wanderers,Tottenham,Nélson Semedo,2021-08-22 13:00:00,16393,2021,"(0.8809999847412109, 0.35400001525878905)"
427545,LeftFoot,OpenPlay,SavedShot,0.026215707883238792,32,0,1,Trincão,8934,h,Wolverhampton Wanderers,Tottenham,Raúl Jiménez,2021-08-22 13:00:00,16393,2021,"(0.7719999694824219, 0.5920000076293945)"
427541,LeftFoot,FromCorner,SavedShot,0.028745610266923904,17,0,1,Trincão,8934,h,Wolverhampton Wanderers,Tottenham,,2021-08-22 13:00:00,16393,2021,"(0.8640000152587891, 0.5570000076293945)"
427542,RightFoot,SetPiece,MissedShots,0.014624813571572304,22,0,1,Rúben Neves,6853,h,Wolverhampton Wanderers,Tottenham,João Moutinho,2021-08-22 13:00:00,16393,2021,"(0.6980000305175781, 0.4229999923706055)"
427562,Head,OpenPlay,MissedShots,0.06002483889460564,75,0,1,Leander Dendoncker,7236,h,Wolverhampton Wanderers,Tottenham,Trincão,2021-08-22 13:00:00,16393,2021,"(0.89, 0.46)"
427561,LeftFoot,OpenPlay,BlockedShot,0.030965976417064667,74,0,1,Trincão,8934,h,Wolverhampton Wanderers,Tottenham,Raúl Jiménez,2021-08-22 13:00:00,16393,2021,"(0.8690000152587891, 0.4209999847412109)"
427543,RightFoot,OpenPlay,MissedShots,0.046116091310977936,26,0,1,Raúl Jiménez,4105,h,Wolverhampton Wanderers,Tottenham,João Moutinho,2021-08-22 13:00:00,16393,2021,"(0.8419999694824218, 0.61)"
427552,RightFoot,OpenPlay,BlockedShot,0.058102674782276154,61,0,1,Raúl Jiménez,4105,h,Wolverhampton Wanderers,Tottenham,Trincão,2021-08-22 13:00:00,16393,2021,"(0.8680000305175781, 0.345)"
427568,RightFoot,OpenPlay,BlockedShot,0.06445968896150589,87,0,1,Raúl Jiménez,4105,h,Wolverhampton Wanderers,Tottenham,Adama Traoré,2021-08-22 13:00:00,16393,2021,"(0.865, 0.5729999923706055)"
